new,host,a,cname,mx,soa,txt,status_code,cdn,cdn-name,aaaa,ns,caa
,alpha.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,amon.tech,"104.198.14.52, 108.162.192.158, 172.64.32.158, 173.245.58.158, 108.162.193.177, 172.64.33.177, 173.245.59.177",,"alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","gene.ns.cloudflare.com, dns.cloudflare.com","google-site-verification=n9qVDYD6k51ZT8Vf6Za04qFtEtP93YVq-zXh0NSh7oY, facebook-domain-verification=emchi72yz5letyedbkkw9sw8y4asbb, v=spf1 include:_spf.google.com include:servers.mcsv.net include:mail.zendesk.com  include:spf.sendinblue.com mx -all, google-site-verification=xkMB6jXh01y_thFFqHHs5UGXi1UOh2s618Zlk5NBar0, Sendinblue-code:3c15a185a2d3b03827b0c09e187fcd34",NOERROR,True,google,"2606:4700:50::adf5:3a9e, 2803:f800:50::6ca2:c09e, 2a06:98c1:50::ac40:209e, 2606:4700:58::adf5:3bb1, 2803:f800:50::6ca2:c1b1, 2a06:98c1:50::ac40:21b1","isaac.ns.cloudflare.com, gene.ns.cloudflare.com","letsencrypt.org, pki.goog; cansignhttpexchanges=yes, GoDaddy.com, comodoca.com, digicert.com; cansignhttpexchanges=yes"
,api-alpha.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,api-dev.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,api-staging.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,api-whitelist-dev.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,api-whitelist.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,api.amon.tech,"172.67.153.166, 104.21.90.64",,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2606:4700:3031::ac43:99a6, 2606:4700:3030::6815:5a40",,
,blog.amon.tech,75.2.60.5,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,cal.amon.tech,172.217.18.19,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,,,2a00:1450:4001:80b::2013,,
,discourse.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,drive.amon.tech,142.250.184.243,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,,,2a00:1450:4001:831::2013,,
,help.amon.tech,"162.159.128.7, 162.159.138.6",amon-tech.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,,,
,lab.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,o1.ptr2621.amon.tech,149.72.43.134,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,privatesale.amon.tech,"34.141.48.9, 34.159.168.235",wallet-privatesale-prod.netlify.app,,"dns1.p01.nsone.net, hostmaster.nsone.net",,NOERROR,True,google,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb00::c8",,
,rates.amon.tech,"188.114.96.3, 188.114.97.3",,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2a06:98c1:3121::3, 2a06:98c1:3120::3",,
,servermail.amon.tech,,u6064598.wl099.sendgrid.net,mx.sendgrid.net,"aisha.ns.cloudflare.com, dns.cloudflare.com",v=spf1 include:sendgrid.net ~all,NOERROR,,,,,
,servermail2.amon.tech,"167.89.115.56, 167.89.123.54, 167.89.115.120, 167.89.123.124",sendgrid.net,"mx2.sendgrid.net, mx.sendgrid.net","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com","mailru-verification: 2e3995fa8a7d00e0, p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE",NOERROR,,,,"ns13.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns12.dnsmadeeasy.com","amazonaws.com, godaddy.com"
,t-tokensale-develop.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,tokensale.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,wallet-dev.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,wallet-staging.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,,,,,
,wallet.amon.tech,"34.141.48.9, 34.141.11.154",wallet-web-prod.netlify.com,,"dns1.p04.nsone.net, hostmaster.nsone.net",,NOERROR,True,google,"2a05:d014:275:cb01::c8, 2a05:d014:275:cb02::c8",,
,webmail.amon.tech,,ghs.googlehosted.com,,"ns1.google.com, dns-admin.google.com",,NOERROR,,,2607:f8b0:4004:c08::79,,
,www.amon.tech,,,,"gene.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,cloudflare,"2a06:98c1:3120::3, 2a06:98c1:3121::3",,
,zendesk1.amon.tech,"162.159.138.6, 162.159.128.7",mail1.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,,,
,zendesk3.amon.tech,"162.159.138.6, 162.159.128.7",mail3.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,,,
,zendesk4.amon.tech,"162.159.128.7, 162.159.138.6",mail4.zendesk.com,mail.zendesk.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,True,cloudflare,,,
