input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,tls_subject_org_,final_url
bw.legalrobot.com,,403,16,bw.legalrobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=legalrobot.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",legalrobot.com,legalrobot.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a41e6344571d73499f2bac83b7b58f57,cc176a1e16a581883d966956e34bd272fb769142b43ce849e3a58f700a0118e2,True,ctls,bw.legalrobot.com,cloudflare,443,https://bw.legalrobot.com:443,https,cloudflare,text/plain,GET,104.26.6.8,/,,2606:4700:20::ac43:469f,HTTP/3,1,False,True,,"Cloudflare, Inc.",
charts-dev.legalrobot.com,Helm Charts | Legal Robot,200,5647,charts-dev.legalrobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=legalrobot.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",legalrobot.com,legalrobot.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a41e6344571d73499f2bac83b7b58f57,cc176a1e16a581883d966956e34bd272fb769142b43ce849e3a58f700a0118e2,True,ctls,charts-dev.legalrobot.com,cloudflare,443,https://charts-dev.legalrobot.com:443,https,cloudflare,text/html,GET,172.67.70.159,/,-886264019,2606:4700:20::ac43:469f,Semantic UI,116,False,True,https://legalrobot.report-uri.com/r/d/csp/enforce,"Cloudflare, Inc.",
charts.legalrobot.com,Legal Robot,200,29466,charts.legalrobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=legalrobot.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",legalrobot.com,legalrobot.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a41e6344571d73499f2bac83b7b58f57,cc176a1e16a581883d966956e34bd272fb769142b43ce849e3a58f700a0118e2,True,ctls,charts.legalrobot.com,cloudflare,443,https://charts.legalrobot.com:443,https,cloudflare,text/html,GET,104.26.6.8,/,-1450346532,2606:4700:20::681a:608,Semantic UI,2,False,True,wss://dev.legalrobot.com,"Cloudflare, Inc.",
files.legalrobot-test.com,,200,31,files.legalrobot-test.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T04:02:09Z,2023-09-25T04:02:08Z,CN=legalrobot-test.com,legalrobot-test.com,legalrobot-test.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,d443ed8277cc0c451d730729462f31f5,dd78644bb60cab70faa960b37878be3e0613b8dad694259f7ee7d6214b854648,True,ctls,files.legalrobot-test.com,cloudflare,443,https://files.legalrobot-test.com:443,https,cloudflare,text/html,GET,188.114.97.3,/,1269184899,2a06:98c1:3121::3,HTTP/3,1,False,True,,,
files.legalrobot.com,,403,243,files.legalrobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=legalrobot.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",legalrobot.com,legalrobot.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a41e6344571d73499f2bac83b7b58f57,cc176a1e16a581883d966956e34bd272fb769142b43ce849e3a58f700a0118e2,True,ctls,files.legalrobot.com,cloudflare,443,https://files.legalrobot.com:443,https,cloudflare,application/xml,GET,104.26.6.8,/,2100108725,2606:4700:20::681a:608,HTTP/3,2,False,True,,"Cloudflare, Inc.",
https://checkout.stripe.com,Mehr Umsatz mit optimiertem Bezahlvorgang | Stripe Checkout,200,1157529,stripe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-28T00:00:00Z,2023-07-12T23:59:59Z,"CN=stripe.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",stripe.com,www.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,fd7d32025ddf333c5e3a24f5780976b9,29cf00cc1c209a7c85bfdc2c0b7c0f47e959884568ca1f267e3e842f081d971c,,ctls,stripe.com,fastly,443,https://checkout.stripe.com:443,https,nginx,text/html,GET,151.101.0.176,/,1008897269,151.101.192.176,Nginx,30081,False,True,https://register.stripesessions.com,"Stripe, Inc",https://stripe.com/de/payments/checkout
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:36Z,2023-08-21T08:21:35Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e31063166fb44c05048b4c83f636c4f5,1b195bc79767bf8017bc902501eb378f46d1685421e0b9531b7a521ca9cfd844,True,ctls,fonts.googleapis.com,,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.185.202,/,-606046040,2a00:1450:4001:80e::200a,HTTP/3,1,False,,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:21:36Z,2023-08-21T08:21:35Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,d3c6d877158e986041e67ea61715ac95,406b96cf48d5fd63d08df732c86ca70aed167ff661c04b07663ff21a022fb117,True,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.186.131,/,302920777,2a00:1450:4001:812::2003,HTTP/3,12,False,,,,
https://js.stripe.com,,404,56,js.stripe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T00:00:00Z,2023-08-13T23:59:59Z,"CN=a.stripecdn.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",a.stripecdn.com,buy.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,4847f7c9065466a22f3357a84129e1f5,622f5ea9749dbd139aed865260e6acab8fbf2cc55fc04ec68bbb59c3b6d5fd8f,,ctls,js.stripe.com,fastly,443,https://js.stripe.com:443,https,Varnish,text/html,GET,146.75.120.176,/,-2142583789,146.75.120.176,Varnish,1,False,True,,"Stripe, Inc",
https://legalrobot.report-uri.com/r/d/csp/enforce,Report URI: Welcome to report-uri.com,200,30914,report-uri.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-03T22:25:38Z,2023-09-01T22:25:37Z,CN=report-uri.com,report-uri.com,report-uri.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,1d0f8e4f5bf9633cdbfcbb6583324bda,9ddeca2dc60531cc71041b4d46618852ba3dad85373f43a2cd6bce4cddd18469,True,ctls,report-uri.com,cloudflare,443,https://legalrobot.report-uri.com:443/r/d/csp/enforce,https,cloudflare,text/html,GET,104.17.185.88,/r/d/csp/enforce,1598292686,2606:4700::6811:b658,HTTP/3,534,False,True,https://scotthelme.report-uri.com/r/d/csp/enforce,,https://report-uri.com
https://s-dev.legalrobot.com,Legal Robot,200,29466,s-dev.legalrobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=legalrobot.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",legalrobot.com,legalrobot.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a41e6344571d73499f2bac83b7b58f57,cc176a1e16a581883d966956e34bd272fb769142b43ce849e3a58f700a0118e2,True,ctls,s-dev.legalrobot.com,cloudflare,443,https://s-dev.legalrobot.com:443,https,cloudflare,text/html,GET,104.26.7.8,/,-1450346532,2606:4700:20::681a:608,Semantic UI,2,False,True,https://fonts.googleapis.com,"Cloudflare, Inc.",
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118545,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:16:17Z,2023-08-21T08:16:16Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,5c86a077182cd855f21b8d80b363100f,2aa97ca45c98e14d3cd12af65b396f1a51731b94ec4b5f705a8920116775adc2,True,ctls,marketingplatform.google.com,,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,142.250.186.46,/,302920777,2a00:1450:4001:82a::200e,HTTP/3,1833,False,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,,https://marketingplatform.google.com/about/analytics/
mail.legalrobot.com,Sign in - Google Accounts,200,1351,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T08:22:10Z,2023-08-21T08:22:09Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f2bd4ee4f253f14a043bfb763b9bb802,eb5a312bc993b8f3d4a0157d94b96de55cd045397026970d42984b9ae6930ac6,,ctls,www.google.com,,80,http://mail.legalrobot.com:80,http,GSE,text/html,GET,142.250.184.243,/,359098340,2a00:1450:4001:828::2013,OpenGSE,32,False,,url=https://www.google.com/accounts/AccountChooser?hd=legalrobot.com&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobhgm,,https://www.google.com/a/legalrobot.com/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobhgm&nui=5&btmpl=mobile&emr=1&osid=1
s-test.legalrobot.com,Legal Robot,200,29466,s-test.legalrobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=legalrobot.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",legalrobot.com,legalrobot.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a41e6344571d73499f2bac83b7b58f57,cc176a1e16a581883d966956e34bd272fb769142b43ce849e3a58f700a0118e2,True,ctls,s-test.legalrobot.com,cloudflare,443,https://s-test.legalrobot.com:443,https,cloudflare,text/html,GET,104.26.6.8,/,-1450346532,2606:4700:20::ac43:469f,Semantic UI,2,False,True,https://js.stripe.com,"Cloudflare, Inc.",
s.legalrobot.com,Legal Robot,200,29466,s.legalrobot.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=legalrobot.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",legalrobot.com,legalrobot.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a41e6344571d73499f2bac83b7b58f57,cc176a1e16a581883d966956e34bd272fb769142b43ce849e3a58f700a0118e2,True,ctls,s.legalrobot.com,cloudflare,443,https://s.legalrobot.com:443,https,cloudflare,text/html,GET,104.26.6.8,/,-1450346532,2606:4700:20::ac43:469f,Semantic UI,2,False,True,https://www.google-analytics.com,"Cloudflare, Inc.",
scan.legalrobot-test.com,404 Not Found,404,371,scan.legalrobot-test.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T04:02:09Z,2023-09-25T04:02:08Z,CN=legalrobot-test.com,legalrobot-test.com,legalrobot-test.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,d443ed8277cc0c451d730729462f31f5,dd78644bb60cab70faa960b37878be3e0613b8dad694259f7ee7d6214b854648,True,ctls,scan.legalrobot-test.com,cloudflare,443,https://scan.legalrobot-test.com:443,https,cloudflare,text/html,GET,188.114.97.3,/,-1311382733,2a06:98c1:3121::3,HTTP/3,15,False,True,,,
static.legalrobot-test.com,404 Not Found,404,373,static.legalrobot-test.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-27T04:02:09Z,2023-09-25T04:02:08Z,CN=legalrobot-test.com,legalrobot-test.com,legalrobot-test.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,d443ed8277cc0c451d730729462f31f5,dd78644bb60cab70faa960b37878be3e0613b8dad694259f7ee7d6214b854648,True,ctls,static.legalrobot-test.com,cloudflare,443,https://static.legalrobot-test.com:443,https,cloudflare,text/html,GET,188.114.96.3,/,965630063,2a06:98c1:3121::3,HTTP/3,15,False,True,,,
