new,host,ttl,a,soa,status_code,txt,mx,ns,caa,cname,aaaa
[x],aanmeldenlevensloop.pggm.nl,300,81.18.5.22,"{'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,,,
[x],aanmeldensparen.pggm.nl,300,145.4.199.84,"{'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,,,
[x],actie.pggm.nl,300,62.129.139.121,"{'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,,,
[x],api.a.pggm.nl,300,,"{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,"pggm-pggm-apim-01-we-a.azure-api.net, apimgmttmcom6bmfxkolqu7myfok8g1vfxzscon7bm8dmf0fxq.trafficmanager.net, pggm-pggm-apim-01-we-a-westeurope-01.regional.azure-api.net, api620d5073b91d4a638cd6a8be1e7d856cvh7fbqjgwpbrb0gzgrz0w.westeurope.cloudapp.azure.com",
[x],api.pggm.nl,300,,"{'name': 'cloudapp.net', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2107898940, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,"pggm-pggm-apim-01-we-p.azure-api.net, apimgmttmavbmdar3lc6stcwdfbbyb17jhqizk8jw7sftrpdea.trafficmanager.net, pggm-pggm-apim-01-we-p-westeurope-01.regional.azure-api.net, apimgmthsymh0foppyzg3dqmbm6emgc4fkwtaunraukhw4n06h.cloudapp.net",
[x],api.releasedoc.a.pggm.nl,300,,"{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,"app-pggm-pggm-releasedoc-rest-a.azurewebsites.net, app-pggm-pggm-releasedoc-rest-a.privatelink.azurewebsites.net, waws-prod-am2-439.sip.azurewebsites.windows.net, waws-prod-am2-439-397b.westeurope.cloudapp.azure.com",
[x],api.releasedoc.pggm.nl,300,,"{'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'westeurope.cloudapp.azure.com', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 10001, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,"app-pggm-pggm-releasedoc-rest-p.azurewebsites.net, app-pggm-pggm-releasedoc-rest-p.privatelink.azurewebsites.net, waws-prod-am2-409.sip.azurewebsites.windows.net, waws-prod-am2-409-8f43.westeurope.cloudapp.azure.com",
[x],apiportal.pggm.nl,300,104.40.155.230,"{'name': 'cloudapp.net', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2107898940, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'cloudapp.net', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2107898940, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}, {'name': 'cloudapp.net', 'ns': 'ns1-201.azure-dns.com', 'mailbox': 'msnhst.microsoft.com', 'serial': 2107898940, 'refresh': 900, 'retry': 300, 'expire': 604800, 'minttl': 60}",NOERROR,,,,,"pggm-pggm-apim-01-we-p.portal.azure-api.net, apimgmthsymh0foppyzg3dqmbm6emgc4fkwtaunraukhw4n06h.cloudapp.net",
[x],apiservice.a.pggm.nl,61,,"{'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,,,
[x],apiservice.d.pggm.nl,239,,"{'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}, {'name': 'pggm.nl', 'ns': 'ns2.kpn.net', 'mailbox': 'zonemaster.kpn.com', 'serial': 2021152797, 'refresh': 10800, 'retry': 1080, 'expire': 2419200, 'minttl': 900}",NOERROR,,,,,,
