input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,cdn_name,cdn,tls_mismatched
api.a.pggm.nl,,404,65,,api.a.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=api.a.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",api.a.pggm.nl,PGGM N.V.,api.a.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,e2b85bb450ec2c1838eb141484f16b40,39677639fd536c66e0f44881c7e69d5173cf0a2d9bfb70e46024596ebe029477,ctls,api.a.pggm.nl,443,https://api.a.pggm.nl:443,https,,application/json,GET,40.113.137.1,/,1411947214,,40.113.137.1,,1,False,azure,True,
api.pggm.nl,,404,63,,api.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-20T00:00:00Z,2023-07-20T23:59:59Z,"CN=api.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",api.pggm.nl,PGGM N.V.,api.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,72729a4fad4b46c0545099d7580679d7,6760924cf97e51bc4146bcae75905f324459d1344699f8a120269248216ffc9e,ctls,api.pggm.nl,443,https://api.pggm.nl:443,https,,application/json,GET,104.40.155.230,/,-639679506,,104.40.155.230,,1,False,azure,True,
api.releasedoc.a.pggm.nl,Web App - Unavailable,403,1892,,api.releasedoc.a.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-14T00:00:00Z,2024-01-14T23:59:59Z,"CN=api.releasedoc.a.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",api.releasedoc.a.pggm.nl,PGGM N.V.,api.releasedoc.a.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,7a0ea71330ce1330458c63e45c837237,b38cd7d3f5b83ca982b234fa96a80e03b4dca05559be03d74722ddba1bcbc71e,ctls,api.releasedoc.a.pggm.nl,443,https://api.releasedoc.a.pggm.nl:443,https,,text/html,GET,20.50.2.56,/,-237335256,,20.50.2.56,,74,False,azure,True,
api.releasedoc.pggm.nl,Web App - Unavailable,403,1892,,api.releasedoc.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-14T00:00:00Z,2024-01-14T23:59:59Z,"CN=api.releasedoc.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",api.releasedoc.pggm.nl,PGGM N.V.,api.releasedoc.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f22b2be240b427f6ec44be3c653617b9,abc3a4748bf2db4e64b10860ba8b4ace0553860ab681a478be85923d0edb1dda,ctls,api.releasedoc.pggm.nl,443,https://api.releasedoc.pggm.nl:443,https,,text/html,GET,20.50.2.42,/,-237335256,,20.50.2.42,,74,False,azure,True,
apiportal.a.pggm.nl,<PGGM> developer portal,200,18810,,apiportal.a.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-21T00:00:00Z,2023-08-21T23:59:59Z,"CN=Apiportal.a.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",Apiportal.a.pggm.nl,PGGM N.V.,Apiportal.a.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ea8a44b5d17be93a1445152a4b70af2f,f301d3ae91af64b11cd66eb614a8e9ef47292d811ccb450bdfac1d3aa62e5543,ctls,apiportal.a.pggm.nl,443,https://apiportal.a.pggm.nl:443,https,,text/html,GET,40.113.137.1,/,860681438,,40.113.137.1,Orchard Core,428,False,azure,True,
apiportal.pggm.nl,<PGGM> developer portal,200,18810,,apiportal.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-07-20T00:00:00Z,2023-07-20T23:59:59Z,"CN=apiportal.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",apiportal.pggm.nl,PGGM N.V.,apiportal.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,21e28fb19f4768c0e185f9e4ca724885,b283e9c346fc6864f759cd4c3ba7d9d8dbc540f9dbe7e57f5362c1dd94056d42,ctls,apiportal.pggm.nl,443,https://apiportal.pggm.nl:443,https,,text/html,GET,104.40.155.230,/,215109530,,104.40.155.230,Orchard Core,428,False,azure,True,
bpkiv.pggm.nl,Not Found,404,315,,bpkiv.pggm.nl,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-09-28T00:00:00Z,2023-10-29T23:59:59Z,"CN=bpkivwse.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",bpkivwse.pggm.nl,PGGM N.V.,bpkivwse.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,79d33744ef195ce48da5ca701eb0b5b8,70a3f1412ed9152244a0e0dd5432627624f2de4dfb8aac9f09679f19be35a410,ctls,bpkiv.pggm.nl,443,https://bpkiv.pggm.nl:443,https,,text/html,GET,145.4.229.38,/,225052475,,145.4.229.38,HSTS,7,False,,,True
bpkivwse.pggm.nl,401 - Unauthorized: Access is denied due to invalid credentials.,401,1293,,bpkivwse.pggm.nl,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2022-09-28T00:00:00Z,2023-10-29T23:59:59Z,"CN=bpkivwse.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",bpkivwse.pggm.nl,PGGM N.V.,bpkivwse.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,79d33744ef195ce48da5ca701eb0b5b8,70a3f1412ed9152244a0e0dd5432627624f2de4dfb8aac9f09679f19be35a410,ctls,bpkivwse.pggm.nl,443,https://bpkivwse.pggm.nl:443,https,,text/html,GET,145.4.229.38,/,1772087922,https://bpkivwse.pggm.nl/(S(gpzjmbushfetjkpvw4wirliq))/default,145.4.229.38,HSTS,30,False,,,
e.pggm.nl,,200,169,/clang/build/production/ClangUI/index.html,e.pggm.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-05-07T23:59:59Z,"CN=e.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",e.pggm.nl,PGGM N.V.,e.pggm.nl,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,dfe81e18c89211140685e53b53874725,10bad66026717329cbd723a7519a2a8be9cc460e48740de57daa372be5dc259d,ctls,e.pggm.nl,443,https://e.pggm.nl:443,https,nginx,text/html,GET,35.156.127.219,/,1494302000,https://e.pggm.nl/themes/default/main/html/login.html,3.120.71.0,Nginx,7,False,,,
emi.pggm.nl,Login,200,12090,,emi.pggm.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-27T00:00:00Z,2023-10-05T23:59:59Z,"CN=emi.pggm.nl, O=PGGM N.V., L=Zeist, ST=Utrecht, C=NL",emi.pggm.nl,PGGM N.V.,emi.pggm.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5436f234ae62d737c1b4bec7f970e6c9,3becfdfdf502e55c782b9e6461103940099ee376b65db910b338d03e2d1b4bc3,ctls,emi.pggm.nl,443,https://emi.pggm.nl:443,https,,text/html,GET,13.107.246.45,/,1772087922,https://emi.pggm.nl/Pages/Public/Login.aspx,2620:1ec:4f:1::45,Microsoft ASP.NET,245,False,,,
