new,host,soa,status_code,a,cdn,cdn-name,cname,mx,txt,aaaa,ns
[x],exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.22.17.210, 104.22.16.210, 172.67.43.166, 108.162.193.89, 172.64.33.89, 173.245.59.89, 108.162.194.186, 162.159.38.186, 172.64.34.186",True,cloudflare,,"alt2.aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, aspmx.l.google.com, alt1.aspmx.l.google.com, mx.sndmart.net","google-site-verification=b4J0C100c2Rvz9zlcGb7W4Q8oEN359mSVOtINou9IwQ, v=spf1 include:_spf.google.com include:spf.mtasv.net include:mail.zendesk.com include:_spf.elasticemail.com -all","2606:4700:58::adf5:3b59, 2803:f800:50::6ca2:c159, 2a06:98c1:50::ac40:2159, 2606:4700:50::a29f:26ba, 2803:f800:50::6ca2:c2ba, 2a06:98c1:50::ac40:22ba","cleo.ns.cloudflare.com, aisha.ns.cloudflare.com"
[x],exmo.me,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.22.78.244, 172.67.28.216, 104.22.79.244, 108.162.193.89, 172.64.33.89, 173.245.59.89, 108.162.194.186, 162.159.38.186, 172.64.34.186",True,cloudflare,,"alt2.aspmx.l.google.com, aspmx3.googlemail.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com, aspmx.l.google.com","v=spf1 include:_spf.google.com include:mail.zendesk.com include:_spf.elasticemail.com ~all, google-site-verification=ZQ61VSmgMj0in8_1lZUz2wHb_sRT6OX4zeFzusgFN8U, google-site-verification=R6YjrKHpUj8qLuM41MoXeu91SVsvrA2cHJEhhw-ZIX0, google-site-verification=6gHKsHolE1ygt0B4GyNFx9yTANo3-4RcVLpw4LZEr1Y, trustpilot-one-time-verification-id=fc7b04cb-e918-4508-b574-fa90966351bc","2606:4700:58::adf5:3b59, 2803:f800:50::6ca2:c159, 2a06:98c1:50::ac40:2159","cleo.ns.cloudflare.com, aisha.ns.cloudflare.com"
,admin.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,api.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.67.43.166, 104.22.17.210, 104.22.16.210",True,cloudflare,,,,,
,api.exmo.me,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.22.78.244, 104.22.79.244, 172.67.28.216",True,cloudflare,,,,,
,broker.exmo.me,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.22.79.244, 172.67.28.216, 104.22.78.244",True,cloudflare,,,,,
,crowdsale.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,exmocoin.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.22.17.210, 172.67.43.166, 104.22.16.210",True,cloudflare,,,,,
,exmocoin.exmo.me,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.22.78.244, 104.22.79.244, 172.67.28.216",True,cloudflare,,,,,
,fiat.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.22.17.210, 104.22.16.210, 172.67.43.166",True,cloudflare,,,,,
,ico.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,img.exmo.com,"desi.ns.cloudflare.com, dns.cloudflare.com",NOERROR,188.226.196.164,,,img.sndmart.net,,,,
,info.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.22.16.210, 104.22.17.210, 172.67.43.166",True,cloudflare,,,,,
,info.exmo.me,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.67.28.216, 104.22.79.244, 104.22.78.244",True,cloudflare,,,,,
,mail.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,merchant.exmo.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
