new,host,a,mx,soa,ns,txt,status_code,cdn,cdn-name,cname,aaaa,caa
[x],exmo.com,"104.22.16.210, 104.22.17.210, 172.67.43.166","alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, mx.sndmart.net, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","aisha.ns.cloudflare.com, dns.cloudflare.com","aisha.ns.cloudflare.com, cleo.ns.cloudflare.com","google-site-verification=b4J0C100c2Rvz9zlcGb7W4Q8oEN359mSVOtINou9IwQ, v=spf1 include:_spf.google.com include:spf.mtasv.net include:mail.zendesk.com include:_spf.elasticemail.com -all, v=spf1 include:spf.sndmart.net ~all",NOERROR,True,cloudflare,,,
[x],exmo.me,"104.22.79.244, 104.22.78.244, 172.67.28.216, 108.162.193.89, 172.64.33.89, 173.245.59.89, 108.162.194.186, 162.159.38.186, 172.64.34.186","alt1.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com","aisha.ns.cloudflare.com, dns.cloudflare.com","aisha.ns.cloudflare.com, cleo.ns.cloudflare.com","trustpilot-one-time-verification-id=fc7b04cb-e918-4508-b574-fa90966351bc, v=spf1 include:_spf.google.com include:mail.zendesk.com include:_spf.elasticemail.com ~all, google-site-verification=ZQ61VSmgMj0in8_1lZUz2wHb_sRT6OX4zeFzusgFN8U, google-site-verification=R6YjrKHpUj8qLuM41MoXeu91SVsvrA2cHJEhhw-ZIX0, google-site-verification=6gHKsHolE1ygt0B4GyNFx9yTANo3-4RcVLpw4LZEr1Y",NOERROR,True,cloudflare,,"2606:4700:58::adf5:3b59, 2803:f800:50::6ca2:c159, 2a06:98c1:50::ac40:2159, 2606:4700:50::a29f:26ba, 2803:f800:50::6ca2:c2ba, 2a06:98c1:50::ac40:22ba",
,admin.exmo.com,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,
,api.exmo.com,"104.22.16.210, 172.67.43.166, 104.22.17.210",,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,,
,api.exmo.me,"104.22.79.244, 104.22.78.244, 172.67.28.216",,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,,
,broker.exmo.com,"104.22.17.210, 104.22.16.210, 172.67.43.166",,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,,
,crowdsale.exmo.com,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,
,crowdsale.exmo.me,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,
,email.exmo.com,34.102.239.211,"mxb.mailgun.org, mxa.mailgun.org","ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net, ns-133.awsdns-16.com","v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA",NOERROR,True,google,mailgun.org,,"letsencrypt.org, ;, digicert.com"
,exmocoin.exmo.com,"172.67.43.166, 104.22.16.210, 104.22.17.210",,"aisha.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,True,cloudflare,,,
