input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched
academy.bitmex.com,BitMEX | Most Advanced Crypto Trading Platform for Bitcoin & Home of the Perpetual Swap,200,657697,www.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,True,ctls,www.bitmex.com,cloudflare,443,https://academy.bitmex.com:443,https,cloudflare,text/html,GET,172.64.146.66,/,-1054542461,104.18.41.190,webpack,458,False,True,https://dsp-ap.eskimi.com,https://www.bitmex.com,
api.analytics.bitmex.com,,404,,api.analytics.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2023-07-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",eaa1221bb20a8afc36e2dbc0184a5a05,bab5ba22cddfbd1a2c5c748dc6eab5c343b5faedcb0346ff0318e8e221829425,True,ctls,api.analytics.bitmex.com,cloudflare,443,https://api.analytics.bitmex.com:443,https,cloudflare,text/plain,GET,104.18.41.190,/,-1840324437,172.64.146.66,HTTP/3,1,False,True,,,
auth.devhk.bitmex.com,,403,16,bitmex-devhk-cd-fcomaoptnvj4uk2k.edge.tenants.eu.auth0.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:05:13Z,2023-07-04T21:05:12Z,CN=*.webtask.eu.auth0.com,*.webtask.eu.auth0.com,,eu.auth0.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e5e95afa841fa61341d181534c8b5c83,45d7a3eea561987b83e5b96f7b6807d7eba407f898688802b38e1b15a02e8d54,True,ctls,bitmex-devhk-cd-fcomaoptnvj4uk2k.edge.tenants.eu.auth0.com,cloudflare,80,http://auth.devhk.bitmex.com:80,http,cloudflare,text/plain,GET,104.18.41.190,/,1936980977,172.64.146.66,HTTP/3,1,False,True,,https://bitmex-devhk-cd-fcomaoptnvj4uk2k.edge.tenants.eu.auth0.com/,
auth.devsf.bitmex.com,,403,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://auth.devsf.bitmex.com:80,http,cloudflare,text/plain,GET,104.18.41.190,/,1659100526,172.64.146.66,HTTP/3,1,False,True,,,
auth.devsf2.bitmex.com,,403,16,bitmex-devsf2-cd-z1q17sermnyhurbv.edge.tenants.eu.auth0.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T21:05:13Z,2023-07-04T21:05:12Z,CN=*.webtask.eu.auth0.com,*.webtask.eu.auth0.com,,eu.auth0.com,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,e5e95afa841fa61341d181534c8b5c83,45d7a3eea561987b83e5b96f7b6807d7eba407f898688802b38e1b15a02e8d54,True,ctls,bitmex-devsf2-cd-z1q17sermnyhurbv.edge.tenants.eu.auth0.com,cloudflare,80,http://auth.devsf2.bitmex.com:80,http,cloudflare,text/plain,GET,104.18.41.190,/,1936980977,172.64.146.66,HTTP/3,1,False,True,,https://bitmex-devsf2-cd-z1q17sermnyhurbv.edge.tenants.eu.auth0.com/,
bitmex.com,,403,16,,,,,,,,,,,,,,,,,,,,cloudfront,80,http://bitmex.com:80,http,cloudflare,text/plain,GET,13.225.78.108,/,1659100526,13.225.78.59,HTTP/3,1,False,True,,http://www.bitmex.com/,
blog.bitmex.com,Homepage | BitMEX Blog,200,175857,blog.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,True,ctls,blog.bitmex.com,cloudflare,443,https://blog.bitmex.com:443,https,cloudflare,text/html,GET,104.18.41.190,/,-689373029,172.64.146.66,wpBakery,2845,False,True,,,
blog2.bitmex.com,Homepage | BitMEX Blog,200,175991,blog2.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,True,ctls,blog2.bitmex.com,cloudflare,443,https://blog2.bitmex.com:443,https,cloudflare,text/html,GET,172.64.146.66,/,-689373029,104.18.41.190,wpBakery,2843,False,True,,,
blog2.devhk.bitmex.com,,403,16,,,,,,,,,,,,,,,,,,,,cloudflare,80,http://blog2.devhk.bitmex.com:80,http,cloudflare,text/plain,GET,104.18.41.190,/,1253481126,172.64.146.66,HTTP/3,1,False,True,,,
cn.research.bitmex.com,BitMEX 行业研究 | BitMEX Blog,200,128548,blog.bitmex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-13T00:00:00Z,2024-04-12T23:59:59Z,"CN=bitmex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitmex.com,"Cloudflare, Inc.",devhk.bitmex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",a00b7023a2bb18bd9e40dd1315167807,4e64d5e7fcfa184f42648f2c182fe209d860f852a69ff91a3fbed83b2335a671,True,ctls,blog.bitmex.com,cloudfront,443,https://cn.research.bitmex.com:443,https,cloudflare,text/html,GET,13.32.27.106,/,-1580703271,13.32.27.125,wpBakery,2457,False,True,,https://blog.bitmex.com/research_cn/,
