input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_expired
cdn.slots.io,502 Bad Gateway,502,166,cdn.slots.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",slots.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e8b98521ca31ba7c473b899a35f3b3a,8154c944d858e33e8930c5fee2255009c6146aefe528557f6939296ad3714cf3,True,ctls,cdn.slots.io,cloudflare,443,https://cdn.slots.io:443,https,cloudflare,text/html,GET,104.18.238.72,/,-26904094,2606:4700::6812:ed48,Cloudflare Bot Management,8,False,True,,
coreapi.slots.io,,521,,coreapi.slots.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",slots.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e8b98521ca31ba7c473b899a35f3b3a,8154c944d858e33e8930c5fee2255009c6146aefe528557f6939296ad3714cf3,True,ctls,coreapi.slots.io,cloudflare,443,https://coreapi.slots.io:443,https,cloudflare,,GET,104.18.238.72,/,-1840324437,2606:4700::6812:ee48,Cloudflare Bot Management,1,False,True,,
dashboard.slots.io,502 Bad Gateway,502,166,dashboard.slots.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2017-05-09T00:00:00Z,2018-05-09T23:59:59Z,"CN=*.slots.io, OU=EssentialSSL Wildcard, OU=Domain Control Validated",*.slots.io,,slots.io,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,80e80cb09f17b844ce017cc2f17a3685,f68de942e9c375508390cb9d0121ab00652db4cdc32c0a437b86843d513444d5,True,ctls,dashboard.slots.io,,443,https://dashboard.slots.io:443,https,nginx,text/html,GET,185.103.217.110,/,-26904094,185.103.217.110,Nginx,8,False,,,True
kyc.slots.io,Welcome to nginx!,200,615,kyc.slots.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",slots.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e8b98521ca31ba7c473b899a35f3b3a,8154c944d858e33e8930c5fee2255009c6146aefe528557f6939296ad3714cf3,True,ctls,kyc.slots.io,cloudflare,443,https://kyc.slots.io:443,https,cloudflare,text/html,GET,104.18.238.72,/,613077857,2606:4700::6812:ee48,Cloudflare Bot Management,24,False,True,,
monkey.slots.io,,403,16,monkey.slots.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",slots.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e8b98521ca31ba7c473b899a35f3b3a,8154c944d858e33e8930c5fee2255009c6146aefe528557f6939296ad3714cf3,True,ctls,monkey.slots.io,cloudflare,443,https://monkey.slots.io:443,https,cloudflare,text/plain,GET,104.18.238.72,/,1253481126,2606:4700::6812:ed48,Cloudflare Bot Management,1,False,True,,
play.slots.io,,404,213,play.slots.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T05:22:13Z,2023-08-27T05:22:12Z,CN=play.slots.io,play.slots.io,,play.slots.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a344c6ac6bb29e07025b20574f21b9bb,b9637187b6b0ac5e270d75c0dd1c3ed2a1bc02b61daf5ee996e42864b45340fe,,ctls,play.slots.io,cloudflare,443,https://play.slots.io:443,https,cloudflare,application/xml,GET,104.18.23.172,/,-409502083,2606:4700::6812:16ac,Cloudflare,3,False,True,,
slots.io,,200,276383,slots.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",slots.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e8b98521ca31ba7c473b899a35f3b3a,8154c944d858e33e8930c5fee2255009c6146aefe528557f6939296ad3714cf3,True,ctls,slots.io,cloudflare,443,https://slots.io:443,https,cloudflare,text/html,GET,104.18.238.72,/,184919837,2606:4700::6812:ee48,Node.js,134,False,True,,
staging.slots.io,,403,16,staging.slots.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",slots.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e8b98521ca31ba7c473b899a35f3b3a,8154c944d858e33e8930c5fee2255009c6146aefe528557f6939296ad3714cf3,True,ctls,staging.slots.io,cloudflare,443,https://staging.slots.io:443,https,cloudflare,text/plain,GET,104.18.238.72,/,1268003052,2606:4700::6812:ed48,Cloudflare Bot Management,1,False,True,,
staging2.slots.io,Origin DNS error | staging2.slots.io | Cloudflare,530,6201,staging2.slots.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",slots.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e8b98521ca31ba7c473b899a35f3b3a,8154c944d858e33e8930c5fee2255009c6146aefe528557f6939296ad3714cf3,True,ctls,staging2.slots.io,cloudflare,443,https://staging2.slots.io:443,https,cloudflare,text/html,GET,104.18.237.72,/,-1290824742,2606:4700::6812:ee48,Cloudflare,92,False,True,,
www.slots.io,,200,276383,slots.io,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",slots.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5e8b98521ca31ba7c473b899a35f3b3a,8154c944d858e33e8930c5fee2255009c6146aefe528557f6939296ad3714cf3,True,ctls,slots.io,cloudflare,443,https://www.slots.io:443,https,cloudflare,text/html,GET,104.18.237.72,/,184919837,2606:4700::6812:ed48,Node.js,134,False,True,https://slots.io/,
