new,host,ttl,a,mx,soa,ns,txt,status_code,cdn,cdn-name,cname,aaaa
[x],movilepay.com,60,"3.162.125.82, 3.162.125.40, 3.162.125.129, 3.162.125.123","aspmx3.googlemail.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com, aspmx.l.google.com","{'name': 'movilepay.com', 'ns': 'ns-435.awsdns-54.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com', 'ns': 'ns-435.awsdns-54.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com', 'ns': 'ns-435.awsdns-54.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1477.awsdns-56.org, ns-1819.awsdns-35.co.uk, ns-435.awsdns-54.com, ns-968.awsdns-57.net","facebook-domain-verification=pspj6xnvd00dcvsz5hfqfdu1lzpxdf, google-site-verification=ERwStSY-w3Dy3u9xo584J-6BxgGWWV0x-jeT4pTBJpo, google-site-verification=XI99xvIV-OYndEi69a26PJTRrJ0R4OM3LFvx_-iWKjA, v=spf1 a mx include:spf1.auinmeio.com.br include:spf2.auinmeio.com.br ~all",NOERROR,True,cloudfront,,
[x],movilepay.com.br,900,,,"{'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}","ns-1007.awsdns-61.net, ns-1227.awsdns-25.org, ns-1702.awsdns-20.co.uk, ns-23.awsdns-02.com",,NOERROR,,,,
,allin.movilepay.com,1200,,mx42.allin.com.br,"{'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}","nsmaster.auinmeio.com.br, ns2.auinmeio.com.br, ns3.auinmeio.com.br, nsmaster2.auinmeio.com.br",v=spf1 include:spf1.auinmeio.com.br include:spf2.auinmeio.com.br ~all,NOERROR,,,,
,e.allin.allin.movilepay.com,14400,186.202.41.26,,"{'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,,,clique.auinmeio.com.br,
,e.allin.movilepay.com,14400,,,"{'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,,,clique.auinmeio.com.br,
,img.allin.allin.movilepay.com,1800,"177.153.231.26, 177.153.231.25",,"{'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,,,img.auinmeio.com.br,
,img.allin.movilepay.com,1800,"177.153.231.25, 177.153.231.26",,"{'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'auinmeio.com.br', 'ns': 'henrik.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347587027, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",,,NOERROR,,,img.auinmeio.com.br,
,o1.ptr4993.movilepay.com.br,60,149.72.148.127,,"{'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'movilepay.com.br', 'ns': 'ns-1007.awsdns-61.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,
,pm03-1.allin.movilepay.com,1400,177.70.232.67,,"{'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}",,,NOERROR,,,,
,pm04-1.allin.movilepay.com,1400,179.109.233.233,,"{'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}, {'name': 'allin.movilepay.com', 'ns': 'nsmaster.auinmeio.com.br', 'mailbox': 'root.server.allin.movilepay.com', 'serial': 2019092002, 'refresh': 1800, 'retry': 900, 'expire': 604800, 'minttl': 1200}",,,NOERROR,,,,
