input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,final_url,tls_mismatched,cdn_name,cdn
abonnement.libelle.nl,DPG Media Privacy Gate,200,8862,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://abonnement.libelle.nl:443,https,,text/html,GET,95.101.111.144,/,-318086011,2a02:26f0:ab00::214:8e52,278,False,Google Tag Manager,,https://myprivacy.dpgmedia.nl/consent?siteKey=gnz6tzrwbume34ba&callbackUrl=https://abonnement.libelle.nl/,,,
abonnementen.libelle.nl,Invalid URL,400,209,abonnementen.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,abonnementen.libelle.nl,443,https://abonnementen.libelle.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.144,/,-1097505317,2a02:26f0:ab00::214:8e52,8,False,,,,,,
account.libelle.nl,Inlogpoging geblokkeerd,406,3323,account.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T00:00:00Z,2023-08-24T23:59:59Z,"CN=*.libelle.nl, O=DPG Media Services NV, L=Antwerpen, C=BE",*.libelle.nl,DPG Media Services NV,libelle.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3349087eaf9f3a1cf12a3a448101966b,74e2478829f30fc1d3e42bfe14c16ec1ec4e16404c3698d70e4f439a6b515982,True,ctls,account.libelle.nl,443,https://account.libelle.nl:443,https,AkamaiGHost,text/html,GET,23.53.43.64,/,1609076659,2a02:26f0:ab00::214:8e60,1,False,,,,,,
accounts.libelle.nl,,200,,accounts.libelle.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-23T23:59:59Z,CN=accounts.libelle.nl,accounts.libelle.nl,,accounts.libelle.nl,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,49ed16788dce00c29aecfe5e826eff3b,fd3b8f9dfad44298627285e909ddb92e7c0eb0d5f5f883c67d31a126ce33e82d,,ctls,accounts.libelle.nl,443,https://accounts.libelle.nl:443,https,,text/html,GET,18.66.122.19,/,-1516177449,18.66.122.71,1,False,Amazon Web Services,,,,cloudfront,True
actie.libelle.nl,-,404,194,actie.libelle.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-20T02:48:07Z,2023-07-19T02:48:06Z,CN=actie.libelle.nl,actie.libelle.nl,,actie.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2f9ab02f61ce37a47204ce191a724efe,454bc9311662d3387ed963df800001ae49eb8f98eb1c7993a63a024972e9ca39,,ctls,actie.libelle.nl,443,https://actie.libelle.nl:443,https,NCSA/1.4.2,text/html,GET,51.77.37.192,/,-1840324437,178.33.129.44,21,False,HSTS,,,,,
autodiscover.libelle.nl,Sign in to Outlook,200,198467,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,80,http://autodiscover.libelle.nl:80,http,,text/html,GET,52.98.175.8,/,-1249852061,2603:1026:c0d:82c::8,173,False,HSTS,,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=40ece76e-31ac-6349-f9fe-1302570e590b&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=libelle.nl&nonce=638205640003253617.1f9af226-5170-403d-abd7-e1f005fcd47e&state=DctLDoMwDADRpL0Lu4DzdbtAnMVgR0IyjURbev1m8WY31hhz726dhR6DJT4C5JIAIIYci8fR1yfVEIrLHsEliOxoZXTiK0CuGycU299haj-allNIj1n3VVRlfOlw8UzfT-P9vbVLzj8,,,
beta.libelle.nl,DPG Media Privacy Gate,200,8843,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://beta.libelle.nl:443,https,,text/html,GET,23.53.43.81,/,368131872,2a02:26f0:ab00::214:8e73,278,False,Google Tag Manager,,https://myprivacy.dpgmedia.nl/consent?siteKey=0952csi2wipglhfq&callbackUrl=https%3a%2f%2fwww.libelle.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f,,,
brandedcontent.libelle.nl,DPG Media Branded Content -,200,16463,brandedcontent.libelle.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-16T07:09:39Z,2023-08-14T07:09:38Z,CN=persgroep.nl,persgroep.nl,,www.wndb.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0bc6752c5100a148a2fe92f90aeb8999,85b214cf442812c6f2c7197da7069396c6b52368d3cba2f32eeceb135c00e66e,,ctls,brandedcontent.libelle.nl,443,https://brandedcontent.libelle.nl:443,https,Apache,text/html,GET,23.53.43.56,/,-819867043,2a02:26f0:ab00::5c7a:d712,114,False,Yoast SEO:19.12,,,,,
circulation.libelle.nl,,200,12,circulation.libelle.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T13:43:32Z,2023-07-10T13:43:31Z,CN=circulation.libelle.nl,circulation.libelle.nl,,circulation.libelle.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,bc4c1f84cb7ecb9f2585144e423221cf,0fb41b3625698154e00236b9f19c9200f74d36538a371a0a8156d8203b264e33,,ctls,circulation.libelle.nl,443,https://circulation.libelle.nl:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,164.92.144.12,/,-1840324437,164.92.144.12,1,False,Ubuntu,,,,,
cmp.libelle.nl,,403,243,cmp.libelle.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T17:05:52Z,2023-07-29T17:05:51Z,CN=cmp.7sur7.be,cmp.7sur7.be,,cmp.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c0c9d30bbfa4135baa012b2025be56d,bdd54d9c44b9b3f48b7e777a1ff86ce9c5c37c4e547ac52afde6c799e3b7190f,,ctls,cmp.libelle.nl,443,https://cmp.libelle.nl:443,https,AmazonS3,application/xml,GET,13.32.121.91,/,-954916949,13.32.121.85,2,False,Amazon Web Services,,,,cloudfront,True
