input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url,csp_domains_
api-sam.caffeine.tv,ERROR: The request could not be satisfied,502,507,api-sam.caffeine.tv,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-10-21T23:59:59Z,CN=api-sam.caffeine.tv,api-sam.caffeine.tv,api-sam.caffeine.tv,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2e76fb0816818d0aa8e8f38a3255a973,e856fe4130340fdf663ebce4afd0e54c7df04f6926df600501cfb7ef8d34b972,,ctls,api-sam.caffeine.tv,cloudfront,443,https://api-sam.caffeine.tv:443,https,CloudFront,text/html,GET,13.225.78.88,/,-136827705,13.225.78.109,Amazon Web Services,16,False,True,,,,
api-sam.staging.caffeine.tv,ERROR: The request could not be satisfied,502,507,api-sam.staging.caffeine.tv,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-21T23:59:59Z,CN=api-sam.staging.caffeine.tv,api-sam.staging.caffeine.tv,api-sam.staging.caffeine.tv,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,e040bc8fa50cc7f9fec142ff12d4f6e4,652fab1dbd602521dd7981ff5964e049860d9887ba9fe64b489181597d58f9be,,ctls,api-sam.staging.caffeine.tv,cloudfront,443,https://api-sam.staging.caffeine.tv:443,https,CloudFront,text/html,GET,18.66.112.121,/,-511052619,18.66.112.21,Amazon Web Services,16,False,True,,,,
api.caffeine.tv,,404,,api.caffeine.tv,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-29T16:31:53Z,2023-06-27T16:31:52Z,CN=api.caffeine.tv,api.caffeine.tv,api.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3109e913d12f8571bbb5bf9f3aa71ab6,ccbd208b4a921b200a31182d51a67ce8ebbe1d956a94bee46e3cfb5a0220810b,,ctls,api.caffeine.tv,,443,https://api.caffeine.tv:443,https,istio-envoy,,GET,34.216.48.206,/,-1840324437,54.244.132.37,,1,False,,,,,
api.development.caffeine.tv,,404,,,,,,,,,,,,,,,,,,,,,80,http://api.development.caffeine.tv:80,http,istio-envoy,,GET,52.32.65.108,/,-1840324437,35.83.85.23,,1,False,,,,,
api.staging.caffeine.tv,,404,,api.staging.caffeine.tv,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-24T15:36:58Z,2023-06-22T15:36:57Z,CN=api.staging.caffeine.tv,api.staging.caffeine.tv,api.staging.caffeine.tv,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dd98095cdd6666fa78e453f97a9d9c8a,3850db3546170bac0f35460379172affc34ca65b81de9622761826fac61982e0,,ctls,api.staging.caffeine.tv,,443,https://api.staging.caffeine.tv:443,https,istio-envoy,,GET,52.34.220.49,/,-1840324437,54.214.77.53,,1,False,,,,,
applink.caffeine.tv,‎Caffeine: Live Streaming on the App Store,200,632604,apps.apple.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-04-25T16:27:49Z,2023-05-25T16:27:48Z,"CN=itunes.apple.com, OU=management:idms.group.1208920, O=Apple Inc., L=Cupertino, ST=California, C=US, serialNumber=C0806592, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=California, jurisdictionCountry=US, businessCategory=Private Organization",itunes.apple.com,a4.mzstatic.com,"CN=Apple Public EV Server RSA CA 2 - G1, O=Apple Inc., C=US",Apple Public EV Server RSA CA 2 - G1,Apple Inc.,6b2dbb0468f7ff76557e4d70117bdf12,9cba5b2dfea76ffb25e76b235a36057507c2202a571954429ecbf40c040e8d54,,ctls,apps.apple.com,fastly,443,https://applink.caffeine.tv:443,https,daiquiri/3.0.0,text/html,GET,151.101.2.49,/,1389956915,151.101.194.49,HSTS,1628,False,True,,Apple Inc.,https://apps.apple.com/app/apple-store/id1170629931,https://*.mzstatic.com
argos.caffeine.tv,Sign In,403,8193,argos.mesh.prd.prd.ethos.usw2.ctv.gg,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-24T17:35:22Z,2023-07-23T17:35:21Z,CN=argos.mesh.prd.prd.ethos.usw2.ctv.gg,argos.mesh.prd.prd.ethos.usw2.ctv.gg,argos.mesh.prd.prd.ethos.usw2.ctv.gg,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,19d46187decc75fe0dc1ecf9c02c111b,b1c1312595ec9b2ca678ff44d48e406c77f202b33ba3df37dc53005d6a44f1f9,,ctls,argos.mesh.prd.prd.ethos.usw2.ctv.gg,,443,https://argos.caffeine.tv:443,https,istio-envoy,text/html,GET,34.216.48.206,/,-1366678549,52.42.167.40,Envoy,76,False,,,,https://argos.mesh.prd.prd.ethos.usw2.ctv.gg/,
assets.caffeine.tv,404,404,160,assets.caffeine.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-09T22:42:11Z,2023-11-10T22:42:10Z,CN=*.caffeine.tv,*.caffeine.tv,*.caffeine.tv,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,06992e5ef139262c47d559a808583f56,a7880d3d87105f213894a4b7261e7c16b03fca4bf46bbcbb60f36a20b2265a9e,True,ctls,assets.caffeine.tv,fastly,443,https://assets.caffeine.tv:443,https,Varnish,text/html,GET,151.101.2.49,/,731318629,151.101.194.49,Varnish,11,False,True,,,,
beta.caffeine.tv,ERROR: The request could not be satisfied,403,919,beta.caffeine.tv,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-15T23:59:59Z,CN=caffeine.tv,caffeine.tv,*.caffeine.tv,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b45349c19c11abacac986ab2b6ab586a,1752dbf06be5ba23b14f82084f95161421043b50dcc33483b211dd614dd27ab9,True,ctls,beta.caffeine.tv,cloudfront,443,https://beta.caffeine.tv:443,https,CloudFront,text/html,GET,13.32.27.6,/,-1378097627,2600:9000:2396:c200:9:4aae:a80:93a1,Amazon Web Services,20,False,True,,,,
broadcaster-admin-service.caffeine.tv,,403,42,broadcaster-admin-service.caffeine.tv,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-15T23:59:59Z,CN=caffeine.tv,caffeine.tv,*.caffeine.tv,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b45349c19c11abacac986ab2b6ab586a,1752dbf06be5ba23b14f82084f95161421043b50dcc33483b211dd614dd27ab9,True,ctls,broadcaster-admin-service.caffeine.tv,,443,https://broadcaster-admin-service.caffeine.tv:443,https,,application/json,GET,54.90.70.7,/,768769774,52.201.91.90,,1,False,,,,,
