input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_mismatched,csp_domains_,final_url,tls_expired,tls_wildcard_certificate
3ds.lamiabanca.db.com,403 Forbidden,403,202,3ds.lamiabanca.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-01T23:59:59Z,"CN=3ds.lamiabanca.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",3ds.lamiabanca.db.com,Deutsche Bank AG,3ds.lamiabanca.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,3b2f672d42e916822aff6b0190e2741b,c0a249e2e604a739436888f76b7d61eb87339de501b1eebd1705808cb273e1bd,ctls,3ds.lamiabanca.db.com,443,https://3ds.lamiabanca.db.com:443,https,,text/html,GET,185.198.118.15,/,-366337701,185.198.118.15,HSTS,9,False,,,,,,,
abfx-websso-prod.egslb.db.com,Deutsche Bank Authentication Gateway,200,12771,login.isso.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-11T00:00:00Z,2023-09-11T23:59:59Z,"CN=login-sg.isso.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",login-sg.isso.db.com,Deutsche Bank AG,login.isso.deutsche-bank.com.cn,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,60102f61d7830a13c3711e57673186c8,d9168953cfed6c3c11962e49eca3b0a4d529fd1d95f894d5ad4e04970c7be8ef,ctls,login.isso.db.com,443,https://abfx-websso-prod.egslb.db.com:443,https,Apache,text/html,GET,160.83.59.142,/,-1504002826,160.83.59.142,JavaServer Pages:2.3,589,False,,,,,https://login.isso.db.com/websso/sso_Logon.sso?ct_orig_uri=https%3A%2F%2Flogin.isso.db.com%3A443%2Fwebsso%2Fsso_FallThrough.sso&requesting_slave=https%3A%2F%2Fuk.prod.autobahnfx.gm.db.com%2F&viaFT=false,,
abx1.sg.invest.db.com,400 Bad Request,400,124,abx1.sg.invest.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-06-21T23:59:59Z,"CN=invest.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",invest.db.com,Deutsche Bank AG,abx2.ext-demo.invest.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,d416bdc2607ac4afe8c2548f7410ff23,fb816f6a23a089e3f392d8e53982908591ae4b9d4ec4654ec40751dbd8b79c99,ctls,abx1.sg.invest.db.com,443,https://abx1.sg.invest.db.com:443,https,Deutsche Bank Server,text/html,GET,202.21.222.229,/,-1120318896,202.21.222.229,HSTS,8,False,,,,,,,
abx1.uk.invest.db.com,400 Bad Request,400,124,abx1.uk.invest.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-06-21T23:59:59Z,"CN=invest.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",invest.db.com,Deutsche Bank AG,abx2.ext-demo.invest.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,d416bdc2607ac4afe8c2548f7410ff23,fb816f6a23a089e3f392d8e53982908591ae4b9d4ec4654ec40751dbd8b79c99,ctls,abx1.uk.invest.db.com,443,https://abx1.uk.invest.db.com:443,https,Deutsche Bank Server,text/html,GET,160.83.56.197,/,-1120318896,160.83.56.197,HSTS,8,False,,,,,,,
abx2.ext-demo.invest.db.com,400 Bad Request,400,124,abx2.ext-demo.invest.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-11T00:00:00Z,2023-07-11T23:59:59Z,"CN=invest.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",invest.db.com,Deutsche Bank AG,abx2.ext-demo.invest.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,0abb07b1f70f94d65a95ca3cb94623d8,e2af81c92a4de7f11daae1be6979a2164933d4635f64af0460a0215efe16e413,ctls,abx2.ext-demo.invest.db.com,443,https://abx2.ext-demo.invest.db.com:443,https,Deutsche Bank Server,text/html,GET,160.83.58.204,/,-1120318896,160.83.58.204,HSTS,8,False,,,,,,,
abx2.uk.invest.db.com,400 Bad Request,400,124,abx2.uk.invest.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-22T00:00:00Z,2024-06-21T23:59:59Z,"CN=invest.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",invest.db.com,Deutsche Bank AG,abx2.ext-demo.invest.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,d416bdc2607ac4afe8c2548f7410ff23,fb816f6a23a089e3f392d8e53982908591ae4b9d4ec4654ec40751dbd8b79c99,ctls,abx2.uk.invest.db.com,443,https://abx2.uk.invest.db.com:443,https,Deutsche Bank Server,text/html,GET,160.83.58.195,/,-1120318896,160.83.58.195,HSTS,8,False,,,,,,,
accessindia.db.com,Deutsche Bank Authentication Gateway,200,29134,login.isso.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-11T00:00:00Z,2023-09-11T23:59:59Z,"CN=login-sg.isso.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",login-sg.isso.db.com,Deutsche Bank AG,login.isso.deutsche-bank.com.cn,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,60102f61d7830a13c3711e57673186c8,d9168953cfed6c3c11962e49eca3b0a4d529fd1d95f894d5ad4e04970c7be8ef,ctls,login.isso.db.com,443,https://accessindia.db.com:443,https,Apache,text/html,GET,95.101.111.180,/,-920188595,2a02:26f0:480:23::1726:62ae,JavaServer Pages:2.3,921,False,,,,,https://login.isso.db.com/websso/sso_multi_auth_flex_Logon.sso?ct_orig_uri=https%3A%2F%2Flogin.isso.db.com%3A443%2Fwebsso%2Fsso_FallThrough.sso&requesting_slave=https%3A%2F%2Faccessindia.db.com%2F&viaFT=false,,
account.db.com,Default page,200,366,account.db.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=account.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",account.db.com,Deutsche Bank AG,account.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,47f6f9e6c1060d566c0bc68eeaa7dcaf,47cb97cee6223efa870eb52ad478f244dc412bbd77f54d544a0ffa7b9bbe5d9b,ctls,account.db.com,443,https://account.db.com:443,https,Apache,text/html,GET,95.101.111.160,/,-780928015,2a02:26f0:480:23::1726:62a4,HSTS,19,False,,,,,,,
activesync-am-dev-dbrasweb.egslb.db.com,Login,200,4570,activesync-am-dev-dbrasweb.egslb.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2024-03-21T23:59:59Z,"CN=us3.dbrasweb.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",us3.dbrasweb.db.com,Deutsche Bank AG,uk.dbrasweb.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,80f528d9586930cd8fa1ea256a57d0b0,6d0bd9feac6fc39508f363033bbb9d00bf8b22d8398061f33b6782d19dae65e7,ctls,activesync-am-dev-dbrasweb.egslb.db.com,443,https://activesync-am-dev-dbrasweb.egslb.db.com:443,https,,text/html,GET,160.83.74.34,/,1820856063,160.83.74.34,HSTS,127,False,,,True,,https://activesync-am-dev-dbrasweb.egslb.db.com/dana-na/auth/url_default/welcome.cgi,,
adr.db.com,Deutsche Bank - Depositary Receipts,200,80849,adr.db.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T00:00:00Z,2024-02-27T23:59:59Z,"CN=adr.gtb.db.com, O=Deutsche Bank AG, street=Taunusanlage 12, L=Frankfurt am Main, ST=Hessen, C=DE, serialNumber=HRB 30000, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE, businessCategory=Private Organization, jurisdictionLocality=Frankfurt am Main, jurisdictionStateOrProvince=Hessen, jurisdictionCountry=DE",adr.gtb.db.com,Deutsche Bank AG,www.adr.db.com,"CN=DigiCert EV RSA CA G2, O=DigiCert Inc, C=US",DigiCert EV RSA CA G2,DigiCert Inc,5cad33758d41b4fc05e653d4c7f62d02,dc6254869d948dc3d280361f4fb4eb2b087601ce245c4d53d4a92e5e13b0a1d9,ctls,adr.db.com,443,https://adr.db.com:443,https,Apache,text/html,GET,160.83.69.92,/,-780928015,160.83.69.92,jQuery,1211,False,,,,,,,
