input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,webserver,cdn_name,cdn,csp_domains_
admin-qa.moviexchange.com,MX Admin Portal,200,696,admin-qa.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,admin-qa.moviexchange.com,443,https://admin-qa.moviexchange.com:443,https,text/html,GET,104.16.200.18,/,23836348,2606:4700::6810:c812,Cloudflare,16,False,,cloudflare,cloudflare,True,
admin-staging.moviexchange.com,MX Admin Portal,200,696,admin-staging.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,admin-staging.moviexchange.com,443,https://admin-staging.moviexchange.com:443,https,text/html,GET,104.16.201.18,/,23836348,2606:4700::6810:c912,Cloudflare,16,False,,cloudflare,cloudflare,True,
api-qa.moviexchange.com,,404,19,api-qa.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,api-qa.moviexchange.com,443,https://api-qa.moviexchange.com:443,https,text/plain,GET,104.16.200.18,/,-138391155,2606:4700::6810:c812,Cloudflare,2,False,,cloudflare,cloudflare,True,
api-staging.moviexchange.com,,404,19,api-staging.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,api-staging.moviexchange.com,443,https://api-staging.moviexchange.com:443,https,text/plain,GET,104.16.200.18,/,-138391155,2606:4700::6810:c912,Cloudflare,2,False,,cloudflare,cloudflare,True,
api.moviexchange.com,,404,19,api.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-08-17T00:00:00Z,2023-08-30T23:59:59Z,"CN=*.moviexchange.com, O=Vista Group International Limited, L=Auckland, C=NZ",*.moviexchange.com,Vista Group International Limited,moviexchange.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,059bfcdacea7638605e30bd072109635,b15db880847901f97d01c6e54a561b5fd9e4f0577315fe381930ff15caf7a21a,True,ctls,api.moviexchange.com,443,https://api.moviexchange.com:443,https,text/plain,GET,20.109.130.67,/,-138391155,20.109.130.67,,2,False,,,,,
autodiscover.moviexchange.com,Sign in to Outlook,200,201028,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,80,http://autodiscover.moviexchange.com:80,http,text/html,GET,40.99.149.152,/,-1249852061,2603:1026:c0d:c03::8,HSTS,174,False,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=2cd30db1-63e7-943a-7c68-7cc201d96327&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=moviexchange.com&nonce=638196725953942366.1928852e-4031-43ef-bed7-76a1e4c68927&state=DctNDsIgEEBh0Lu4krb8zcCi8SwjjNpEStJW9Piy-N7uSSHEuTt1cuoRCDboCGh89DY6YwEGHU0I3rByk9XKWX6oO2dUCKTZJQjRoOzvdaxfGm8b07vMpbaFf-lF65OHVMul5Zk-R83Lnmrj7Q8,,,,
docs.moviexchange.com,,400,351,docs.moviexchange.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-04-27T18:47:03Z,2024-04-21T18:47:03Z,"CN=*.blob.core.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.blob.core.windows.net,Microsoft Corporation,*.z50.blob.storage.azure.net,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,a7ce15772384041b74f7a9fc7cf61888,c17ef611b77c8d3e5dcc4086116d36ad12d06868aec0db7bce9c74666fd405c4,True,ctls,docs.moviexchange.com,443,https://docs.moviexchange.com:443,https,application/xml,GET,52.183.104.36,/,22498232,52.183.104.36,Microsoft HTTPAPI:2.0,3,False,,Microsoft-HTTPAPI/2.0,azure,True,
enterpriseenrollment.moviexchange.com,Microsoft Intune admin center,200,39820,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,443,https://enterpriseenrollment.moviexchange.com:443,https,text/html,GET,20.91.147.72,/,1631801191,20.91.147.72,HSTS,4,False,https://intune.microsoft.com/,,,,
film-ci.moviexchange.com,movieXchange,200,8764,film-ci.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film-ci.moviexchange.com,443,https://film-ci.moviexchange.com:443,https,text/html,GET,104.16.201.18,/,-1255347784,2606:4700::6810:c812,Cloudflare,221,False,,cloudflare,cloudflare,True,
film-qa.moviexchange.com,movieXchange,200,8764,film-qa.moviexchange.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-29T00:00:00Z,2024-04-28T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.moviexchange.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",190e25e1e701c52b1b4d36ee5f62db3a,7f87ca7f0f643957ea1662b16790cf1049b6e86e3f4a9dbfa029a0901a595c46,True,ctls,film-qa.moviexchange.com,443,https://film-qa.moviexchange.com:443,https,text/html,GET,104.16.201.18,/,-1255347784,2606:4700::6810:c912,Cloudflare,221,False,,cloudflare,cloudflare,True,
