new,host,ttl,a,soa,status_code,aaaa,cname,cdn,cdn-name,mx,txt,ns,caa
[x],agien.latoken.com,300,,"{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::681a:b19, 2606:4700:20::ac43:49e4, 2606:4700:20::681a:a19",,,,,,,
[x],airdrop.latoken.com,300,"104.26.10.25, 104.26.11.25, 172.67.73.228","{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::681a:a19, 2606:4700:20::ac43:49e4, 2606:4700:20::681a:b19",,,,mxb.mailgun.org,v=spf1 include:mailgun.org ~all,,
[x],api-gpt.deliver.latoken.com,300,65.21.243.19,"{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
[x],api-new.latoken.com,300,"172.67.73.228, 104.26.11.25, 104.26.10.25","{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::681a:b19, 2606:4700:20::681a:a19, 2606:4700:20::ac43:49e4",,,,,,,
[x],api.latoken.com,300,"104.26.10.25, 104.26.11.25, 172.67.73.228","{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::681a:b19, 2606:4700:20::681a:a19, 2606:4700:20::ac43:49e4",,,,,,,
[x],bef.latoken.com,300,"104.26.10.25, 104.26.11.25, 172.67.73.228","{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::ac43:49e4, 2606:4700:20::681a:a19, 2606:4700:20::681a:b19",,,,"aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com","facebook-domain-verification=zxt29nxz6bvvvyrlo657xnmi2h6d0i, v=spf1 include:_spf.elasticemail.com ~all",,
[x],blog.latoken.com,300,52.0.16.118,"{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
[x],business-api.latoken.com,300,"104.26.11.25, 172.67.73.228, 104.26.10.25","{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::ac43:49e4, 2606:4700:20::681a:b19, 2606:4700:20::681a:a19",,,,,,,
[x],business.latoken.com,300,"104.26.11.25, 172.67.73.228, 104.26.10.25","{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::681a:a19, 2606:4700:20::681a:b19, 2606:4700:20::ac43:49e4",,,,,,,
[x],cdn-new.latoken.com,300,"172.67.73.228, 104.26.10.25, 104.26.11.25","{'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'latoken.com', 'ns': 'aida.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2346957916, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"2606:4700:20::ac43:49e4, 2606:4700:20::681a:a19, 2606:4700:20::681a:b19",,,,,,,
