new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,caa,mx,ns
[x],1inch-pool-rewards.lido.fi,"104.22.16.201, 172.67.6.192, 104.22.17.201","2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],airdrop.lido.fi,"172.67.6.192, 104.22.16.201, 104.22.17.201","2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],anchor.lido.fi,"104.22.16.201, 104.22.17.201, 172.67.6.192","2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],api-fees-monitoring.lido.fi,"172.67.6.192, 104.22.17.201, 104.22.16.201","2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],dao-agreements.lido.fi,"104.22.17.201, 172.67.6.192, 104.22.16.201","2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],docs.kusama.lido.fi,"185.199.111.153, 185.199.108.153, 185.199.109.153, 185.199.110.153","2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,lidofinance.github.io,"digicert.com, letsencrypt.org",,
[x],docs.lido.fi,"185.199.109.153, 185.199.110.153, 185.199.111.153, 185.199.108.153","2606:50c0:8000::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8001::153","dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lidofinance.github.io,"digicert.com, letsencrypt.org",,
[x],docs.polkadot.lido.fi,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8000::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8001::153","ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,lidofinance.github.io,"letsencrypt.org, digicert.com",,
[x],docs.solana.lido.fi,,,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,lidofinance.github.io,"digicert.com, letsencrypt.org",,
[x],docs.terra.lido.fi,"185.199.111.153, 185.199.109.153, 185.199.110.153, 185.199.108.153","2606:50c0:8000::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8001::153","ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,lidofinance.github.io,"digicert.com, letsencrypt.org",,
[x],easytrack.lido.fi,,"2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],fees-monitoring.lido.fi,"104.22.16.201, 172.67.6.192, 104.22.17.201",,"jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],governance-herald.lido.fi,"188.114.99.229, 188.114.98.229","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],grafana-kusama.lido.fi,"188.114.99.229, 188.114.98.229","2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],lido.fi,,"2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, gkk2mpqucco5kghoyx6blnlo7vzvazchd6vzkvryrl4zc7wpiiwa.mx-verification.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","jaime.ns.cloudflare.com, nancy.ns.cloudflare.com"
[x],loki.lido.fi,"104.22.16.201, 172.67.6.192, 104.22.17.201","2606:4700:10::ac43:6c0, 2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],matomo.lido.fi,"104.22.17.201, 104.22.16.201, 172.67.6.192","2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],operatorportal.lido.fi,"76.76.21.142, 76.76.21.93",,"dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,"cname.super.so, cname.vercel-dns.com","sectigo.com, letsencrypt.org, globalsign.com",,
[x],operators.lido.fi,"172.67.6.192, 104.22.17.201, 104.22.16.201","2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],polkadot.lido.fi,"172.67.6.192, 104.22.17.201, 104.22.16.201","2606:4700:10::ac43:6c0, 2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],polygon.lido.fi,"104.22.17.201, 104.22.16.201, 172.67.6.192","2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],prometheus.lido.fi,"104.22.17.201, 172.67.6.192, 104.22.16.201","2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],referral.lido.fi,"104.22.16.201, 172.67.6.192, 104.22.17.201","2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],scorecard.lido.fi,"172.67.6.192, 104.22.17.201, 104.22.16.201","2606:4700:10::6816:11c9, 2606:4700:10::6816:10c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
[x],sol-api-pub.lido.fi,"104.22.16.201, 172.67.6.192, 104.22.17.201","2606:4700:10::6816:10c9, 2606:4700:10::6816:11c9, 2606:4700:10::ac43:6c0","jaime.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
