new,host,ttl,soa,status_code,a,aaaa,cname,caa,ns,mx,txt
[x],1inch-pool-rewards.lido.fi,300,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.24.198, 104.18.25.198","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",,,,,
[x],airdrop.lido.fi,300,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.24.198, 104.18.25.198","2606:4700::6812:19c6, 2606:4700::6812:18c6",,,,,
[x],alertmanager.lido.fi,300,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.25.198, 104.18.24.198","2606:4700::6812:19c6, 2606:4700::6812:18c6",,,,,
[x],anchor.lido.fi,300,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.25.198, 104.18.24.198",,,,,,
[x],api-fees-monitoring.lido.fi,300,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.25.198, 104.18.24.198","2606:4700::6812:18c6, 2606:4700::6812:19c6",,,,,
[x],blog.lido.fi,300,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.25.198, 104.18.24.198","2606:4700::6812:19c6, 2606:4700::6812:18c6",,,,,
[x],cadvisor.lido.fi,300,"{'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'lido.fi', 'ns': 'jaime.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2337000561, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.24.198, 104.18.25.198","2606:4700::6812:19c6, 2606:4700::6812:18c6",,,,,
[x],dao-agreements.lido.fi,196,"{'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560353, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560353, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560353, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'vercel-dns.com', 'ns': 'dns1.p07.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1657560353, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}",NOERROR,"76.76.21.142, 76.76.21.123",,"cname.super.so, cname.vercel-dns.com","sectigo.com, letsencrypt.org, globalsign.com",,,
[x],docs.kusama.lido.fi,300,"{'name': 'github.io', 'ns': 'dns1.p05.nsone.net', 'mailbox': 'hostmaster.nsone.net', 'serial': 1647625169, 'refresh': 43200, 'retry': 7200, 'expire': 1209600, 'minttl': 3600}, {'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"185.199.111.153, 185.199.109.153, 185.199.110.153, 185.199.108.153","2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8000::153, 2606:50c0:8003::153",lidofinance.github.io,"sectigo.com, digicert.com, letsencrypt.org","dns1.p05.nsone.net, dns2.p05.nsone.net, dns3.p05.nsone.net, dns4.p05.nsone.net, ns-1339.awsdns-39.org, ns-1622.awsdns-10.co.uk, ns-393.awsdns-49.com, ns-692.awsdns-22.net",,
[x],docs.lido.fi,300,"{'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'github.io', 'ns': 'ns-1622.awsdns-10.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"2606:50c0:8000::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8001::153",lidofinance.github.io,"digicert.com, letsencrypt.org, sectigo.com",,,
