input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,final_url,csp_domains_,cdn_name,cdn
abonnement.parool.nl,DPG Media Privacy Gate,200,8844,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://abonnement.parool.nl:443,https,,text/html,GET,2.16.1.66,/,-318086011,2a02:26f0:ab00::214:8e68,278,False,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=08bz7d1cyimt5z7g&callbackUrl=https://abonnement.parool.nl/,,,
acc.meer.parool.nl,DPG Media Privacy Gate,200,8825,myprivacy.dpgmedia.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-14T00:00:00Z,2024-01-17T23:59:59Z,"CN=*.dpgmedia.nl, O=DPG Media Services nv, L=Antwerpen, C=BE",*.dpgmedia.nl,DPG Media Services nv,dpgmedia.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0197d4b31f5f6099f81b5edc07efa2af,4250cba0eb9b77bd26684645ad7b1676896e97bda5582b89ed668255013878c5,True,ctls,myprivacy.dpgmedia.nl,443,https://acc.meer.parool.nl:443,https,,text/html,GET,2.16.1.97,/,-449504885,2a02:26f0:ab00::5c7a:d72b,278,False,Google Tag Manager,https://myprivacy.dpgmedia.nl/consent?siteKey=5id0G7K93Kr6sOje&callbackUrl=https%3a%2f%2fwww.parool.nl%2fprivacy-wall%2faccept%3fredirectUri%3d%252f,,,
acc.parool.nl,Access Denied,401,263,acc.parool.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.parool.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.parool.nl,DPG Media Services N.V.,parool.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,349428e53854e50b2d603cf99bed441f,0dced2576780ac3be9a6328e459399816f65b3f5028d67d3eb337c3279c5a608,True,ctls,acc.parool.nl,443,https://acc.parool.nl:443,https,AkamaiGHost,text/html,GET,95.101.111.160,/,-531310183,2a02:26f0:480:23::1726:628d,10,False,HSTS,,https:,,
account.parool.nl,Inlogpoging geblokkeerd,406,3323,account.parool.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.parool.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.parool.nl,DPG Media Services N.V.,parool.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,349428e53854e50b2d603cf99bed441f,0dced2576780ac3be9a6328e459399816f65b3f5028d67d3eb337c3279c5a608,True,ctls,account.parool.nl,443,https://account.parool.nl:443,https,AkamaiGHost,text/html,GET,2.16.1.24,/,619739821,2a02:26f0:ab00::214:8e60,1,False,,,,,
accounts.parool.nl,,200,,accounts.parool.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-17T00:00:00Z,2023-10-17T23:59:59Z,CN=accounts.persgroep.nl,accounts.persgroep.nl,,social.volkskrant.nl,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,3f3039929bd7e3a154638178dd28b2d2,070e06f614f39e7264de842fe97efda4a8fe5f7226694e8933595229380a2dd0,,ctls,accounts.parool.nl,443,https://accounts.parool.nl:443,https,,text/html,GET,52.31.157.92,/,-1516177449,52.31.157.92,1,False,,,,,
banen.parool.nl,CareerCast.com | The premier site to find local and niche jobs,200,80312,www.careercast.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-07T14:18:27Z,2023-11-08T14:18:27Z,"CN=*.careercast.com, O=Adicio\, Inc., L=Carlsbad, ST=California, C=US",*.careercast.com,"Adicio, Inc.",careercast.com,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",ba488a06df1b19d8af2ea310a8527970,5ef1f31529cc9a1bb67b9e0d71e133710eaf3219cac12130717abb53aa01fd41,True,ctls,www.careercast.com,443,https://banen.parool.nl:443,https,Apache,text/html,GET,64.209.143.43,/,988998625,64.209.143.43,1173,False,PHP,https://www.careercast.com/,,,
brandedcontent.parool.nl,DPG Media Branded Content -,200,16463,brandedcontent.parool.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.parool.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.parool.nl,DPG Media Services N.V.,parool.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,349428e53854e50b2d603cf99bed441f,0dced2576780ac3be9a6328e459399816f65b3f5028d67d3eb337c3279c5a608,True,ctls,brandedcontent.parool.nl,443,https://brandedcontent.parool.nl:443,https,Apache,text/html,GET,2.16.1.33,/,-531562756,2a02:26f0:ab00::5c7a:d768,114,False,Yoast SEO:19.12,,,,
circulation.parool.nl,,200,12,circulation.parool.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T13:43:41Z,2023-07-10T13:43:40Z,CN=circulation.parool.nl,circulation.parool.nl,,circulation.parool.nl,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,57ce689d761e25a7b79a36d6bedf75c5,5c08eca556ef4f2e6c4bc4c0408348f24f575ae616dc9e5276a597a2b8747bfd,,ctls,circulation.parool.nl,443,https://circulation.parool.nl:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,164.92.144.12,/,-1840324437,164.92.144.12,1,False,Ubuntu,,,,
cmp.parool.nl,,403,243,cmp.parool.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T17:05:52Z,2023-07-29T17:05:51Z,CN=cmp.7sur7.be,cmp.7sur7.be,,cmp.willy.radio,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9c0c9d30bbfa4135baa012b2025be56d,bdd54d9c44b9b3f48b7e777a1ff86ce9c5c37c4e547ac52afde6c799e3b7190f,,ctls,cmp.parool.nl,443,https://cmp.parool.nl:443,https,AmazonS3,application/xml,GET,13.32.121.91,/,-954916949,13.32.121.43,2,False,Amazon Web Services,,,cloudfront,True
digitalekrant.parool.nl,Inlogpoging geblokkeerd,406,3323,login2.parool.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-10-11T00:00:00Z,2023-10-11T23:59:59Z,"CN=*.parool.nl, O=DPG Media Services N.V., L=Antwerpen, C=BE",*.parool.nl,DPG Media Services N.V.,parool.nl,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,349428e53854e50b2d603cf99bed441f,0dced2576780ac3be9a6328e459399816f65b3f5028d67d3eb337c3279c5a608,True,ctls,login2.parool.nl,443,https://digitalekrant.parool.nl:443,https,AkamaiGHost,text/html,GET,46.30.127.88,/,-1531841733,46.30.126.159,1,False,,https://login2.parool.nl/authorize?client_id=par-visiolinkepaper-web&redirect_uri=https%3A%2F%2Fkrant.parool.nl%2Fw%2Fdpg%2F&response_mode=form_post&response_type=code&scope=openid+profile+email&nonce=93208a1a3993cba3fe558753b8869758&state=dummy123&ui_locales=nl-NL,,,
