input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_mismatched
*.cloudflare.com,Cloudflare - The Web Performance & Security Company | Cloudflare,200,299391,www.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-27T00:00:00Z,2023-09-26T23:59:59Z,"CN=www.cloudflare.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",www.cloudflare.com,"Cloudflare, Inc.",www.cloudflare.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5382f18b27204b4b24be31359b189e3b,3e65041447192fd8379f12182581005d7937f000cfe102248de704bb480fa4ec,,ctls,www.cloudflare.com,cloudflare,443,https://cloudflare.com:443,https,cloudflare,text/html,GET,104.16.132.229,/,1914658187,2606:4700::6810:84e5,React,86,False,True,,https://www.cloudflare.com/,
*.fontawesome.com,Font Awesome,200,5458,fontawesome.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-22T00:00:00Z,2023-12-23T23:59:59Z,"CN=*.fontawesome.com, O=Fonticons Inc, L=Bentonville, ST=Arkansas, C=US",*.fontawesome.com,Fonticons Inc,fontawesome.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a313f1642dc4e5373a91111c094738cf,f672032cd096e11ebdad77147482cebb408841fcd2f9162b9334738f844ffc82,True,ctls,fontawesome.com,cloudflare,443,https://fontawesome.com:443,https,cloudflare,text/html,GET,104.18.22.52,/,1959603703,104.18.22.52,HSTS,124,False,True,,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,sffe,text/html,GET,216.58.212.164,/,302920777,2a00:1450:4001:812::2004,HTTP/3,1831,False,,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,https://marketingplatform.google.com/about/analytics/,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:13Z,2023-07-17T12:00:12Z,CN=*.googleapis.com,*.googleapis.com,,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,06c854b043dd65e1f308ec77994c4cd0,39a04a5ea2fa354528ea8a0e650c2167cefe25f1f01485bbc770bed6288a409b,True,ctls,googleapis.com,,443,https://googleapis.com:443,https,,text/html,GET,142.250.186.68,/,302920777,2a00:1450:4001:80e::2004,HTTP/3,12,False,,,,
*.itslearning.com,Lernmanagementsystem - Das führende LMS für Schulen | itslearning,200,477760,itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-05-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4606ea0578712de008ccd6f90cafcc53,19cda6c914b304ca0db868048b08de4ebe1b3e202c2d30fcc99f1e13827dac66,True,ctls,itslearning.com,cloudflare,443,https://itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,-1840324437,2606:4700::6812:8344,Yoast SEO Premium:15.2.1,3009,False,True,,https://itslearning.com/de/,
*.itslearning.com:*,Lernmanagementsystem - Das führende LMS für Schulen | itslearning,200,477760,itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-05-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4606ea0578712de008ccd6f90cafcc53,19cda6c914b304ca0db868048b08de4ebe1b3e202c2d30fcc99f1e13827dac66,True,ctls,itslearning.com,,443,https://itslearning.com:443,https,cloudflare,text/html,GET,,/,-1840324437,,Yoast SEO Premium:15.2.1,3009,False,,,https://itslearning.com/de/,
*.skype.com,Skype | Stay connected with free video calls worldwide,200,94135,www.skype.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-20T11:28:16Z,2024-01-15T11:28:16Z,"CN=www.skype.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",www.skype.com,Microsoft Corporation,www.skype.com,"CN=Microsoft Azure TLS Issuing CA 01, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 01,Microsoft Corporation,cb15243994e544a7bbf4aa3a7855d13c,d2d7a6f082fc593db9f843ed1902d654cf6a7544a8afa4118f7db62c8fd98d61,,ctls,www.skype.com,,443,https://skype.com:443,https,,text/html,GET,20.103.85.33,/,1501005813,20.84.181.62,Microsoft ASP.NET,305,False,,,https://www.skype.com/en/,
*.teams.microsoft.com,Microsoft Teams - Error,200,11192,teams.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-19T19:04:27Z,2023-08-14T19:04:27Z,"CN=teams.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",teams.microsoft.com,Microsoft Corporation,teams.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 01, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 01,Microsoft Corporation,86595395d1fb657b6b28f9a2cf8a3332,ccbe147f1a9421d1403fada7217051b267c4bf8b6eb2a2605730974896d547ce,,ctls,teams.microsoft.com,,443,https://teams.microsoft.com:443,https,,text/html,GET,52.113.194.132,/,-1754922028,2620:1ec:42::132,HSTS,243,False,,r.msftstatic.com,https://teams.microsoft.com/error/ie_not_supported,
02v0-okta-sso.itslearning.com,Login: Select your site to access itslearning for your school,200,76820,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-05-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4606ea0578712de008ccd6f90cafcc53,19cda6c914b304ca0db868048b08de4ebe1b3e202c2d30fcc99f1e13827dac66,True,ctls,eu1.itslearning.com,cloudflare,443,https://02v0-okta-sso.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,https://www.dropbox.com,https://eu1.itslearning.com/welcome.aspx,
1.itslearning.com,Login: Select your site to access itslearning for your school,200,76820,eu1.itslearning.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-18T00:00:00Z,2024-05-17T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4606ea0578712de008ccd6f90cafcc53,19cda6c914b304ca0db868048b08de4ebe1b3e202c2d30fcc99f1e13827dac66,True,ctls,eu1.itslearning.com,cloudflare,443,https://1.itslearning.com:443,https,cloudflare,text/html,GET,104.18.131.68,/,1631801191,2606:4700::6812:8444,Microsoft ASP.NET,178,False,True,https://eu1realtime.itslearning.com,https://eu1.itslearning.com/welcome.aspx,
