input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_wildcard_certificate,final_url
assets.winni.in,Error,503,176,assets.winni.in,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-21T00:00:00Z,2024-03-23T23:59:59Z,"CN=*.winni.in, O=Dhawala Online Solutions Pvt. Ltd, L=Bengaluru, ST=Karnataka, C=IN",*.winni.in,Dhawala Online Solutions Pvt. Ltd,winni.in,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0240920d3e50c965c1c14f2d2c599941,8fb7e6591c69100599b930af93363f78235df0f6326272119376d5e1c1f96c2e,ctls,assets.winni.in,80,http://assets.winni.in:80,http,,text/html,GET,2.17.100.224,/,-1479713784,2a02:26f0:ab00::214:8e58,,5,False,,,True,https://assets.winni.in/
blogassets.winni.in,"#1 online Cake, Flowers and Gifts Delivery in India | Winni",200,247138,blogassets.winni.in,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-23T00:00:00Z,2024-02-05T23:59:59Z,CN=*.winni.in,*.winni.in,,*.winni.in,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4675d17a9e6edf685ec39e8119d60a9a,77989234d86e58d3c898ea2002b634fd547a47c1bb84502802bde941de738ef5,ctls,blogassets.winni.in,443,https://blogassets.winni.in:443,https,nginx,text/html,GET,13.32.121.39,/,604143655,13.32.121.118,Nginx,3136,False,cloudfront,True,True,
cust.winni.in,403 Forbidden,403,162,,,,,,,,,,,,,,,,,,,,80,http://cust.winni.in:80,http,nginx,text/html,GET,13.233.107.224,/,190856733,13.233.107.224,Nginx,8,False,,,,
dmxalb.winni.in,,404,91,dmxalb.winni.in,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-03-15T00:00:00Z,2023-06-09T23:59:59Z,"CN=ukgfxw.satofull.jp, O=Criteo SA, L=Paris, ST=Île-de-France, C=FR",ukgfxw.satofull.jp,Criteo SA,ukgfxw.satofull.jp,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8b03c6d92541424f65ca5dba004ef56a,058faf8ebb7996c6a0d3b2fd228fb7ef6bce0edd47432ac27557707ed1286da5,ctls,dmxalb.winni.in,443,https://dmxalb.winni.in:443,https,Kestrel,text/html,GET,178.250.1.11,/,-1947197333,2a02:2638:d::d,Microsoft ASP.NET,1,False,,,,
st.winni.in,403 Forbidden,403,564,,,,,,,,,,,,,,,,,,,,80,http://st.winni.in:80,http,nginx,text/html,GET,13.233.107.224,/,1506877856,13.233.107.224,Nginx,14,False,,,,
staging2.winni.in,"#1 online Cake, Flowers and Gifts Delivery in India | Winni",200,245522,staging2.winni.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2023-12-20T23:59:59Z,CN=*.winni.in,*.winni.in,,winni.in,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b77a4cd841bb09e5d5830cc458718c1,86984d07e0cac148f680df511feb762cf6b0b105f776b4fea545726826656bd0,ctls,staging2.winni.in,443,https://staging2.winni.in:443,https,nginx,text/html,GET,15.206.30.46,/,-718273414,13.234.142.78,Nginx,3185,False,,,True,
staging3.winni.in,503 Service Temporarily Unavailable,503,564,staging3.winni.in,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-02-07T00:00:00Z,2023-12-20T23:59:59Z,CN=*.winni.in,*.winni.in,,winni.in,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2b77a4cd841bb09e5d5830cc458718c1,86984d07e0cac148f680df511feb762cf6b0b105f776b4fea545726826656bd0,ctls,staging3.winni.in,443,https://staging3.winni.in:443,https,awselb/2.0,text/html,GET,13.234.142.78,/,2051366281,15.206.30.46,,13,False,,,True,
winni.in,"#1 online Cake, Flowers and Gifts Delivery in India | Winni",200,254145,www.winni.in,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-21T00:00:00Z,2024-03-23T23:59:59Z,"CN=*.winni.in, O=Dhawala Online Solutions Pvt. Ltd, L=Bengaluru, ST=Karnataka, C=IN",*.winni.in,Dhawala Online Solutions Pvt. Ltd,winni.in,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0240920d3e50c965c1c14f2d2c599941,8fb7e6591c69100599b930af93363f78235df0f6326272119376d5e1c1f96c2e,ctls,www.winni.in,443,https://winni.in:443,https,,text/html,GET,15.206.30.46,/,437592968,13.234.142.78,Google Tag Manager,3198,False,,,True,https://www.winni.in:443/
www.winni.in,"#1 online Cake, Flowers and Gifts Delivery in India | Winni",200,254140,www.winni.in,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-21T00:00:00Z,2024-03-23T23:59:59Z,"CN=*.winni.in, O=Dhawala Online Solutions Pvt. Ltd, L=Bengaluru, ST=Karnataka, C=IN",*.winni.in,Dhawala Online Solutions Pvt. Ltd,winni.in,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0240920d3e50c965c1c14f2d2c599941,8fb7e6591c69100599b930af93363f78235df0f6326272119376d5e1c1f96c2e,ctls,www.winni.in,443,https://www.winni.in:443,https,,text/html,GET,104.126.37.130,/,437592968,2a02:26f0:1700:11::b856:6798,Google Tag Manager,3198,False,,,True,
zendesk1.winni.in,Origin DNS error | zendesk1.winni.in | Cloudflare,530,6201,,,,,,,,,,,,,,,,,,,,80,http://zendesk1.winni.in:80,http,cloudflare,text/html,GET,162.159.138.6,/,-1699687396,162.159.128.7,Cloudflare,93,False,cloudflare,True,,
zendesk2.winni.in,Origin DNS error | zendesk2.winni.in | Cloudflare,530,6201,,,,,,,,,,,,,,,,,,,,80,http://zendesk2.winni.in:80,http,cloudflare,text/html,GET,162.159.128.7,/,1884464858,162.159.138.6,Cloudflare,93,False,cloudflare,True,,
zendesk4.winni.in,Origin DNS error | zendesk4.winni.in | Cloudflare,530,6201,,,,,,,,,,,,,,,,,,,,80,http://zendesk4.winni.in:80,http,cloudflare,text/html,GET,162.159.128.7,/,-1126404374,162.159.138.6,Cloudflare,93,False,cloudflare,True,,
