input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,tls_wildcard_certificate,csp_domains_,cdn_name,cdn,final_url,tls_self_signed
0down.bbu.gts.bitdefender.net,403 Forbidden,403,146,,,,,,,,,,,,,,,,,,,80,http://0down.bbu.gts.bitdefender.net:80,http,nginx,text/html,GET,195.189.155.152,/,788525476,195.189.155.152,Nginx,8,False,,,,,,,
0down.fra.htz.bitdefender.net,403 Forbidden,403,146,,,,,,,,,,,,,,,,,,,80,http://0down.fra.htz.bitdefender.net:80,http,nginx,text/html,GET,78.46.102.45,/,788525476,78.46.102.45,Nginx,8,False,,,,,,,
0pml2wpb.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://0pml2wpb.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
0upmidg.cdn.bitdefender.net,403 Forbidden,403,153,0upmidg.cdn.bitdefender.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-01-30T00:00:00Z,2024-02-29T23:59:59Z,CN=secupgr.cdn.bitdefender.net,secupgr.cdn.bitdefender.net,www.secupgr.cdn.bitdefender.net,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,9c924fd54e77187a2503acb4e73ea9fa,2c364dce31833964aee064515814cc1bcf76e44b1e432c6241780e3f96fa4ab8,ctls,0upmidg.cdn.bitdefender.net,443,https://0upmidg.cdn.bitdefender.net:443,https,nginx,text/html,GET,94.130.221.44,/,-1298480087,94.130.221.44,Nginx,8,False,,,,,,,
155-9-183-61.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-183-61.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-184-19.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-184-19.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-187-12.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-187-12.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-187-92.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-187-92.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-199-14.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-199-14.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-204-94.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-204-94.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-208-31.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-208-31.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-211-74.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-211-74.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-215-49.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-215-49.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-226-7.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-226-7.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
155-9-226-80.oem-central-stage.bitdefender.com,,404,21,,,,,,,,,,,,,,,,,,,80,http://155-9-226-80.oem-central-stage.bitdefender.com:80,http,,text/plain,GET,81.161.59.221,/,-1669793162,81.161.59.221,,1,False,,,,,,,
