input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,final_url,tls_mismatched,csp_domains_,tls_subject_org_
0j500fj69m5n.nfura.io,nfura.io - Diese Website steht zum Verkauf! - Informationen zum Thema nfura.,200,28140,www.nfura.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:25:30Z,2023-09-17T15:25:29Z,CN=nfura.io,nfura.io,*.nfura.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c7cac758987877f05b876d6d3c652be2,007db708ee787a31a1f5e5294856b5ed601e1160a13f0ddf2caaa443c6ee02a8,True,ctls,www.nfura.io,cloudflare,443,https://0j500fj69m5n.nfura.io:443,https,cloudflare,GET,172.67.169.61,/,29599957,2606:4700:3031::ac43:a93d,PHP:8.1.17,41,False,True,text/html,https://www.nfura.io/,,,
4ugmk54py4.nfura.io,nfura.io - Diese Website steht zum Verkauf! - Informationen zum Thema nfura.,200,28140,www.nfura.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:25:30Z,2023-09-17T15:25:29Z,CN=nfura.io,nfura.io,*.nfura.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c7cac758987877f05b876d6d3c652be2,007db708ee787a31a1f5e5294856b5ed601e1160a13f0ddf2caaa443c6ee02a8,True,ctls,www.nfura.io,cloudflare,443,https://4ugmk54py4.nfura.io:443,https,cloudflare,GET,104.21.79.69,/,29599957,2606:4700:3031::ac43:a93d,PHP:8.1.17,41,False,True,text/html,https://www.nfura.io/,,,
642331.nfura.io,nfura.io - Diese Website steht zum Verkauf! - Informationen zum Thema nfura.,200,28140,www.nfura.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:25:30Z,2023-09-17T15:25:29Z,CN=nfura.io,nfura.io,*.nfura.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c7cac758987877f05b876d6d3c652be2,007db708ee787a31a1f5e5294856b5ed601e1160a13f0ddf2caaa443c6ee02a8,True,ctls,www.nfura.io,cloudflare,443,https://642331.nfura.io:443,https,cloudflare,GET,172.67.169.61,/,29599957,2606:4700:3030::6815:4f45,PHP:8.1.17,41,False,True,text/html,https://www.nfura.io/,,,
acceptatie-clients-app.nfura.io,,432,,www.nfura.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:25:30Z,2023-09-17T15:25:29Z,CN=nfura.io,nfura.io,*.nfura.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c7cac758987877f05b876d6d3c652be2,007db708ee787a31a1f5e5294856b5ed601e1160a13f0ddf2caaa443c6ee02a8,True,ctls,www.nfura.io,cloudflare,443,https://acceptatie-clients-app.nfura.io:443,https,cloudflare,GET,104.21.79.69,/,29599957,2606:4700:3031::ac43:a93d,HTTP/3,1,False,True,,https://www.nfura.io/,,,
achieversrule.nfura.io,nfura.io - Diese Website steht zum Verkauf! - Informationen zum Thema nfura.,200,28140,www.nfura.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:25:30Z,2023-09-17T15:25:29Z,CN=nfura.io,nfura.io,*.nfura.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c7cac758987877f05b876d6d3c652be2,007db708ee787a31a1f5e5294856b5ed601e1160a13f0ddf2caaa443c6ee02a8,True,ctls,www.nfura.io,cloudflare,443,https://achieversrule.nfura.io:443,https,cloudflare,GET,172.67.169.61,/,29599957,2606:4700:3031::ac43:a93d,PHP:8.1.17,41,False,True,text/html,https://www.nfura.io/,,,
actionaids.nfura.io,,432,,www.nfura.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:25:30Z,2023-09-17T15:25:29Z,CN=nfura.io,nfura.io,*.nfura.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c7cac758987877f05b876d6d3c652be2,007db708ee787a31a1f5e5294856b5ed601e1160a13f0ddf2caaa443c6ee02a8,True,ctls,www.nfura.io,cloudflare,443,https://actionaids.nfura.io:443,https,cloudflare,GET,104.21.79.69,/,29599957,2606:4700:3030::6815:4f45,HTTP/3,1,False,True,,https://www.nfura.io/,,,
ad-service-gateway.nfura.io,nfura.io - Diese Website steht zum Verkauf! - Informationen zum Thema nfura.,200,28140,www.nfura.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:25:30Z,2023-09-17T15:25:29Z,CN=nfura.io,nfura.io,*.nfura.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c7cac758987877f05b876d6d3c652be2,007db708ee787a31a1f5e5294856b5ed601e1160a13f0ddf2caaa443c6ee02a8,True,ctls,www.nfura.io,cloudflare,443,https://ad-service-gateway.nfura.io:443,https,cloudflare,GET,104.21.79.69,/,29599957,2606:4700:3030::6815:4f45,PHP:8.1.17,41,False,True,text/html,https://www.nfura.io/,,,
admin-eu-dev.villagedao.web3factory.consensys.net,VillageDAO Admin Console,200,609,admin-eu-dev.villagedao.web3factory.consensys.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-31T11:22:35Z,2023-08-29T11:22:34Z,CN=admin-eu-dev.villagedao.web3factory.consensys.net,admin-eu-dev.villagedao.web3factory.consensys.net,admin-eu-dev.villagedao.web3factory.consensys.net,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,45b73396191ba8f6e70aa7e8ebf6e8a4,81ad581701d4cc41a5f22f661a09f7770e893d4c5830cebe3d255f8b23537578,,ctls,admin-eu-dev.villagedao.web3factory.consensys.net,cloudflare,443,https://admin-eu-dev.villagedao.web3factory.consensys.net:443,https,cloudflare,GET,104.18.6.216,/,-1762869504,2606:4700::6812:6d8,React,1,False,True,text/html,,,,
admin-ui-eu-dev.villagedao.web3factory.consensys.net,404 Not Found,404,146,admin-ui-eu-dev.villagedao.web3factory.consensys.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-30T08:23:13Z,2023-08-28T08:23:12Z,CN=admin-ui-eu-dev.villagedao.web3factory.consensys.net,admin-ui-eu-dev.villagedao.web3factory.consensys.net,admin-ui-eu-dev.villagedao.web3factory.consensys.net,"CN=E1, O=Let's Encrypt, C=US",E1,Let's Encrypt,225a0ed7b0a387f925f42f2539fdb020,3425ccd2c47a9e843a224df5ccacee27babb881f3214f155fe9eb878cfc546aa,,ctls,admin-ui-eu-dev.villagedao.web3factory.consensys.net,cloudflare,443,https://admin-ui-eu-dev.villagedao.web3factory.consensys.net:443,https,cloudflare,GET,104.18.6.216,/,1494302000,2606:4700::6812:7d8,HSTS,8,False,True,text/html,,,,
agapedesignmfg.nfura.io,nfura.io - Diese Website steht zum Verkauf! - Informationen zum Thema nfura.,200,28140,www.nfura.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T15:25:30Z,2023-09-17T15:25:29Z,CN=nfura.io,nfura.io,*.nfura.io,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,c7cac758987877f05b876d6d3c652be2,007db708ee787a31a1f5e5294856b5ed601e1160a13f0ddf2caaa443c6ee02a8,True,ctls,www.nfura.io,cloudflare,443,https://agapedesignmfg.nfura.io:443,https,cloudflare,GET,104.21.79.69,/,29599957,2606:4700:3031::ac43:a93d,PHP:8.1.17,41,False,True,text/html,https://www.nfura.io/,,,
