input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,final_url
api-sandbox.uphold.com,,404,42,api-sandbox.uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,api-sandbox.uphold.com,cloudflare,443,https://api-sandbox.uphold.com:443,https,cloudflare,application/json,GET,104.16.80.80,/,1375626596,104.16.79.80,HTTP/3,1,False,True,,,
api.uphold.com,,404,42,api.uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,api.uphold.com,cloudflare,443,https://api.uphold.com:443,https,cloudflare,application/json,GET,104.16.80.80,/,1375626596,104.16.79.80,HTTP/3,1,False,True,,,
attachment.uphold.com,Uphold,200,31166,attachment.uphold.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-12T00:00:00Z,2024-07-09T23:59:59Z,CN=attachment.uphold.com,attachment.uphold.com,,static-attachment.uphold.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b30e20c39f4bb8bf4d9a5b34b4235ef3,176e110c2213d9d49971dd2a8880c89216ec3543fa7ab93c0bbba7ae334237cc,,ctls,attachment.uphold.com,,443,https://attachment.uphold.com:443,https,null,text/html,GET,34.202.110.112,/,-25728736,34.193.152.78,Java,789,False,,,https://cdn.zapier.com,https://attachment.uphold.com/auth/
blog.uphold.com,Uphold Blog,200,291749,uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,uphold.com,cloudflare,443,https://blog.uphold.com:443,https,cloudflare,text/html,GET,104.16.79.80,/,-1864295926,104.16.80.80,webpack,435,False,True,,https://s.dca0.com,https://uphold.com/blog
cdn.uphold.com,403 Forbidden,403,455,cdn.uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,cdn.uphold.com,cloudflare,443,https://cdn.uphold.com:443,https,cloudflare,text/html,GET,104.16.80.80,/,-129446644,104.16.79.80,HTTP/3,19,False,True,,,
crl.uphold.com,,200,15,crl.uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,crl.uphold.com,cloudflare,443,https://crl.uphold.com:443,https,cloudflare,text/html,GET,104.16.80.80,/,-2127001328,104.16.79.80,HTTP/3,3,False,True,,,
developer.uphold.com,API Integration - Uphold,200,239748,uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,uphold.com,cloudflare,443,https://developer.uphold.com:443,https,cloudflare,text/html,GET,104.16.80.80,/,-210135594,104.16.79.80,webpack,481,False,True,,https://www.googletagmanager.com/gtag/js,https://uphold.com/get-started/developer
docs.sandbox.uphold.com,Uphold API Reference,200,369154,docs.sandbox.uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,docs.sandbox.uphold.com,cloudflare,443,https://docs.sandbox.uphold.com:443,https,cloudflare,text/html,GET,104.16.80.80,/,554366064,104.16.79.80,HTTP/3,4986,False,True,True,,
docs.uphold.com,Uphold API Reference,200,369154,docs.uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,docs.uphold.com,cloudflare,443,https://docs.uphold.com:443,https,cloudflare,text/html,GET,104.16.80.80,/,554366064,104.16.79.80,HTTP/3,4986,False,True,,,
e-sandbox.uphold.com,,404,,e-sandbox.uphold.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T00:00:00Z,2024-06-17T23:59:59Z,"CN=uphold.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",uphold.com,"Cloudflare, Inc.",*.uphold.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5c44a7863b99a0d7d2c4275455ef7f57,c4dca424734d87cc9e5b51a9df8cd6525f01470ee8015f223c89a7aafc55b774,True,ctls,e-sandbox.uphold.com,cloudflare,443,https://e-sandbox.uphold.com:443,https,cloudflare,,GET,104.16.79.80,/,2115503941,104.16.80.80,HTTP/3,1,False,True,,,
