input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_mismatched,tls_subject_org_
*.amplitude.com,Amplitude | Product Analytics & Event Tracking Platform | Amplitude,200,162432,amplitude.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-23T00:00:00Z,2024-02-14T23:59:59Z,CN=*.amplitude.com,*.amplitude.com,amplitude.com,"CN=COMODO RSA Domain Validation Secure Server CA, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO RSA Domain Validation Secure Server CA,COMODO CA Limited,4666e0796ab29d5bbff77ea132d95ee2,b6fb73c2f4a87e5f215e1fd93dcfbdfe444fbd5254fb16a2eeef91fbcbeca6a0,True,ctls,amplitude.com,,443,https://amplitude.com:443,https,nginx/1.22.0,text/html,GET,13.248.219.127,/,1001190211,76.223.69.48,webpack,1,False,,,,,
*.gitbook.com,GitBook - Where technical teams document,200,77234,www.gitbook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T00:00:00Z,2024-04-15T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,gitbook.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4991886b556f7c1ff0be94cfbcc73319,9db6ff3822ccb682f86d02eb63112db9ad0f73a30882f407fe1b46307b964e73,True,ctls,www.gitbook.com,cloudflare,443,https://gitbook.com:443,https,cloudflare,text/html,GET,104.18.7.84,/,2146147491,2606:4700::6812:654,Vercel,448,False,True,https://www.gitbook.com,,,"Cloudflare, Inc."
*.google.com,Google,200,216150,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:25:18Z,2023-07-31T08:25:17Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,6d20e0dbb4ec708878643b98c3dab7c0,fe533bafa6d4fa380bc8b5bafade084b21264bd2601c5f581bf9730db96e6d04,,ctls,www.google.com,,443,https://google.com:443,https,gws,text/html,GET,172.217.18.14,/,708578229,2a00:1450:4001:831::200e,HTTP/3,147,False,,https://www.google.com/,https://csp.withgoogle.com/csp/gws/other-hp,,
*.googleapis.com,Error 404 (Not Found)!!1,404,1561,googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:24:20Z,2023-07-31T08:24:19Z,CN=*.googleapis.com,*.googleapis.com,*.clients6.google.ws,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,1f473344eff6e8a3dc9bc322d7ef3ed9,837672b31675d921de77c607b90e92dcbb8cfd5b7c415f1014cdd1131a92dc03,True,ctls,googleapis.com,,443,https://googleapis.com:443,https,,text/html,GET,142.250.186.68,/,302920777,2a00:1450:4001:800::2004,HTTP/3,12,False,,,,,
*.gstatic.com,Error 404 (Not Found)!!1,404,1561,www.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T08:24:48Z,2023-07-31T08:24:47Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e2fa159081bb6314a59148c7b5d1211a,0f6b81b9f067c52dd5708e184a9f4d33e8bd982625a16053543f78d0768da6af,True,ctls,www.gstatic.com,,443,https://gstatic.com:443,https,sffe,text/html,GET,142.250.186.131,/,302920777,2a00:1450:4001:828::2003,HTTP/3,12,False,,https://www.gstatic.com/,,,
*.iframe.ly,Your external media embeds - Iframely,200,7189,iframe.ly,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-18T16:13:23Z,2023-08-16T16:13:22Z,CN=iframe.ly,iframe.ly,iframe.ly,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3555fa6703c38a346457d5475b038f6a,e11581d0adaf1b101d701fcfebda73aa3ee746dc19317414108b35cf502fe1b7,True,ctls,iframe.ly,,443,https://iframe.ly:443,https,nginx,text/html,GET,13.248.132.76,/,-1927739536,76.223.3.34,Nginx,89,False,,https://iframe.ly/consents,,,
*.intercom-attachments-1.com,Making Internet Business Personal | Intercom,200,969560,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,cloudfront,443,https://intercom-attachments-1.com:443,https,nginx,text/html,GET,143.204.215.106,/,-1840324437,2600:9000:214f:800:19:1477:f380:93a1,Nginx,12,False,True,https://www.intercom.com/,app-sjqe.marketo.com,,
*.intercom-attachments-2.com,Making Internet Business Personal | Intercom,200,969560,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,cloudfront,443,https://intercom-attachments-2.com:443,https,nginx,text/html,GET,143.204.215.101,/,-1840324437,2600:9000:214f:c200:19:1477:f380:93a1,Nginx,12,False,True,https://www.intercom.com/,wss://nexus-websocket-a.intercom.io,,
*.intercom-attachments-3.com,Making Internet Business Personal | Intercom,200,969560,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,cloudfront,443,https://intercom-attachments-3.com:443,https,nginx,text/html,GET,143.204.215.117,/,-1840324437,2600:9000:214f:4800:19:1477:f380:93a1,Nginx,12,False,True,https://www.intercom.com/,nexus-websocket-a.intercom.io,,
*.intercom-attachments-5.com,Making Internet Business Personal | Intercom,200,969560,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,cloudfront,443,https://intercom-attachments-5.com:443,https,nginx,text/html,GET,143.204.215.101,/,-1840324437,2600:9000:214f:2600:19:1477:f380:93a1,Nginx,12,False,True,https://www.intercom.com/,maxcdn.bootstrapcdn.com,,
