input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,csp_domains_,final_url,cdn_name,cdn
admin.republik.ch,,200,183817,admin.republik.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T23:32:07Z,2023-09-23T23:32:06Z,CN=admin.republik.ch,admin.republik.ch,admin.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4963ae4ac3c1783924ad25c38166f711,2e3a49f140634ade67a8ac275a1c0e1dc2c34e0376110d39efc28983e3993fd2,ctls,admin.republik.ch,443,https://admin.republik.ch:443,https,,text/html,GET,3.72.158.158,/,1012440858,3.122.78.207,HSTS,25,False,,,,https://republik.zendesk.com,https://admin.republik.ch/users,,
api-sidecar.republik.ch,Error,404,139,api-sidecar.republik.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T23:32:37Z,2023-09-23T23:32:36Z,CN=api-sidecar.republik.ch,api-sidecar.republik.ch,api-sidecar.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,159ed783e6ca479b6e0dc96eb34edd7f,b9ed77d1f94252236836288ff6e68efd128328f507dce6bd21af07312485b141,ctls,api-sidecar.republik.ch,443,https://api-sidecar.republik.ch:443,https,,text/html,GET,3.127.161.100,/,1593207841,3.127.43.216,HSTS,11,False,,,,,,,
assets.publikator.republik.ch,500 Origin Error,502,1457,assets.publikator.republik.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-09T05:22:59Z,2023-10-07T05:22:58Z,CN=assets.publikator.republik.ch,assets.publikator.republik.ch,assets.publikator.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b50e97f242e7b2d89437c227d1e3d02f,57b7da7a2e2a96a7660ebd8154ca34c04d68cd3f0f4da665660241553d3cf659,ctls,assets.publikator.republik.ch,443,https://assets.publikator.republik.ch:443,https,keycdn-engine,text/html,GET,185.172.148.128,/,-435243908,2a0b:4d07:101::1,KeyCDN,62,False,,,,,,,
assets.republik.ch,403 Forbidden,403,1439,assets.republik.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-19T17:28:18Z,2023-09-17T17:28:17Z,CN=assets.republik.ch,assets.republik.ch,assets.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1dd573344f2bb6c8321a84650468941b,e71686b2b4134b3a7654203647c1f508e7f414525773d107aaf1af6f24d613e8,ctls,assets.republik.ch,443,https://assets.republik.ch:443,https,keycdn-engine,text/html,GET,185.172.148.132,/,1293768740,2a0b:4d07:101::1,KeyCDN,62,False,,,,,,,
assets.staging.republik.ch,403 Forbidden,403,1439,assets.staging.republik.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-23T00:00:00Z,2024-07-23T23:59:59Z,CN=*.kxcdn.com,*.kxcdn.com,kxcdn.com,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,edc58693229dcc35795fb724f01ad7d0,332b3efbecf21bd6e5f4fe754da905367bb86a36077e63e363ba48546e2d502a,ctls,assets.staging.republik.ch,443,https://assets.staging.republik.ch:443,https,keycdn-engine,text/html,GET,185.172.148.132,/,-1232733415,2a0b:4d07:101::1,KeyCDN,62,False,True,,True,,,,
autoconfig.republik.ch,,200,,autoconfig.republik.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-27T00:00:00Z,2023-08-27T23:59:59Z,"CN=*.mail.hostpoint.ch, O=Hostpoint AG, L=Rapperswil, C=CH",*.mail.hostpoint.ch,mail.hostpoint.ch,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d2e4a8ce8a60f7d801702575dd8a5569,d22e19f21e311c93cbcd5814dc04204f4f99ec39cd519fcf9afc9bddd79962c8,ctls,autoconfig.republik.ch,443,https://autoconfig.republik.ch:443,https,Apache,text/html,GET,217.26.48.186,/,-780928015,2a00:d70:0:a::173,Apache,1,False,True,Hostpoint AG,True,,,,
autodiscover.republik.ch,,200,,autodiscover.republik.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-27T00:00:00Z,2023-08-27T23:59:59Z,"CN=*.mail.hostpoint.ch, O=Hostpoint AG, L=Rapperswil, C=CH",*.mail.hostpoint.ch,mail.hostpoint.ch,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,d2e4a8ce8a60f7d801702575dd8a5569,d22e19f21e311c93cbcd5814dc04204f4f99ec39cd519fcf9afc9bddd79962c8,ctls,autodiscover.republik.ch,443,https://autodiscover.republik.ch:443,https,Apache,text/html,GET,217.26.48.186,/,-780928015,2a00:d70:0:a::173,Apache,1,False,True,Hostpoint AG,True,,,,
cdn.republik.ch,403 Forbidden,403,1439,cdn.republik.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-23T00:00:00Z,2024-07-23T23:59:59Z,CN=*.kxcdn.com,*.kxcdn.com,kxcdn.com,"CN=Thawte TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Thawte TLS RSA CA G1,DigiCert Inc,edc58693229dcc35795fb724f01ad7d0,332b3efbecf21bd6e5f4fe754da905367bb86a36077e63e363ba48546e2d502a,ctls,cdn.republik.ch,443,https://cdn.republik.ch:443,https,keycdn-engine,text/html,GET,185.172.148.132,/,-1232733415,2a0b:4d07:101::1,KeyCDN,62,False,True,,True,,,,
https://republik.zendesk.com,Republik,200,3275,republik.zendesk.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2024-04-24T23:59:59Z,"CN=republik.zendesk.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",republik.zendesk.com,republik.zendesk.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",61c74a176a4bf12c9d624d6f28be6508,f8c8fc111f78f74da73991d9f92da3d0ba8749883b6f8abc3558e5bbfb4d1cb7,ctls,republik.zendesk.com,443,https://republik.zendesk.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Zendesk,44,False,,"Cloudflare, Inc.",,,https://republik.zendesk.com/access/unauthenticated?theme=hc,cloudflare,True
lists.republik.ch,,403,93,lists.republik.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-28T00:00:00Z,2024-03-30T23:59:59Z,"CN=admin.hostpoint.ch, O=Hostpoint AG, ST=Sankt Gallen, C=CH, businessCategory=Private Organization, jurisdictionCountry=CH, serialNumber=CHE-101.974.997, businessCategory=Private Organization, jurisdictionCountry=CH",admin.hostpoint.ch,www.admin.hostpoint.ch,"CN=Sectigo RSA Extended Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,33ed89af1ddb25b9a8f4c7cab00c0354,d2b442ecbf6bf25c3e8b6c95b7ec4d76a2c05b1e6d838dacc292149d8ba3a308,ctls,lists.republik.ch,443,https://lists.republik.ch:443,https,,text/html,GET,217.26.48.142,/,-1060002298,217.26.48.142,,4,False,True,Hostpoint AG,,,,,
publikator.republik.ch,,200,195997,publikator.republik.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T23:22:10Z,2023-09-23T23:22:09Z,CN=publikator.republik.ch,publikator.republik.ch,publikator.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,05cd273663ee8c342ccdeed1baffb48a,1d92b84d306e561a07c409c2e5370549952dd39ccec39b7e45f1054188b713eb,ctls,publikator.republik.ch,443,https://publikator.republik.ch:443,https,,text/html,GET,52.29.245.68,/,906262541,3.121.68.212,HSTS,177,False,,,,,,,
republik.ch,Republik – das digitale Magazin,200,342442,www.republik.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-25T23:22:35Z,2023-09-23T23:22:34Z,CN=www.republik.ch,www.republik.ch,www.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,76eb7d6a68ace6e5a82cb1a07201b1bb,154a8d5dd564c46b32d7e14a7fbb17c99641ca4ab2858a1928ec33c8082d86e6,ctls,www.republik.ch,443,https://republik.ch:443,https,,text/html,GET,3.69.81.160,/,-435954775,52.28.28.63,HSTS,182,False,,,,,https://www.republik.ch/,,
styleguide.republik.ch,Styleguide,200,1929,styleguide.republik.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T01:37:38Z,2023-10-10T01:37:37Z,CN=styleguide.republik.ch,styleguide.republik.ch,styleguide.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ecc43f1937c5859170963f0e9b942321,fd21d9ad8d0369a752e05b77367c6eda99a26542d34b85185694f34ae125f1e9,ctls,styleguide.republik.ch,443,https://styleguide.republik.ch:443,https,Cowboy,text/html,GET,54.247.69.169,/,2075971941,63.32.161.232,Heroku,1,False,,,,,,,
ultradashboard.republik.ch,Metabase,200,786389,ultradashboard.republik.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T01:17:32Z,2023-10-10T01:17:31Z,CN=ultradashboard.republik.ch,ultradashboard.republik.ch,ultradashboard.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,205ace240fe302baa57907809fce3fb6,526e495fc6c909a9abc09f3d11bc99a09ffbc9fc6b04d41982d6cd2c6fa4fc65,ctls,ultradashboard.republik.ch,443,https://ultradashboard.republik.ch:443,https,Jetty(11.0.14),text/html,GET,63.32.161.232,/,2146161871,52.212.52.84,Jetty:11.0.14,28,False,,,,metabase.us10.list-manage.com,,,
urne.republik.ch,Urne,200,7642,urne.republik.ch,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-11T03:46:36Z,2023-08-09T03:46:35Z,CN=urne.republik.ch,urne.republik.ch,urne.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4e3db1d0c99f8178d83856497a748771,17adcfc092f1de34d15eaec4c20a94c745119f47e124ef0d57fc7c0d5a152a4d,ctls,urne.republik.ch,443,https://urne.republik.ch:443,https,Vercel,text/html,GET,76.76.21.93,/,12662869,76.76.21.22,Vercel,6,False,,,,,,,
ux.republik.ch,Republik,200,39900,ux.republik.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-23T05:14:18Z,2023-08-21T05:14:17Z,CN=ux.republik.ch,ux.republik.ch,ux.republik.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6616c5544372c410c0c7e10ab69a54f4,4af0de8564075d1a09f292e5c5a8066a65a903d63636e685228c5267e5d903bd,ctls,ux.republik.ch,443,https://ux.republik.ch:443,https,Cowboy,text/html,GET,52.212.52.84,/,-1754634273,63.32.161.232,React,159,False,,,,,,,
