input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_self_signed,tls_mismatched,tls_subject_org_,tls_expired,csp_domains_,final_url
accountreset.jetblue.com,Microsoft Identity Management - Password Error,200,10881,accountreset.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T21:44:21Z,2023-10-28T21:44:21Z,"CN=bluereset.jetblue.com, serialNumber=2936994, businessCategory=Private Organization, O=JetBlue Airways Corporation, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Long Island City, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",bluereset.jetblue.com,accountreset.jetblue.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",2f4305472818fa4d848b1abae5e6c7de,a77b3b36d2210d516eeec7754d5983893b3146abc612c168b93d655c5780f9cc,,ctls,accountreset.jetblue.com,,443,https://accountreset.jetblue.com:443,https,Microsoft-IIS/8.5,text/html,GET,64.25.24.40,/,1631801191,64.25.24.40,Windows Server,205,False,,,,JetBlue Airways Corporation,,,https://accountreset.jetblue.com/Error.aspx?errorcode=3011
accounts.jetblue.com,403 Forbidden,403,424,accounts.jetblue.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-15T20:06:29Z,2023-08-13T20:06:28Z,CN=*.jetblue.com,*.jetblue.com,*.jetblue.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6733bfff8a263b620fc6a7681a7da66b,787b0d6f8ec79cb729f4aaa5e250b57e3880a83abbac1af7ce7d8e543058d006,True,ctls,accounts.jetblue.com,fastly,443,https://accounts.jetblue.com:443,https,Varnish,text/html,GET,151.101.2.245,/,-599803935,151.101.194.245,Varnish,18,False,True,,,,,,
accountsdev.jetblue.com,dev-jetblue - Sign In,200,8229,accountsdev.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T23:42:09Z,2023-10-29T23:42:09Z,"CN=accountsdev.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",accountsdev.jetblue.com,accountsdev.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",d12e18f0a189e207a7f67b2741f1510b,c8a4d5e8a63a7f961963ae6d826788956eaa69843a6f2aef402812a1446ef398,,ctls,accountsdev.jetblue.com,,443,https://accountsdev.jetblue.com:443,https,nginx,text/html,GET,13.248.236.251,/,-599803935,76.223.106.183,Nginx,183,False,,,,JetBlue Airways Corporation,,https://oktacsp.report-uri.com/r/t/csp/enforce,
accountsqa.jetblue.com,403 Forbidden,403,425,accountsqa.jetblue.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-15T20:06:29Z,2023-08-13T20:06:28Z,CN=*.jetblue.com,*.jetblue.com,*.jetblue.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6733bfff8a263b620fc6a7681a7da66b,787b0d6f8ec79cb729f4aaa5e250b57e3880a83abbac1af7ce7d8e543058d006,True,ctls,accountsqa.jetblue.com,fastly,443,https://accountsqa.jetblue.com:443,https,Varnish,text/html,GET,146.75.122.245,/,-599803935,146.75.122.245,Varnish,18,False,True,,,,,,
agiletransformation.it.jetblue.com,403 Forbidden,403,146,agiletransformation.it.jetblue.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-01T16:17:22Z,2023-07-30T16:17:21Z,CN=agiletransformation.it.jetblue.com,agiletransformation.it.jetblue.com,agiletransformation.it.jetblue.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6c1d91f0823d39b35275690178b32dce,29c9d2c30d1c6f51b3195113cad879689ed5e19677980bc2dadcce26cd592147,,ctls,agiletransformation.it.jetblue.com,google,443,https://agiletransformation.it.jetblue.com:443,https,,text/html,GET,35.237.110.194,/,-1561873722,35.237.110.194,HSTS,8,False,True,,,,,,
api-dev.jetblue.com,,596,30,api-dev.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T17:02:46Z,2024-03-20T17:02:46Z,"CN=*.nprdase.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",*.nprdase.jetblue.com,*.scm.nprdase.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c4dc78c57e9cd098cd5727fc6edba7d4,960770e4937a071477883eabb4d065e70ca66e8ee5bd63144b9a20294b0314ec,True,ctls,api-dev.jetblue.com,azure,443,https://api-dev.jetblue.com:443,https,,text/xml,GET,13.90.243.96,/,-1840324437,13.90.243.96,,1,False,True,,,JetBlue Airways Corporation,,,
api-int.jetblue.com,,596,30,api-int.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T17:02:46Z,2024-03-20T17:02:46Z,"CN=*.nprdase.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",*.nprdase.jetblue.com,*.scm.nprdase.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c4dc78c57e9cd098cd5727fc6edba7d4,960770e4937a071477883eabb4d065e70ca66e8ee5bd63144b9a20294b0314ec,True,ctls,api-int.jetblue.com,azure,443,https://api-int.jetblue.com:443,https,,text/xml,GET,13.90.243.96,/,-1840324437,13.90.243.96,,1,False,True,,,JetBlue Airways Corporation,,,
api-qa.jetblue.com,,596,30,api-qa.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T17:02:46Z,2024-03-20T17:02:46Z,"CN=*.nprdase.jetblue.com, O=JetBlue Airways Corporation, L=Long Island City, ST=New York, C=US",*.nprdase.jetblue.com,*.scm.nprdase.jetblue.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c4dc78c57e9cd098cd5727fc6edba7d4,960770e4937a071477883eabb4d065e70ca66e8ee5bd63144b9a20294b0314ec,True,ctls,api-qa.jetblue.com,azure,443,https://api-qa.jetblue.com:443,https,,text/xml,GET,13.90.243.96,/,-1840324437,13.90.243.96,,1,False,True,,,JetBlue Airways Corporation,,,
api-stg.jetblue.com,,596,30,api-stg.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-30T16:23:57Z,2023-12-29T16:23:57Z,"CN=api-stg.jetblue.com, serialNumber=2936994, businessCategory=Private Organization, O=JetBlue Airways Corporation, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Long Island City, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api-stg.jetblue.com,www.api-stg.jetblue.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",10d79038d2343fd0e47356262b217a2d,4256123f8e952103c8476d40dd8ea1b4d20a1790ceff666518c2323c1d25b62c,,ctls,api-stg.jetblue.com,,443,https://api-stg.jetblue.com:443,https,,text/xml,GET,64.25.24.99,/,-1840324437,64.25.24.99,,1,False,,,,JetBlue Airways Corporation,,,
api.jetblue.com,,596,30,api.jetblue.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-30T16:29:16Z,2023-12-29T16:29:16Z,"CN=api.jetblue.com, serialNumber=2936994, businessCategory=Private Organization, O=JetBlue Airways Corporation, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, L=Long Island City, ST=New York, C=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",api.jetblue.com,www.api.jetblue.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",521dec596c0ead7f594865290e07378d,7413ada26c2f5f87db9c8ea98c6c24f9cf7262b86481aa82f86bf345ef1e9640,,ctls,api.jetblue.com,,443,https://api.jetblue.com:443,https,Mashery Proxy,text/xml,GET,64.25.24.98,/,-1840324437,64.25.24.98,,1,False,,,,JetBlue Airways Corporation,,,
