input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_org_,tls_wildcard_certificate,webserver,tech_,final_url,cdn_name,cdn,csp_domains_,location
0-0-2794-444.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://0-0-2794-444.dpgmedia.be:443,https,text/html,GET,75.2.104.177,/,-1589404947,99.83.132.111,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
05b7.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://05b7.dpgmedia.be:443,https,text/html,GET,75.2.104.177,/,1077946259,99.83.132.111,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
0bytzbd8ssp.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://0bytzbd8ssp.dpgmedia.be:443,https,text/html,GET,99.83.132.111,/,-2126909449,75.2.104.177,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
0euxue8q.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://0euxue8q.dpgmedia.be:443,https,text/html,GET,75.2.104.177,/,289457883,99.83.132.111,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
0fwww-3.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://0fwww-3.dpgmedia.be:443,https,text/html,GET,99.83.132.111,/,-354802241,75.2.104.177,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
0l4sqphz.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://0l4sqphz.dpgmedia.be:443,https,text/html,GET,75.2.104.177,/,2047555116,99.83.132.111,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
1-vl-120.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://1-vl-120.dpgmedia.be:443,https,text/html,GET,99.83.132.111,/,-573459159,75.2.104.177,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
1112328.dpgmedia.be,"Connecting by touching, surprising & inspiring | DPG Media Group",200,228649,www.dpgmediagroup.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-02T07:58:11Z,2023-07-31T07:58:10Z,CN=dpgmsancert.dpgmedia.be,dpgmsancert.dpgmedia.be,www.watgajijdoenbijdpg.media,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,407f4ca9a1f098e6a408d24cec83ca3c,89d3fd5f4468f591a6a292616bb6d5cab530258e60afa077db0da66e82d7916e,ctls,www.dpgmediagroup.com,443,https://1112328.dpgmedia.be:443,https,text/html,GET,75.2.104.177,/,1248087459,99.83.132.111,12,False,,,,React,https://www.dpgmediagroup.com:443/,,,https://advertising-module.api.dpgmedia.cloud,
1212012.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://1212012.dpgmedia.be:443,https,text/html,GET,75.2.104.177,/,-1166479244,99.83.132.111,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
155-9-202-26.dpgmedia.be,DPG Media Privacy Gate,200,8907,myprivacy.dpgmediagroup.net,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-20T01:49:26Z,2023-07-19T01:49:25Z,CN=myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,myprivacy.dpgmediagroup.net,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e10b0afa04de64802e70a9eb970cd205,4e0985e4753ae6844b49ee4b8461b92429f0f905493e8c6d440454948e66e6a3,ctls,myprivacy.dpgmediagroup.net,443,https://155-9-202-26.dpgmedia.be:443,https,text/html,GET,99.83.132.111,/,3208755,75.2.104.177,278,False,,,,Google Tag Manager,https://myprivacy.dpgmediagroup.net/consent?siteKey=tafjdbp1v2jwo1ff&callbackUrl=https%3A%2F%2Fwww.dpgmediagroup.com%2Fprivacygate-confirm%3FredirectUri%3D%252F,,,,
