input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_expired,tls_mismatched,final_url,cdn_name,cdn,tls_emails_,tls_wildcard_certificate,location
3ds-acc.ing.com,ING Error message,403,540,3ds-acc.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-11T12:15:55Z,2024-01-16T12:15:55Z,"CN=3ds-acc.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",3ds-acc.ing.com,ING Groep N.V.,www.3ds-acc.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",4822630961e3f3085941a4b2e826cb8a,25a83d74ebf2c1141fd0da52b82615d532f9c831b8b0d582212db1dce64dabce,ctls,3ds-acc.ing.com,443,https://3ds-acc.ing.com:443,https,,text/html,GET,145.221.217.72,/,93145051,145.221.185.72,,12,False,,,,,,,,,
3ds.fr.ing.com,403 Forbidden,403,154,3ds.fr.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-11T12:18:57Z,2024-01-16T12:18:57Z,"CN=3ds.fr.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",3ds.fr.ing.com,ING Groep N.V.,www.3ds.fr.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ca9630415a6fabb8aac3810065ed5b7c,6aabf3dc65ef9e1874e80ac09f1e33b620955eb648221fb395d3580acab4899c,ctls,3ds.fr.ing.com,443,https://3ds.fr.ing.com:443,https,,text/html,GET,145.221.41.245,/,940995466,145.221.37.245,HSTS,8,False,api.3ds.fr.ing.com,,,,,,,,
accept-art.ing.com,Access Denied,403,272,accept-art.ing.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-04T09:56:38Z,2023-08-04T09:56:38Z,"CN=accept-www.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",accept-www.ing.nl,ING Groep N.V.,acc.ingrefduurzaam.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",47ef077c6d98a1a4edceff846053c1c5,468488f666aadcd56eb59ee163a6dd9ebf13cc55ac3fabcf545b933c80c7f8cb,ctls,accept-art.ing.com,443,https://accept-art.ing.com:443,https,AkamaiGHost,text/html,GET,23.212.203.15,/,-1172521412,23.212.203.15,,10,False,,,,,,,,,
accept-www.live-events.ing.nl,Access Denied,403,290,accept-www.live-events.ing.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-04T09:56:38Z,2023-08-04T09:56:38Z,"CN=accept-www.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",accept-www.ing.nl,ING Groep N.V.,acc.ingrefduurzaam.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",47ef077c6d98a1a4edceff846053c1c5,468488f666aadcd56eb59ee163a6dd9ebf13cc55ac3fabcf545b933c80c7f8cb,ctls,accept-www.live-events.ing.nl,443,https://accept-www.live-events.ing.nl:443,https,AkamaiGHost,text/html,GET,23.45.96.123,/,-1146381032,23.45.96.123,HSTS,10,False,,,,,,,,,
acceptance.ing.com,Access denied | ING,403,1974,acceptance.ing.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-04T09:56:38Z,2023-08-04T09:56:38Z,"CN=accept-www.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",accept-www.ing.nl,ING Groep N.V.,acc.ingrefduurzaam.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",47ef077c6d98a1a4edceff846053c1c5,468488f666aadcd56eb59ee163a6dd9ebf13cc55ac3fabcf545b933c80c7f8cb,ctls,acceptance.ing.com,443,https://acceptance.ing.com:443,https,AkamaiNetStorage,text/html,GET,23.212.203.15,/,1221947236,23.212.203.15,HSTS,49,False,,,,,,,,,
accp.sunrise.ing.nl,401 - Unauthorized: Access is denied due to invalid credentials.,401,1293,accp.sunrise.ing.nl,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-16T13:26:38Z,2023-12-02T13:26:38Z,"CN=accp.sunrise.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",accp.sunrise.ing.nl,ING Groep N.V.,www.accp.sunrise.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",ff80d1ef824c70494ab3587bca67225c,92dd12ad9ea1fa4d4bfa87dec1c6fea38f2bad4d23d58142135e88154098133a,ctls,accp.sunrise.ing.nl,443,https://accp.sunrise.ing.nl:443,https,,text/html,GET,52.151.95.196,/,1631801191,52.151.95.196,,30,False,,,,,azure,True,,,
api.developer.ing.com,403 Forbidden,403,154,api.developer.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-09T13:57:57Z,2023-11-29T13:57:57Z,"CN=api.developer.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.developer.ing.com,ING Groep N.V.,www.api.developer.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",d3eb38357c6f4422fd29ffdb13186cdc,d93cc19dec0b023ef3830c05c8051ffb847a6d8a4f0e6e447cb61901efd7620b,ctls,api.developer.ing.com,443,https://api.developer.ing.com:443,https,,text/html,GET,145.221.41.233,/,1680097694,145.221.37.233,HSTS,8,False,https:,,,,,,,,
api.essmsresponses.ing.com,403 Forbidden,403,154,api.essmsresponses.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-18T12:31:11Z,2024-01-19T12:31:09Z,"CN=api.essmsresponses.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.essmsresponses.ing.com,ING Groep N.V.,www.api.essmsresponses.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",3434b1c35813e39211a3606a7cfd2b20,6ef9bdf49f8be3bd87cb47b34156882418b5aa85880a6a5e33b2c96a7a63328d,ctls,api.essmsresponses.ing.com,443,https://api.essmsresponses.ing.com:443,https,,text/html,GET,145.221.213.180,/,1680097694,145.221.181.180,HSTS,8,False,https:,,,,,,,,
api.feedback.ing.com,403 Forbidden,403,154,api.feedback.ing.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-30T13:14:55Z,2023-10-07T13:14:55Z,"CN=api.feedback.ing.com, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.feedback.ing.com,ING Groep N.V.,www.api.feedback.ing.com,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",c35aaf4cb5f8a89a9018e5e211515d83,180c9dab74fddd45b020c0a5cea580849a104fed8b7742975afa1925e088a62b,ctls,api.feedback.ing.com,443,https://api.feedback.ing.com:443,https,,text/html,GET,145.221.181.215,/,1680097694,145.221.213.215,HSTS,8,False,https:,,,,,,,,
api.ideal-portal.ing.nl,403 Forbidden,403,154,api.ideal-portal.ing.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-10T08:31:47Z,2023-10-30T08:31:47Z,"CN=api.ideal-portal.ing.nl, serialNumber=33231073, businessCategory=Private Organization, O=ING Groep N.V., jurisdictionCountry=NL, L=Amsterdam, ST=Noord-Holland, C=NL, businessCategory=Private Organization, jurisdictionCountry=NL",api.ideal-portal.ing.nl,ING Groep N.V.,www.api.ideal-portal.ing.nl,"CN=Entrust Certification Authority - L1M, OU=(c) 2014 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1M,"Entrust, Inc.",5c67c1a20625ece47f54860fb83b76fa,b3b18fb3728a6c15da6a32d3758b6514d4b3992629fd4ef01056777eb37a4121,ctls,api.ideal-portal.ing.nl,443,https://api.ideal-portal.ing.nl:443,https,,text/html,GET,145.221.214.236,/,1680097694,145.221.182.236,HSTS,8,False,https:,,,,,,,,
