input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,final_url,tls_mismatched,csp_domains_
backup.reveantivirus.com,REVE EPS Data Backup | Login,200,17800,443,https://backup.reveantivirus.com:443,https,,text/html,GET,217.172.189.154,/,-764209267,217.172.189.154,Java,344,False,backup.reveantivirus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-01T00:00:00Z,2024-01-01T23:59:59Z,CN=*.reveantivirus.com,*.reveantivirus.com,reveantivirus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,c6ea63da423b286c3f9281e9724e5b00,eac56718b472964cc01c2ee9a0513853867be8871034493edc7cb053978df17b,True,ctls,backup.reveantivirus.com,https://backup.reveantivirus.com/login/login.jsp,,
campaign.reveantivirus.com,Welcome to REVE ANTIVIRUS CAMPAIGN Management System,200,3211,443,https://campaign.reveantivirus.com:443,https,nginx/1.20.1,text/html,GET,185.106.241.55,/,-615791923,185.106.241.55,Nginx:1.20.1,93,False,,,,,,,,,,,,,,,,,,,http://campaign.reveantivirus.com/logout.html,,
connect.reveantivirus.com,403 Forbidden,403,555,80,http://connect.reveantivirus.com:80,http,nginx/1.12.2,text/html,GET,188.138.75.208,/,-1298480087,188.138.75.208,Nginx:1.12.2,14,False,,,,,,,,,,,,,,,,,,,,,
cpanel.reveantivirus.com,cPanel Login,200,37157,443,https://cpanel.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.166,/,1237073694,72.21.26.166,cPanel,297,False,cpanel.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2023-07-11T23:59:59Z,CN=reveantivirus.com,reveantivirus.com,www.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",12c676987bdf690b57741d05808f9d32,b89f57590f08b4336c61839f647659a7bc850cea5158f09eed3d183ca5614998,,ctls,cpanel.reveantivirus.com,,,
cpcalendars.info.reveantivirus.com,503 Service Unavailable,503,428,443,https://cpcalendars.info.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.167,/,-991427891,72.21.26.167,Apache,12,False,cpcalendars.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,cpcalendars.info.reveantivirus.com,,,
cpcontacts.endpointcloud.reveantivirus.com,503 Service Unavailable,503,428,443,https://cpcontacts.endpointcloud.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.168,/,-991427891,72.21.26.168,Apache,12,False,cpcontacts.endpointcloud.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2023-06-25T23:59:59Z,CN=cpanelserver.revesoft.com,cpanelserver.revesoft.com,www.cpanelserver.revesoft.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",a18ede250b59d5a1bd08df6a779ebc32,e0329f128485084d6c1b80854fe66545fb2ae9f0274f3ff949c2b9cb9ec1c19f,,ctls,cpcontacts.endpointcloud.reveantivirus.com,,True,
cpcontacts.info.reveantivirus.com,503 Service Unavailable,503,428,443,https://cpcontacts.info.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.167,/,-991427891,72.21.26.167,Apache,12,False,cpcontacts.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,cpcontacts.info.reveantivirus.com,,,
endpointcloud.reveantivirus.com,403 Forbidden,403,318,443,https://endpointcloud.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.168,/,-1812417198,72.21.26.168,Apache,10,False,endpointcloud.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2023-06-20T23:59:59Z,CN=mail.saasaspire.com,mail.saasaspire.com,webmail.saasaspire.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",687d0b686a79d340749dfdeab68a6732,e466646159bdb706cfb0ef4bd82c522a96e1590403d88e405d51eaa77fd68c94,,ctls,endpointcloud.reveantivirus.com,,True,
mail.info.reveantivirus.com,,200,141,443,https://mail.info.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.167,/,47580528,72.21.26.167,Apache,6,False,mail.info.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-05-29T23:59:59Z,CN=info.reveantivirus.com,info.reveantivirus.com,www.info.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",32be099f3f11478bb7f492b5952023e2,13424bdf43fb603dd6d2affb2ddf19ece7973a656942cfbe624bc76c89f02a63,,ctls,mail.info.reveantivirus.com,,,url=https://www.ic-rmm1.eu/ic-cmtp/?setevent=6
mail.reveantivirus.com,403 Forbidden,403,318,443,https://mail.reveantivirus.com:443,https,Apache,text/html,GET,72.21.26.166,/,-1812417198,72.21.26.166,Apache,10,False,mail.reveantivirus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2023-07-11T23:59:59Z,CN=reveantivirus.com,reveantivirus.com,www.reveantivirus.com,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",12c676987bdf690b57741d05808f9d32,b89f57590f08b4336c61839f647659a7bc850cea5158f09eed3d183ca5614998,,ctls,mail.reveantivirus.com,,,
