new,host,ttl,a,soa,status_code,ns,txt,cname,mx
[x],api.reveantivirus.com,898,,"{'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2024022902, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,,,,
[x],backup.reveantivirus.com,14400,217.172.189.154,"{'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2024022902, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2024022902, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2024022902, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,,,,
[x],connect.reveantivirus.com,900,,"{'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2024022902, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,,,,
[x],cpanel.info.reveantivirus.com,14400,72.21.26.167,"{'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021031100, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,
[x],cpanel.reveantivirus.com,150,208.74.72.247,"{'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,,,,
[x],cpcalendars.endpointcloud.reveantivirus.com,1887,,"{'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,
[x],cpcalendars.info.reveantivirus.com,14400,72.21.26.167,"{'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,
[x],cpcalendars.reveantivirus.com,900,208.74.72.247,"{'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2024022902, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2024022902, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2016040224, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,,,,
[x],cpcontacts.endpointcloud.reveantivirus.com,2818,,"{'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'endpointcloud.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012510, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,
[x],cpcontacts.info.reveantivirus.com,12884,72.21.26.167,"{'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021031100, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'info.reveantivirus.com', 'ns': 'dns1.revehosting.com', 'mailbox': 'nirmal.revesoft.com', 'serial': 2021012505, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,
