input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,final_url
about-content.glassdoor.com,Security | Glassdoor,403,53419,about-content.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,about-content.glassdoor.com,cloudflare,443,https://about-content.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,709374369,104.17.91.51,HTTP/3,176,False,True,True,"Cloudflare, Inc.",
about-us.glassdoor.com,Security | Glassdoor,403,53432,about-us.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,about-us.glassdoor.com,cloudflare,443,https://about-us.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-1198237680,104.17.91.51,HTTP/3,176,False,True,True,"Cloudflare, Inc.",
ads.glassdoor.com,Security | Glassdoor,403,53376,ads.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,ads.glassdoor.com,cloudflare,443,https://ads.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,-1909122666,104.17.90.51,HTTP/3,176,False,True,True,"Cloudflare, Inc.",
agencies.glassdoor.com,Security | Glassdoor,403,53410,agencies.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,agencies.glassdoor.com,cloudflare,443,https://agencies.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-556677682,104.17.91.51,HTTP/3,176,False,True,True,"Cloudflare, Inc.",
analytics-sdk.glassdoor.com,Security | Glassdoor,403,53441,analytics-sdk.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,analytics-sdk.glassdoor.com,cloudflare,443,https://analytics-sdk.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-1564526515,104.17.91.51,HTTP/3,176,False,True,True,"Cloudflare, Inc.",
analytics.glassdoor.com,Security | Glassdoor,403,53433,analytics.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,analytics.glassdoor.com,cloudflare,443,https://analytics.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-1629879540,104.17.91.51,HTTP/3,176,False,True,True,"Cloudflare, Inc.",
api-sec.glassdoor.com,Security | Glassdoor,403,53405,api-sec.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,api-sec.glassdoor.com,cloudflare,443,https://api-sec.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,219204446,104.17.91.51,Cloudflare Bot Management,176,False,True,True,"Cloudflare, Inc.",
api.glassdoor.com,Security | Glassdoor,403,25700,api.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,api.glassdoor.com,cloudflare,443,https://api.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.90.51,/,-787728996,104.17.91.51,HTTP/3,148,False,True,True,"Cloudflare, Inc.",
apply.glassdoor.com,Security | Glassdoor,403,53403,apply.glassdoor.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=glassdoor.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",glassdoor.com,*.content.glassdoor.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",112364f6d6e8cb3f87c2ec3f883d7009,064dc1621e020f1f25d41f10d45e8d0823dacdac408794cde37114959f2312ef,ctls,apply.glassdoor.com,cloudflare,443,https://apply.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,-1675781017,104.17.90.51,HTTP/3,176,False,True,True,"Cloudflare, Inc.",
ar.glassdoor.com,Security | Glassdoor,403,53595,www.glassdoor.com.ar,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-10T00:00:00Z,2024-04-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,glassdoor.com.ar,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f6529873be984c287d9fd583fca5eab4,890f81039fd4fc9e208a00f37e44c27e5b35adad35b0b1f45d955814cbca9d46,ctls,www.glassdoor.com.ar,cloudflare,443,https://ar.glassdoor.com:443,https,cloudflare,text/html,GET,104.17.91.51,/,1168949296,104.17.90.51,HTTP/3,176,False,True,True,"Cloudflare, Inc.",https://www.glassdoor.com.ar/?src=gd-domain-redirect
