new,host,a,soa,txt,status_code,cdn,cdn-name,cname,mx,ns,has_internal_ips,internal_ips
[x],apps.vpn.gapinc.com,8.18.111.52,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,
,a11y.stitch.gapinc.com,"54.195.237.234, 52.51.23.169, 63.33.17.94","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,NOERROR,,,zeroheight.com,"alt4.aspmx.l.google.com, alt3.aspmx.l.google.com, aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com","ns-1002.awsdns-61.net, ns-1439.awsdns-51.org, ns-103.awsdns-12.com, ns-1991.awsdns-56.co.uk",,
,adressed.gapinc.com,13.93.158.16,"edns83.ultradns.com, hostmaster.gap.com",gapinc-prod.azurewebsites.net,NOERROR,True,azure,,,,,
,apply.gapinc.com,64.106.245.226,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,
,apprissretail-kafka-dev.gapinc.com,52.224.149.210,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,,,
,apps.gapinc.com,8.18.111.198,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,
,appsstage.gapinc.com,8.18.111.199,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,
,appsstage.mstr.gapinc.com,168.62.161.137,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,True,azure,env-255964-applb.eastus.cloudapp.azure.com,,,,
,athleta.stitch.gapinc.com,"52.51.23.169, 63.33.17.94, 54.195.237.234","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","MS=ms44942321, detectify-verification=969838a510dd75807234eecda55b8edc, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all",NOERROR,,,zeroheight.com,"alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com","ns-103.awsdns-12.com, ns-1439.awsdns-51.org, ns-1991.awsdns-56.co.uk, ns-1002.awsdns-61.net",,
,banana-republic.stitch.gapinc.com,"52.51.23.169, 54.195.237.234, 63.33.17.94","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","MS=ms44942321, detectify-verification=969838a510dd75807234eecda55b8edc, google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all",NOERROR,,,zeroheight.com,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","ns-1002.awsdns-61.net, ns-103.awsdns-12.com, ns-1439.awsdns-51.org, ns-1991.awsdns-56.co.uk",,
,basicsplanner.bst.gapinc.com,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,basicsplanner.cloudapp.net,,,True,0.0.0.0
,basicsplannerstaging.bst.gapinc.com,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,,basicsplannerstaging.cloudapp.net,,,True,0.0.0.0
,bimobile.gapinc.com,8.18.111.196,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,pmstap1.gapinc.com,,,,
,bimobilestage.gapinc.com,8.18.111.197,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,dmstap1.gapinc.com,,,,
,bimobilestagef5.gapinc.com,8.18.111.197,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,dmstap1.gapinc.com,,,,
,brfs.stitch.gapinc.com,"63.33.17.94, 52.51.23.169, 54.195.237.234","ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com","google-site-verification=4umc_CvDaQxDND9zzPeTDBna58WZAJv4eJQVA76409Y, google-site-verification=mkBHGAPOxlk6pIgaGoEaFmHT3LRsGp7XjtZSWnztvDM, google-site-verification=t_LCpWzpUE0xslgqAe-ypZAk6mTXVIvHd5hmPoIcofU, v=spf1 include:_spf.google.com include:mail.zendesk.com include:19492330.spf04.hubspotemail.net include:sendgrid.net mx:amplemarket.com ~all, MS=ms44942321, detectify-verification=969838a510dd75807234eecda55b8edc",NOERROR,,,zeroheight.com,"alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com","ns-1439.awsdns-51.org, ns-1991.awsdns-56.co.uk, ns-1002.awsdns-61.net, ns-103.awsdns-12.com",,
,careersblog.gapinc.com,216.70.112.21,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,
,centraloffice.gapinc.com,52.255.212.181,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,,,
,centralofficeqa.gapinc.com,52.226.168.200,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,True,azure,,,,,
,citrix.gapinc.com,8.18.111.104,"edns83.ultradns.com, hostmaster.gap.com",,NOERROR,,,,,,,
