new,host,ttl,a,mx,soa,txt,status_code,cname,aaaa,caa,ns
[x],1-7-2-7.eu.pagerduty.com,60,"3.79.124.225, 3.126.2.17, 18.192.170.210",mail.eu.pagerduty.com,"{'name': 'eu.pagerduty.com', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu.pagerduty.com', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu.pagerduty.com', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu.pagerduty.com', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu.pagerduty.com', 'ns': 'ns-1017.awsdns-63.net', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,NOERROR,,,,
[x],17-121-122-15.careers.pagerduty.com,60,"52.36.64.228, 35.163.146.4, 44.237.102.140",mail.pagerduty.com,"{'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",v=spf1 include:pagerduty.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,NOERROR,,,,
[x],1stdibs.pagerduty.com,51,"44.237.102.140, 52.36.64.228, 35.163.146.4",mail.pagerduty.com,"{'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",v=spf1 include:pagerduty.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,NOERROR,,,,
[x],2020.summit.pagerduty.com,300,"52.213.47.89, 3.248.123.157",,"{'name': 'swoogo.com', 'ns': 'ns-679.awsdns-20.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'swoogo.com', 'ns': 'ns-679.awsdns-20.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'swoogo.com', 'ns': 'ns-679.awsdns-20.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'swoogo.com', 'ns': 'ns-679.awsdns-20.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'swoogo.com', 'ns': 'ns-679.awsdns-20.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",,NOERROR,elb-0452-2020-summit-pagerduty-com.swoogo.com,,,
[x],2fcareers.pagerduty.com,60,"52.36.64.228, 35.163.146.4, 44.237.102.140",mail.pagerduty.com,"{'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",v=spf1 include:pagerduty.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,NOERROR,,,,
[x],2fimpact-report.pagerduty.com,60,,,"{'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",v=spf1 include:pagerduty.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,NOERROR,,,,
[x],2finvestor.pagerduty.com,37,,,"{'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",v=spf1 include:pagerduty.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,NOERROR,,,,
[x],2fwww.careers.pagerduty.com,60,"35.163.146.4, 52.36.64.228, 44.237.102.140",mail.pagerduty.com,"{'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",v=spf1 include:pagerduty.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,NOERROR,,,,
[x],2fwww.pagerduty.com,60,"35.163.146.4, 44.237.102.140, 52.36.64.228",mail.pagerduty.com,"{'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",,NOERROR,,,,
[x],3g.pagerduty.com,900,,mail.pagerduty.com,"{'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'pagerduty.com', 'ns': 'ns-1285.awsdns-32.org', 'mailbox': 'hostmaster.pagerduty.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",v=spf1 include:pagerduty.com._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,NOERROR,,,,
