input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_self_signed,final_url,csp_domains_,tls_subject_org_
155-9-183-38.webserver.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://155-9-183-38.webserver.codechef.com:443,https,nginx,text/html,GET,34.232.222.20,/,2097823466,3.208.84.54,PHP,446,False,,,https://www.codechef.com/,https://student.examus.net,
48pj1chtmv1h.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://48pj1chtmv1h.codechef.com:443,https,nginx,text/html,GET,3.208.84.54,/,2097823466,34.232.222.20,PHP,446,False,,,https://www.codechef.com/,https://student.examus.net,
adminadmin.discussed.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://adminadmin.discussed.codechef.com:443,https,nginx,text/html,GET,34.232.222.20,/,2097823466,3.208.84.54,PHP,446,False,,,https://www.codechef.com/,https://student.examus.net,
akademie-kunterbunt.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://akademie-kunterbunt.codechef.com:443,https,nginx,text/html,GET,3.208.84.54,/,2097823466,34.232.222.20,PHP,446,False,,,https://www.codechef.com/,https://apps.facebook.com,
ama.campus.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://ama.campus.codechef.com:443,https,nginx,text/html,GET,34.232.222.20,/,2097823466,3.208.84.54,PHP,446,False,,,https://www.codechef.com/,https://student.examus.net,
api-na-webprod-i2.cdn.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://api-na-webprod-i2.cdn.codechef.com:443,https,nginx,text/html,GET,34.232.222.20,/,2097823466,3.208.84.54,PHP,446,False,,,https://www.codechef.com/,https://student.examus.net,
api.codechef.com,,405,64,api.codechef.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,api.codechef.com,443,https://api.codechef.com:443,https,nginx,application/json,GET,3.89.16.226,/,1494302000,34.237.95.242,PHP,1,False,,,,,
apijira-start-clients.status.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://apijira-start-clients.status.codechef.com:443,https,nginx,text/html,GET,34.232.222.20,/,2097823466,3.208.84.54,PHP,446,False,,,https://www.codechef.com/,https://student.examus.net,
baker.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://baker.codechef.com:443,https,nginx,text/html,GET,3.208.84.54,/,2097823466,34.232.222.20,PHP,446,False,,,https://www.codechef.com/,https://student.examus.net,
balancer0.codechef.com,CodeChef: Practical coding for everyone,200,40298,www.codechef.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=*.codechef.com,*.codechef.com,codechef.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,08c026bebcd42e1234015e1f973f6cfe,428babd10e5fdcb1398cded95a621e1eb5cc327865a83317ff0eaeaf317c64f4,True,ctls,www.codechef.com,443,https://balancer0.codechef.com:443,https,nginx,text/html,GET,34.232.222.20,/,2097823466,3.208.84.54,PHP,446,False,,,https://www.codechef.com/,https://student.examus.net,
