input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,csp_domains_,final_url,tls_mismatched,tls_expired,location
0pbuilder.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://0pbuilder.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.40,/,1766035889,18.66.122.93,HSTS,191,False,True,,True,https://api-digitalid-idps.int.btr.place,https://verify.auspost.com.au/,,,
155-9-183-87.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-183-87.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.40,/,1766035889,18.66.122.20,HSTS,191,False,True,,True,https://auspost.demdex.net,https://verify.auspost.com.au/,,,
155-9-204-67.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-204-67.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.20,/,1766035889,18.66.122.93,HSTS,191,False,True,,True,https://*.auspost.com.au,https://verify.auspost.com.au/,,,
155-9-204-70.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-204-70.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.165.183.21,/,1766035889,18.165.183.50,HSTS,191,False,True,,True,https://*.gstatic.com,https://verify.auspost.com.au/,,,
155-9-216-10.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-216-10.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.93,/,1766035889,18.66.122.60,HSTS,191,False,True,,True,https://bid.g.doubleclick.net,https://verify.auspost.com.au/,,,
155-9-219-3.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-219-3.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.60,/,1766035889,18.66.122.20,HSTS,191,False,True,,True,https://www.police.wa.gov.au,https://verify.auspost.com.au/,,,
155-9-51-39.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-51-39.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.40,/,1766035889,18.66.122.93,HSTS,191,False,True,,True,https://www.googletagmanager.com,https://verify.auspost.com.au/,,,
155-9-52-59.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-52-59.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.20,/,1766035889,18.66.122.40,HSTS,191,False,True,,True,https://australiapost.tt.omtrdc.net,https://verify.auspost.com.au/,,,
155-9-52-82.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-52-82.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.93,/,1766035889,18.66.122.60,HSTS,191,False,True,,True,https://assets.adobedtm.com,https://verify.auspost.com.au/,,,
155-9-56-58.policecheck.auspost.com.au,National Police Check Service,200,6339,verify.auspost.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-07T00:00:00Z,2024-01-06T23:59:59Z,CN=verify.auspost.com.au,verify.auspost.com.au,*.verify.auspost.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,63a6751419da83b98f29860e0c797fd3,b6cc8089315b034fd1cbab6cd9da15bf9b64c3c488c44859c202662569c66f23,ctls,verify.auspost.com.au,cloudfront,443,https://155-9-56-58.policecheck.auspost.com.au:443,https,AmazonS3,text/html,GET,18.66.122.93,/,1766035889,18.66.122.20,HSTS,191,False,True,,True,https://www.police.wa.gov.au,https://verify.auspost.com.au/,,,
