new,host,ttl,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name
[x],2012.pumb.ua,600,64.225.94.14,,pumb.ua,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",NOERROR,pumb-ua.mail.protection.outlook.com,,"apple-domain-verification=5XQDceSdPPIffWx2, slack-domain-verification=X0BdEJ7VsF6tETOWHoz2ByU6fqRwfvgd1F9LKpyd, miro-verification=128bcd94ddb08d44996a096e2c23785af59bfb3f, v=spf1 ip4:194.44.66.0/24 ip4:194.44.233.42 include:spf.protection.outlook.com -all, MS=ms64492531, 3wuAgDHJZO9fI+im1JdXMb8dh9tCsdoPI72e6OYOcJoEEIB+FHrQwUxWg6jX0SjWqMMWGGsnDc1yBr/3bipCeg==, google-site-verification=TE41RoGbh1HHkz3VcyEk7lDR_cSQeXIEgETjFSAhG50, cloudflare-verify.pumb.ua 193157677-71130397, ZOOM_verify_4EL06n8UsTV8fXv4Mi1Ib7, google-site-verification=P1w2g3IMe_tAgGO9HiboCsomv1RUKOyGPvuQJWDxq1w, nbx6rrwlKk++AlMSf/LahXuB85t02uQ3HE6lWsnq4rC8WJjnVqZsxSMNboTGDCsYS44XBLh8f00lqtxTiLj41w==, atlassian-domain-verification=NuyPqz/TVsLXge5sYqEVXhf7yQHVsd9VMGvTpgc3S5aKtTk2kScZg2fjMq8WtuYf, google-site-verification=DLAqtaASqpDCuiyoNERrLUCO170K7fCmFoaNc2IOp6Y, n+q7o6iL2+25UcodaabK1q23tmpc7cy2cmNadebrgttjsAhh4rCKSqmDKZSCZtiCTvNZ0DLAB9ScivdCOHWDvQ==",,
[x],2013.pumb.ua,600,64.225.94.14,,pumb.ua,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",NOERROR,pumb-ua.mail.protection.outlook.com,"nsd2.srv53.net, nsb1.srv53.org, nsb3.srv53.com, nsa1.srv53.com, nsa2.srv53.org, nsd2.srv53.com, nsa4.srv53.net, nsb4.srv53.net, nsc2.srv53.net, nsc4.srv53.com, nsc2.srv53.org, nsd4.srv53.org","apple-domain-verification=5XQDceSdPPIffWx2, cloudflare-verify.pumb.ua 193157677-71130397, google-site-verification=DLAqtaASqpDCuiyoNERrLUCO170K7fCmFoaNc2IOp6Y, miro-verification=128bcd94ddb08d44996a096e2c23785af59bfb3f, nbx6rrwlKk++AlMSf/LahXuB85t02uQ3HE6lWsnq4rC8WJjnVqZsxSMNboTGDCsYS44XBLh8f00lqtxTiLj41w==, v=spf1 ip4:194.44.66.0/24 ip4:194.44.233.42 include:spf.protection.outlook.com -all, MS=ms64492531, slack-domain-verification=X0BdEJ7VsF6tETOWHoz2ByU6fqRwfvgd1F9LKpyd, ZOOM_verify_4EL06n8UsTV8fXv4Mi1Ib7, google-site-verification=TE41RoGbh1HHkz3VcyEk7lDR_cSQeXIEgETjFSAhG50, 3wuAgDHJZO9fI+im1JdXMb8dh9tCsdoPI72e6OYOcJoEEIB+FHrQwUxWg6jX0SjWqMMWGGsnDc1yBr/3bipCeg==, google-site-verification=P1w2g3IMe_tAgGO9HiboCsomv1RUKOyGPvuQJWDxq1w, n+q7o6iL2+25UcodaabK1q23tmpc7cy2cmNadebrgttjsAhh4rCKSqmDKZSCZtiCTvNZ0DLAB9ScivdCOHWDvQ==, atlassian-domain-verification=NuyPqz/TVsLXge5sYqEVXhf7yQHVsd9VMGvTpgc3S5aKtTk2kScZg2fjMq8WtuYf",,
[x],30razom.pumb.ua,10,89.184.92.75,,,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",NOERROR,,,,,
[x],about-dev.pumb.ua,86,"172.67.197.20, 104.21.92.179","2606:4700:3031::ac43:c514, 2606:4700:3037::6815:5cb3",about-dev.pumb.ua.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],about-stage.pumb.ua,46,"172.67.197.20, 104.21.92.179","2606:4700:3037::6815:5cb3, 2606:4700:3031::ac43:c514",about-stage.pumb.ua.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],about.pumb.ua,26,"172.67.197.20, 104.21.92.179",,about.pumb.ua.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],academy.pumb.ua,600,"172.67.197.20, 104.21.92.179","2606:4700:3037::6815:5cb3, 2606:4700:3031::ac43:c514",academy.pumb.ua.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2346948311, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],anketa-kb.pumb.ua,600,64.225.94.14,,pumb.ua,"{'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}, {'name': 'pumb.ua', 'ns': 'nsa4.srv53.net', 'mailbox': 'support.dnshosting.org', 'serial': 1721387960, 'refresh': 1800, 'retry': 600, 'expire': 2419200, 'minttl': 600}",NOERROR,pumb-ua.mail.protection.outlook.com,,"MS=ms64492531, ZOOM_verify_4EL06n8UsTV8fXv4Mi1Ib7, apple-domain-verification=5XQDceSdPPIffWx2, cloudflare-verify.pumb.ua 193157677-71130397, miro-verification=128bcd94ddb08d44996a096e2c23785af59bfb3f, slack-domain-verification=X0BdEJ7VsF6tETOWHoz2ByU6fqRwfvgd1F9LKpyd, google-site-verification=DLAqtaASqpDCuiyoNERrLUCO170K7fCmFoaNc2IOp6Y, google-site-verification=P1w2g3IMe_tAgGO9HiboCsomv1RUKOyGPvuQJWDxq1w, google-site-verification=TE41RoGbh1HHkz3VcyEk7lDR_cSQeXIEgETjFSAhG50, v=spf1 ip4:194.44.66.0/24 ip4:194.44.233.42 include:spf.protection.outlook.com -all, 3wuAgDHJZO9fI+im1JdXMb8dh9tCsdoPI72e6OYOcJoEEIB+FHrQwUxWg6jX0SjWqMMWGGsnDc1yBr/3bipCeg==, n+q7o6iL2+25UcodaabK1q23tmpc7cy2cmNadebrgttjsAhh4rCKSqmDKZSCZtiCTvNZ0DLAB9ScivdCOHWDvQ==, nbx6rrwlKk++AlMSf/LahXuB85t02uQ3HE6lWsnq4rC8WJjnVqZsxSMNboTGDCsYS44XBLh8f00lqtxTiLj41w==, atlassian-domain-verification=NuyPqz/TVsLXge5sYqEVXhf7yQHVsd9VMGvTpgc3S5aKtTk2kScZg2fjMq8WtuYf",,
[x],api.cz-b.pumb.ua,600,"18.158.145.206, 18.198.168.115",,aws-prod-cz-sender-front-alb-850323453.eu-central-1.elb.amazonaws.com,"{'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,
[x],api.cz-sender.pumb.ua,600,"18.198.168.115, 18.158.145.206",,aws-prod-cz-sender-front-alb-850323453.eu-central-1.elb.amazonaws.com,"{'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,
