new,host,ttl,a,aaaa,soa,status_code,ns,cname,txt,caa,mx
[x],15-3-1-0.app.optimizely.com,300,,"2606:4700:4400::ac40:9848, 2606:4700:4400::6812:23b8","{'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],155-9-225-54.app.optimizely.com,300,"104.18.35.184, 172.64.152.72","2606:4700:4400::6812:23b8, 2606:4700:4400::ac40:9848","{'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'app.optimizely.com', 'ns': 'candy.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355587970, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],3-7-2.cg.optimizely.com,1800,,,"{'name': 'cg.optimizely.com', 'ns': 'dylan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356895268, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cg.optimizely.com', 'ns': 'dylan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356895268, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cg.optimizely.com', 'ns': 'dylan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356895268, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cg.optimizely.com', 'ns': 'dylan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356895268, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cg.optimizely.com', 'ns': 'dylan.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2356895268, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],3p.api.optimizely.com,60,"34.230.219.97, 50.19.11.24",,"{'name': '3p.api.optimizely.com', 'ns': 'ns-1877.awsdns-42.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '3p.api.optimizely.com', 'ns': 'ns-1877.awsdns-42.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '3p.api.optimizely.com', 'ns': 'ns-1877.awsdns-42.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': '3p.api.optimizely.com', 'ns': 'ns-1877.awsdns-42.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1062.awsdns-04.org, ns-1877.awsdns-42.co.uk, ns-3.awsdns-00.com, ns-857.awsdns-43.net",,,,
[x],43c4.cdn-pci.optimizely.com,300,"172.64.144.102, 104.18.43.154","2606:4700:4400::ac40:9066, 2606:4700:4400::6812:2b9a","{'name': 'cdn-pci.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355276341, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn-pci.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355276341, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn-pci.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355276341, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],a10083930701.cdn.optimizely.com,300,,"2606:4700::6812:4239, 2606:4700::6812:4139","{'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],a11179690159.cdn.optimizely.com,300,,"2606:4700::6812:4139, 2606:4700::6812:4239","{'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],a13302150067.cdn.optimizely.com,300,"104.18.66.57, 104.18.65.57",,"{'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],a14464890104.cdn.optimizely.com,1800,,,"{'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355020841, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
[x],a14687740654.cdn-pci.optimizely.com,300,,"2606:4700:4400::ac40:9066, 2606:4700:4400::6812:2b9a","{'name': 'cdn-pci.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355276341, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn-pci.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355276341, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn-pci.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355276341, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn-pci.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355276341, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cdn-pci.optimizely.com', 'ns': 'erin.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355276341, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
