input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_subject_org_,tls_mismatched
1password-scim.shipt.com,1Password SCIM bridge,200,559,1password-scim.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,1password-scim.shipt.com,google,443,https://1password-scim.shipt.com:443,https,,text/html,GET,34.28.217.65,/,104012657,34.28.217.65,,1,False,True,https://w3.org,https://1password-scim.shipt.com/app/,,
admin.shipt.com,,403,16,admin.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,admin.shipt.com,cloudflare,443,https://admin.shipt.com:443,https,cloudflare,text/plain,GET,162.159.135.84,/,1253481126,2606:4700:7::a29f:8654,Cloudflare Bot Management,1,False,True,,,,
api-east.shipt.com,,403,16,api-east.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,api-east.shipt.com,cloudflare,443,https://api-east.shipt.com:443,https,cloudflare,text/plain,GET,162.159.135.84,/,1253481126,2606:4700:7::a29f:8754,Cloudflare Bot Management,1,False,True,,,,
api-gcp-east.shipt.com,,403,16,api-gcp-east.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,api-gcp-east.shipt.com,cloudflare,443,https://api-gcp-east.shipt.com:443,https,cloudflare,text/plain,GET,162.159.134.84,/,1253481126,2606:4700:7::a29f:8754,Cloudflare Bot Management,1,False,True,,,,
api-gcp.shipt.com,,403,16,api-gcp.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,api-gcp.shipt.com,cloudflare,443,https://api-gcp.shipt.com:443,https,cloudflare,text/plain,GET,162.159.135.84,/,1253481126,2606:4700:7::a29f:8754,Cloudflare Bot Management,1,False,True,,,,
api-mesh-k8s.shipt.com,403,403,134,api-mesh-k8s.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,api-mesh-k8s.shipt.com,google,443,https://api-mesh-k8s.shipt.com:443,https,,text/html,GET,34.160.137.108,/,1723221432,34.160.137.108,HTTP/3,1,False,True,,,,
api-west.shipt.com,,403,16,api-west.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,api-west.shipt.com,cloudflare,443,https://api-west.shipt.com:443,https,cloudflare,text/plain,GET,162.159.135.84,/,1253481126,2606:4700:7::a29f:8654,Cloudflare Bot Management,1,False,True,,,,
api.shipt.com,,403,16,api.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,api.shipt.com,cloudflare,443,https://api.shipt.com:443,https,cloudflare,text/plain,GET,162.159.134.84,/,1253481126,2606:4700:7::a29f:8754,Cloudflare Bot Management,1,False,True,,,,
app-gcp.shipt.com,,403,16,app-gcp.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,app-gcp.shipt.com,cloudflare,443,https://app-gcp.shipt.com:443,https,cloudflare,text/plain,GET,162.159.134.84,/,1253481126,2606:4700:7::a29f:8754,Cloudflare Bot Management,1,False,True,,,,
app.shipt.com,,403,16,app.shipt.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-14T00:00:00Z,2023-09-30T23:59:59Z,CN=*.shipt.com,*.shipt.com,shipt.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3dfe202523edc9bcd9adfe58f474e5c7,f521dfead8ead216e53e5bca8c3ae8f36909075d5e1cf32fbd910810d5b27738,True,ctls,app.shipt.com,cloudflare,443,https://app.shipt.com:443,https,cloudflare,text/plain,GET,162.159.134.84,/,1253481126,2606:4700:7::a29f:8754,Cloudflare Bot Management,1,False,True,,,,
