input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,content_type,csp_domains_,tls_expired,final_url,cdn_name,cdn
alphanet.bridge.ternoa.network,Ternoa Bridge,200,38033,alphanet.bridge.ternoa.network,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-06-22T18:07:10Z,2023-09-20T18:07:09Z,CN=alphanet.bridge.ternoa.network,alphanet.bridge.ternoa.network,alphanet.bridge.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4525bb4057ef1827cbb631b30c8041fe,fb7643b37c1a64c6b457e5256cf8e744bc5b3c54c995c2075e927818d9ba8b89,ctls,alphanet.bridge.ternoa.network,443,https://alphanet.bridge.ternoa.network:443,https,Vercel,GET,76.76.21.61,/,163479070,76.76.21.164,Vercel,1,False,text/html,,,,,
betanet-boot-0.ternoa.network,,403,,betanet-boot-0.ternoa.network,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T22:36:54Z,2023-07-29T22:36:53Z,CN=betanet-boot-0.ternoa.network,betanet-boot-0.ternoa.network,betanet-boot-0.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6eeb2b4be7899dffff0e493db88cdedd,bb5b3659a04d5fc17692e1416bbc54b87d31b1655edc59f2d3f8a3e08c7332a6,ctls,betanet-boot-0.ternoa.network,443,https://betanet-boot-0.ternoa.network:443,https,nginx/1.18.0 (Ubuntu),GET,51.15.140.46,/,-2144967296,51.15.140.46,Ubuntu,1,False,,,,,,
betanet.ternoa.network,,403,,betanet.ternoa.network,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T20:20:52Z,2023-08-27T20:20:51Z,CN=betanet.ternoa.network,betanet.ternoa.network,betanet.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b9449fe31f1982aebcdac02be035dc18,356d975f0d28972220da0f6886f27f88577d84850426408ebeafe12c1ecff7a9,ctls,betanet.ternoa.network,443,https://betanet.ternoa.network:443,https,,GET,51.159.204.158,/,-1840324437,51.159.204.158,,1,False,,,,,,
bridge.ternoa.network,Ternoa Bridge,200,38113,bridge.ternoa.network,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-06-22T18:05:29Z,2023-09-20T18:05:28Z,CN=bridge.ternoa.network,bridge.ternoa.network,bridge.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,dda3db8d54523b1a9641af8af09577eb,3f9e4cf4834be477e7d336989a82d0ca526561416cd77327954cd30a35b5df40,ctls,bridge.ternoa.network,443,https://bridge.ternoa.network:443,https,Vercel,GET,76.76.21.123,/,163479070,76.76.21.93,Vercel,1,False,text/html,,,,,
dashboard-bridge-alphanet.ternoa.network,Ternoa Bridge Dashboard,200,32412,dashboard-bridge-alphanet.ternoa.network,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-29T18:05:09Z,2023-08-27T18:05:08Z,CN=dashboard-bridge-alphanet.ternoa.network,dashboard-bridge-alphanet.ternoa.network,dashboard-bridge-alphanet.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,172aeb80c36f5f716ae3ea972c47853e,7847129a0554553b38055e7db928bf788fc0bbb7f1eec2a139ec8a7d8768bb89,ctls,dashboard-bridge-alphanet.ternoa.network,443,https://dashboard-bridge-alphanet.ternoa.network:443,https,Vercel,GET,76.76.21.98,/,163479070,76.76.21.241,Vercel,1,False,text/html,,,,,
dashboard-bridge-mainnet.ternoa.network,Ternoa Bridge Dashboard,200,32408,dashboard-bridge-mainnet.ternoa.network,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-17T19:17:31Z,2023-08-15T19:17:30Z,CN=dashboard-bridge-mainnet.ternoa.network,dashboard-bridge-mainnet.ternoa.network,dashboard-bridge-mainnet.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cf638e043c26c27f2d2f6dcd9b7f7b4f,eb61f701a29b3608e1128b4982d1d158238a8c851fb05b9a6b2d42e2cf15ec03,ctls,dashboard-bridge-mainnet.ternoa.network,443,https://dashboard-bridge-mainnet.ternoa.network:443,https,Vercel,GET,76.76.21.61,/,163479070,76.76.21.142,Vercel,1,False,text/html,,,,,
dev-0.ternoa.network,,403,,dev-0.ternoa.network,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-27T04:15:52Z,2023-08-25T04:15:51Z,CN=dev-0.ternoa.network,dev-0.ternoa.network,dev-0.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0c658bbb342c1742993fcd476aac5548,34d90e14c221814b630c3224ca5574037c9e2330796f8ec303b2dc2afa334b32,ctls,dev-0.ternoa.network,443,https://dev-0.ternoa.network:443,https,nginx/1.18.0 (Ubuntu),GET,51.15.251.137,/,-2144967296,51.15.251.137,Ubuntu,1,False,,,,,,
dev-1.ternoa.network,,403,,dev-1.ternoa.network,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T04:01:46Z,2023-09-02T04:01:45Z,CN=dev-1.ternoa.network,dev-1.ternoa.network,dev-1.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e843ba1b3f55052d985f4534cf539b30,8fb2128dcd4f4ceda78cd0d80da68a9023444c34dc9aa84b7e90c0796456e26c,ctls,dev-1.ternoa.network,443,https://dev-1.ternoa.network:443,https,nginx/1.18.0 (Ubuntu),GET,51.15.112.139,/,-2144967296,51.15.112.139,Ubuntu,1,False,,,,,,
dev.hub.ternoa.network,Ternoa HUB • Helping Builders Bring Their NFT Ideas to Life,200,27412,dev.hub.ternoa.network,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-12T08:11:24Z,2023-08-10T08:11:23Z,CN=dev.hub.ternoa.network,dev.hub.ternoa.network,dev.hub.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9fa1d5728ba9fb089d37ea30ab60d5b3,ae0b2e8488000c87f3e1e24c9bf893880407de0d8b794d8da40bfd64a0008642,ctls,dev.hub.ternoa.network,443,https://dev.hub.ternoa.network:443,https,Vercel,GET,76.76.21.9,/,-1905254911,76.76.21.241,Vercel,3,False,text/html,,,,,
erc-association.ternoa.network,,200,3470,erc-association.ternoa.network,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-02T09:36:10Z,2023-07-31T09:36:09Z,CN=erc-association.ternoa.network,erc-association.ternoa.network,erc-association.ternoa.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,91b698942276f91bd0c3becd26450f64,c888859695fa201c594df7da146e57100e729390a5bd464d547216694e9a745a,ctls,erc-association.ternoa.network,443,https://erc-association.ternoa.network:443,https,Vercel,GET,76.76.21.93,/,-2070047203,76.76.21.9,Vercel,1,False,text/html,,,,,
