input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_
affiliate.bitfinex.com,Bitfinex Affiliate Program | Earn Unlimited Affiliate Commission,200,3633,affiliate.bitfinex.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=bitfinex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitfinex.com,"Cloudflare, Inc.",*.test.bitfinex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",20a3594a64997df8caed29c67f325f6b,4228e2fd2f013413001135e5ae522922e820f5316d27a67c10ac627bc9cf7edd,True,ctls,affiliate.bitfinex.com,cloudflare,443,https://affiliate.bitfinex.com:443,https,cloudflare,text/html,GET,104.17.18.84,/,190856733,104.17.20.84,HSTS,1,False,True,,
api-pub.bitfinex.com,,403,113,api-pub.bitfinex.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=bitfinex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitfinex.com,"Cloudflare, Inc.",*.test.bitfinex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",20a3594a64997df8caed29c67f325f6b,4228e2fd2f013413001135e5ae522922e820f5316d27a67c10ac627bc9cf7edd,True,ctls,api-pub.bitfinex.com,cloudflare,443,https://api-pub.bitfinex.com:443,https,cloudflare,application/json,GET,104.17.21.84,/,-297855193,104.17.19.84,HSTS,1,False,True,,
api-pub.staging.bitfinex.com,,403,16,api-pub.staging.bitfinex.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=bitfinex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitfinex.com,"Cloudflare, Inc.",*.test.bitfinex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",20a3594a64997df8caed29c67f325f6b,4228e2fd2f013413001135e5ae522922e820f5316d27a67c10ac627bc9cf7edd,True,ctls,api-pub.staging.bitfinex.com,cloudflare,443,https://api-pub.staging.bitfinex.com:443,https,cloudflare,text/plain,GET,104.17.20.84,/,1268003052,104.17.18.84,Cloudflare,1,False,True,,
bfx-ui-pulse.staging.bitfinex.com,Sign in ・ Cloudflare Access,200,31203,ifinex.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,ifinex.cloudflareaccess.com,cloudflare,443,https://bfx-ui-pulse.staging.bitfinex.com:443,https,cloudflare,text/html,GET,104.17.21.84,/,-484790552,104.17.17.84,HSTS,87,False,True,https://ifinex.cloudflareaccess.com/cdn-cgi/access/login/bfx-ui-pulse.staging.bitfinex.com?kid=d221242559603ad1ed4f549c4a6a410abce7334dae322b4180e7f5e9dc56b10e&redirect_url=%2F&meta=eyJraWQiOiJkMTdlYzhkODZjNWY5NDQ5MWUzYjgzOWY1NmRjZDY5M2VhMTFhYWVmOWQzZmVhMTZhOTFiNzk3N2Y5OGI4NWZmIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NzIzMDQ5MCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImQyMjEyNDI1NTk2MDNhZDFlZDRmNTQ5YzRhNmE0MTBhYmNlNzMzNGRhZTMyMmI0MTgwZTdmNWU5ZGM1NmIxMGUiLCJob3N0bmFtZSI6ImJmeC11aS1wdWxzZS5zdGFnaW5nLmJpdGZpbmV4LmNvbSIsImFwcF9zZXNzaW9uX2hhc2giOiI0MWU1ODk4NWU3NDY5NDBkZTdmNjJjMTYyMDljODAxOTE1ZTMyNjVhZjhhYWE0ZDM1ODkxOTk3ZTU5Y2ZiMmM0IiwibmJmIjoxNjg3MjMwNDkwLCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.1glkYlADKF3zZlNypspdgjtV_ube5xX50mpMdAgvsVOPcDI8BqXd6F-0ahxnHcnzN_rj7US27hVfnDd9S6WDiPKJScxu9kQ9zSQvXRKSljMSOJSL6zE_9uzD-8wxQdmya91PvtRfwOw6cVr-Uh-kpAWkHS3mZpSeeDA2N0qtHOobdO0ZtuwVwAd8wIIrZwxNw9t1umzBe_ZQ7F4ZKhzvAV_wTxfLSEM7z5McwuDwnnTVYGQiWtmxy0clM-xOuGLBOxcc8Jo0X9pXoVbiwAK5rrzgdibBDLmoPyWUoJUs0VKdp9TVJZ3LoZARVXxFg6I1TXboqPhjYGc9u5siNzR1sQ,https:
bfx-ui-terminal.staging.bitfinex.com,Sign in ・ Cloudflare Access,200,31217,ifinex.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,ifinex.cloudflareaccess.com,cloudflare,443,https://bfx-ui-terminal.staging.bitfinex.com:443,https,cloudflare,text/html,GET,104.17.20.84,/,1681043214,104.17.21.84,HSTS,87,False,True,https://ifinex.cloudflareaccess.com/cdn-cgi/access/login/bfx-ui-terminal.staging.bitfinex.com?kid=c9f9c9f865d9e48e5036c0480656d83fd44eb6c48e94c135466afa40acf7c07b&redirect_url=%2F&meta=eyJraWQiOiJkMTdlYzhkODZjNWY5NDQ5MWUzYjgzOWY1NmRjZDY5M2VhMTFhYWVmOWQzZmVhMTZhOTFiNzk3N2Y5OGI4NWZmIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NzIzMDQ5MCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImM5ZjljOWY4NjVkOWU0OGU1MDM2YzA0ODA2NTZkODNmZDQ0ZWI2YzQ4ZTk0YzEzNTQ2NmFmYTQwYWNmN2MwN2IiLCJob3N0bmFtZSI6ImJmeC11aS10ZXJtaW5hbC5zdGFnaW5nLmJpdGZpbmV4LmNvbSIsImFwcF9zZXNzaW9uX2hhc2giOiI1MWQxNDU2MTJjODAyY2UxMGEyYTMxYjA3OGZhYWYzMTdlMjczNWQxNGFmNzk0NDdhOTA0MmViNGU1YThkOGQxIiwibmJmIjoxNjg3MjMwNDkwLCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsInR5cGUiOiJtZXRhIiwicmVkaXJlY3RfdXJsIjoiXC8iLCJtdGxzX2F1dGgiOnsiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjZXJ0X3NlcmlhbCI6IiIsImNlcnRfaXNzdWVyX2RuIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sImF1dGhfc3RhdHVzIjoiTk9ORSJ9.z_kxJLkPwCptnB8lWN7CqPDKdQuL2eqBMyWDk9vXnhc5BXpJTcAwySy5VJj5uLhKJI6sv_6J2F9BkEd-awpP4x4EZrqIbfqybz-rVyOivtwL__ldSUQa8suW8iRRdDPPbwIRoKgFoDPAx3YdSSbuYSO3p6tx0xBZbrTwbPeZ9tTIB6Gq6eASgMbxV7iVMcClJgfuLU5f-91VZJ4iNUmBFYMcOkFEZNRoi7hG104ZsGSG7r6OS_yS6bowU5kIMBbnciHYSwr689dolFhutO-LF7Yfj8luLbn9bFaDpIekCoCYjTp2e4PkEvtrzB8QESuf8Vj8gI7DMbo1_3JG__E5kA,https:
blog.bitfinex.com,The Bitfinex Blog,200,163867,blog.bitfinex.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=bitfinex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitfinex.com,"Cloudflare, Inc.",*.test.bitfinex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",20a3594a64997df8caed29c67f325f6b,4228e2fd2f013413001135e5ae522922e820f5316d27a67c10ac627bc9cf7edd,True,ctls,blog.bitfinex.com,cloudflare,443,https://blog.bitfinex.com:443,https,cloudflare,text/html,GET,104.17.18.84,/,1494302000,104.17.19.84,wpBakery,1568,False,True,,
board.bitfinex.com,Bitfinex | Log in,200,566003,www.bitfinex.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=bitfinex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitfinex.com,"Cloudflare, Inc.",*.test.bitfinex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",20a3594a64997df8caed29c67f325f6b,4228e2fd2f013413001135e5ae522922e820f5316d27a67c10ac627bc9cf7edd,True,ctls,www.bitfinex.com,cloudflare,443,https://board.bitfinex.com:443,https,cloudflare,text/html,GET,104.17.20.84,/,-13038130,104.17.18.84,webpack,83,False,True,https://www.bitfinex.com/login/,https://www.bitfinex.com
board.staging.bitfinex.com,,403,16,board.staging.bitfinex.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-04-09T00:00:00Z,2024-04-08T23:59:59Z,"CN=bitfinex.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",bitfinex.com,"Cloudflare, Inc.",*.test.bitfinex.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",20a3594a64997df8caed29c67f325f6b,4228e2fd2f013413001135e5ae522922e820f5316d27a67c10ac627bc9cf7edd,True,ctls,board.staging.bitfinex.com,cloudflare,443,https://board.staging.bitfinex.com:443,https,cloudflare,text/plain,GET,104.17.20.84,/,1268003052,104.17.19.84,Cloudflare,1,False,True,,
bounce.marketing.bitfinex.com,Error 404 - not found,404,6396,app.getresponse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-27T16:30:20Z,2024-04-11T10:53:03Z,CN=*.getresponse.com,*.getresponse.com,,getresponse.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a274e111d959744c14f88936df1ad49a,384c93cd4abecc072db829dc545a18f9d762f8e8fe77de8f7dd662b01eca0749,True,ctls,app.getresponse.com,,443,https://bounce.marketing.bitfinex.com:443,https,,text/html,GET,91.239.185.72,/,-896608700,91.239.185.72,,49,False,,https://app.getresponse.com/error404.html,
capital-admin.bitfinex.com,Sign in ・ Cloudflare Access,200,31180,ifinex.cloudflareaccess.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-11T00:00:00Z,2023-09-07T23:59:59Z,CN=ssl1075497.cloudflaressl.com,ssl1075497.cloudflaressl.com,,cloudflareaccess.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,87713b38da05acdabfe6e7ca7d9d65a8,20a161d033636d125bfd59b23b1d246dc3535ed149333b3dba97497ed105e8ad,True,ctls,ifinex.cloudflareaccess.com,cloudflare,443,https://capital-admin.bitfinex.com:443,https,cloudflare,text/html,GET,104.17.17.84,/,-940456764,104.17.20.84,HSTS,87,False,True,https://ifinex.cloudflareaccess.com/cdn-cgi/access/login/capital-admin.bitfinex.com?kid=b88f03926b22466c190345e3f67687cd511306e74b2b6980d326a737e3f01d74&redirect_url=%2F&meta=eyJraWQiOiJkMTdlYzhkODZjNWY5NDQ5MWUzYjgzOWY1NmRjZDY5M2VhMTFhYWVmOWQzZmVhMTZhOTFiNzk3N2Y5OGI4NWZmIiwiYWxnIjoiUlMyNTYiLCJ0eXAiOiJKV1QifQ.eyJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlhdCI6MTY4NzIzMDQ5MCwic2VydmljZV90b2tlbl9pZCI6IiIsImF1ZCI6ImI4OGYwMzkyNmIyMjQ2NmMxOTAzNDVlM2Y2NzY4N2NkNTExMzA2ZTc0YjJiNjk4MGQzMjZhNzM3ZTNmMDFkNzQiLCJob3N0bmFtZSI6ImNhcGl0YWwtYWRtaW4uYml0ZmluZXguY29tIiwiYXBwX3Nlc3Npb25faGFzaCI6Ijg0MDAwNjkwNmNmMmRiYmQ5OWUyZDk3YTk3MmU5MGI0ZDRkNjIxYmE1OGJlNTQ2YzIzNWUyMWNjNzQwNjc5YWQiLCJuYmYiOjE2ODcyMzA0OTAsImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwidHlwZSI6Im1ldGEiLCJyZWRpcmVjdF91cmwiOiJcLyIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfZG4iOiIiLCJhdXRoX3N0YXR1cyI6Ik5PTkUifSwiYXV0aF9zdGF0dXMiOiJOT05FIn0.z3Ew1mC7_wrQXWYo-_Yj7CV-XgmeixsWyL2AvBT3y5b4XRnD-aIHsVfLTXzX88m-VsFknOjIDCKVdagttjPlUL9hNdZLgmDYG09JRHob0AVOXvUPr6J6DLtGEIuJysRzBxDGl3xTUqoKR6eQvYAGkvLNL-QJZKt0CSDzAdQ1MuhMuoNgN_7rvwG9abTSJyIky54pCTZmPKQXwOhLR0A9g88THTip3gW_LIM8tW2ToLjkR6o8inpv7uiQ0x22XT2yLvitSI8hFlOxZOafC74iGF_K-FKj71tuhmg3lDgnxVk_8SCNSXE5VPQ6i_jsQv3SWqZ7hNJpY8erGOZ6jnHSVA,http://127.0.0.1:*
