new,host,ttl,a,soa,status_code,mx,txt,caa,cname,aaaa,ns
[x],beta-p2p.bitfinex.com,300,"104.16.166.90, 104.16.167.90, 104.16.164.90, 104.16.165.90, 104.16.168.90","{'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],bitfinex.com,300,"104.16.167.90, 104.16.165.90, 104.16.166.90, 104.16.164.90, 104.16.168.90","{'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com","google-site-verification=EXf50JxqnlA-m01aE42bQd3e01jMtBYudv86291KAAU, v=spf1 include:sendgrid.net include:_spf.google.com include:servers.mcsv.net include:_spf.mlsend.com -all, cxf13psshk9wr3gry3r9nz7bxks9l8y5, facebook-domain-verification=4b4qab807q7hy75uxn6ap9znuxp9hj",,,,
[x],mta-10.marketing.bitfinex.com,10800,91.239.185.72,"{'name': 'marketing.bitfinex.com', 'ns': 'ns-a-1.getresponse360.pl', 'mailbox': 'abuse.marketing.bitfinex.com', 'serial': 2020042000, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'marketing.bitfinex.com', 'ns': 'ns-a-1.getresponse360.pl', 'mailbox': 'abuse.marketing.bitfinex.com', 'serial': 2020042000, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'marketing.bitfinex.com', 'ns': 'ns-a-1.getresponse360.pl', 'mailbox': 'abuse.marketing.bitfinex.com', 'serial': 2020042000, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'marketing.bitfinex.com', 'ns': 'ns-a-1.getresponse360.pl', 'mailbox': 'abuse.marketing.bitfinex.com', 'serial': 2020042000, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,,v=spf1 ip4:91.239.185.72 mx -all,,,,
[x],mta-12.marketing.bitfinex.com,10800,,"{'name': 'marketing.bitfinex.com', 'ns': 'ns-a-1.getresponse360.pl', 'mailbox': 'abuse.marketing.bitfinex.com', 'serial': 2020042000, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,,,,,,
[x],mta-75.marketing.bitfinex.com,10800,,"{'name': 'marketing.bitfinex.com', 'ns': 'ns-a-1.getresponse360.pl', 'mailbox': 'abuse.marketing.bitfinex.com', 'serial': 2020042000, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}, {'name': 'marketing.bitfinex.com', 'ns': 'ns-a-1.getresponse360.pl', 'mailbox': 'abuse.marketing.bitfinex.com', 'serial': 2020042000, 'refresh': 86400, 'retry': 7200, 'expire': 3600000, 'minttl': 86400}",NOERROR,,v=spf1 ip4:91.239.185.72 mx -all,,,,
[x],p2p-admin.bitfinex.com,1800,,"{'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,0caa303e.marketing.bitfinex.com,10800,91.239.185.72,,NOERROR,smtp1-in.getresponse360.pl,,,,,
,api-proxy.bitfinex.com,300,82.195.249.179,"{'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,api-pub.bitfinex.com,5,,"{'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 5}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
,api-pub.staging.bitfinex.com,300,,"{'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'bitfinex.com', 'ns': 'rick.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2343591167, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
