input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,tls_mismatched,csp_domains_
alfa.dokobit.com,Dokobit,200,53759,alfa.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,alfa.dokobit.com,443,https://alfa.dokobit.com:443,https,nginx,text/html,GET,13.53.211.21,/,-224557487,13.50.58.139,Stimulus,985,False,https://alfa.dokobit.com/login,,
app.dokobit.com,Dokobit,200,258837,app.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-19T16:29:18Z,2023-11-25T22:59:00Z,"serialNumber=301549834, CN=dokobit.com, O=Dokobit\, UAB, C=LT, jurisdictionCountry=LT, businessCategory=Private Organization, L=Vilnius, postalCode=11341, jurisdictionCountry=LT, businessCategory=Private Organization",dokobit.com,"Dokobit, UAB",www.dokobit.com,"CN=Buypass Class 3 CA 2, O=Buypass AS-983163327, C=NO",Buypass Class 3 CA 2,Buypass AS-983163327,725c44e7a1b369fe97c557d3b9e23827,62cc7b7bedfaaf46744fdbaf0640b236bf94de16a9a9c0d6d4221ae2cbef19de,,ctls,app.dokobit.com,443,https://app.dokobit.com:443,https,nginx,text/html,GET,13.51.179.171,/,-224557487,13.48.80.200,Stimulus,1045,False,https://app.dokobit.com/login,,
beta.dokobit.com,Dokobit,200,206231,beta.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,beta.dokobit.com,443,https://beta.dokobit.com:443,https,nginx,text/html,GET,13.53.211.21,/,-224557487,13.50.58.139,Stimulus,1012,False,https://beta.dokobit.com/login,,
blog.dokobit.com,"Everything about Dokobit and e-signing | Dokobit Blog – Dokobit news, latest features, insights on e-signatures and e-signing. Never miss a blog post, subscribe.",200,297797,blog.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,blog.dokobit.com,443,https://blog.dokobit.com:443,https,nginx,text/html,GET,16.171.77.111,/,2001955903,16.170.49.151,WordPress,10760,False,,,
developers.dokobit.com,Dokobit WS API documentation,200,2810321,developers.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,developers.dokobit.com,443,https://developers.dokobit.com:443,https,nginx,text/html,GET,13.50.58.139,/,-224557487,13.53.211.21,Nginx,27425,False,,,
dokobit.com,Electronic document signing as an everyday service | Dokobit,200,38319,dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-19T16:29:18Z,2023-11-25T22:59:00Z,"serialNumber=301549834, CN=dokobit.com, O=Dokobit\, UAB, C=LT, jurisdictionCountry=LT, businessCategory=Private Organization, L=Vilnius, postalCode=11341, jurisdictionCountry=LT, businessCategory=Private Organization",dokobit.com,"Dokobit, UAB",www.dokobit.com,"CN=Buypass Class 3 CA 2, O=Buypass AS-983163327, C=NO",Buypass Class 3 CA 2,Buypass AS-983163327,725c44e7a1b369fe97c557d3b9e23827,62cc7b7bedfaaf46744fdbaf0640b236bf94de16a9a9c0d6d4221ae2cbef19de,,ctls,dokobit.com,443,https://dokobit.com:443,https,nginx,text/html,GET,13.53.225.162,/,1494302000,16.171.77.111,Nginx,497,False,,,
gateway-sandbox.dokobit.com,Gateway,200,22917,gateway-sandbox.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,gateway-sandbox.dokobit.com,443,https://gateway-sandbox.dokobit.com:443,https,nginx,text/html,GET,13.50.209.175,/,-224557487,13.53.211.21,Nginx,42,False,,,
gateway.dokobit.com,Gateway,200,22909,gateway.dokobit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,gateway.dokobit.com,443,https://gateway.dokobit.com:443,https,nginx,text/html,GET,63.33.154.221,/,-224557487,34.249.77.159,Nginx,42,False,,,
hjalp.dokobit.com,Dokobit | Hjalp,200,23443,hjalp.dokobit.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-16T18:18:37Z,2023-08-14T18:18:36Z,CN=hjalp.dokobit.com,hjalp.dokobit.com,,hjalp.dokobit.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a260a65421a0bafec61b634dfee291ee,5def2f59fa7d411a3742880151a70969395ae716bf71748a8bac6af396d0178a,,ctls,hjalp.dokobit.com,443,https://hjalp.dokobit.com:443,https,openresty,text/html,GET,54.226.17.6,/,-1530239662,54.163.189.110,Scala,572,False,,,
id-sandbox.dokobit.com,Dokobit Identity Gateway,200,825,id-sandbox.dokobit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-24T23:59:59Z,"CN=*.dokobit.com, O=Dokobit UAB, ST=Vilnius, C=LT",*.dokobit.com,Dokobit UAB,dokobit.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e85c9cff24cb10fe230ca96a018f2945,83cf5add5509cabeb65a507e6ec5205c78a722c6f864ffbaac59e7fd645393fa,True,ctls,id-sandbox.dokobit.com,443,https://id-sandbox.dokobit.com:443,https,nginx,text/html,GET,13.50.209.175,/,2001955903,13.53.211.21,Nginx,15,False,,,
