new,host,ttl,a,ns,txt,caa,status_code,has_internal_ips,internal_ips
[x],0.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.o1.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.shop.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],00api-okta.gsp78-bm23-s20.tu-chemniz.de,60,195.46.39.1,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],00api-okta.mach131-87-127-17.tu-chemniz.de,60,195.46.39.1,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],01.tu-chemniz.de,600,104.247.82.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],019zyx8-okta.cuda-m01.tu-chemniz.de,600,104.247.82.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],02v0-okta-stagingauthorization.o1.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],02v0-okta-stagingauthorizations3.local.tu-chemniz.de,3194,,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],04b.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],05ed691ad6635a74979dd15ddf46fb72.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],05v0-okta-sso.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],06cim-api-spring-boot-security-saml-demo-okta2.cuda-m01.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],1.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],11.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],122.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],148.tu-chemniz.de,600,"185.53.178.54, 13.248.158.159, 76.223.21.9","ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],17-121-112-152.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],2019-internalasp.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],205-185-200-172.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,,NOERROR,,
[x],38728.tu-chemniz.de,600,185.53.178.54,,,,NOERROR,,
[x],54240-198-40.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],85-2-6-2.cms.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],access.tu-chemniz.de,319,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],account-ipbetatemp-exchangedns.tu-chemniz.de,60,195.46.39.1,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],accounts-iprf-us-east-2.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],accounts3-demo.tu-chemniz.de,600,104.247.82.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,,
[x],admin.hostmaster.tu-chemniz.de,600,127.0.0.4,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,True,127.0.0.4
[x],admin.stura.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],adr-mdn.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],ads.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],advancedwebrankingblog.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],alasdelamusa.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],alpha.stura.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],android-20.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],app.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],argusconsulting.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],arlocallbacks-qa.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],assets.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],atl-prd-agg-04b.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],awscmhdev3.cms.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],b2btpa.drupal.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],backend.server.tu-chemniz.de,438,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],backend.tu-chemniz.de,515,"185.53.178.54, 13.248.158.159, 76.223.21.9","ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],backup-customersdevenv-mx-corporate.drupal.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],backup.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],beta.tu-chemniz.de,60,195.46.39.1,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],blog.tu-chemniz.de,600,104.247.82.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],blogs-alasdelamusa.tu-chemniz.de,600,185.53.178.54,,,letsencrypt.org,NOERROR,,
[x],blogs.tu-chemniz.de,336,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],bugfixcopysharepopdownbroken.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],careers-new.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,,
[x],chatw-4.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,,NOERROR,,
[x],clearlake.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],client.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],clients.stura.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,NOERROR,,
[x],cloud-prometheus.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],cloudformation-aic.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],cluster-df57c59f-5016-4.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],cms.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],co2prj.cms.tu-chemniz.de,600,"185.53.178.54, 13.248.158.159, 76.223.21.9","ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],code.tu-chemniz.de,393,185.53.178.54,,,,NOERROR,,
[x],compute.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],conf.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],confshop.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],console.stura.tu-chemniz.de,60,195.46.39.1,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],content.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,NOERROR,,
[x],core.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,NOERROR,,
[x],corporate.stura.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],cp-beta.cms.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],cuda-m01.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,NOERROR,,
[x],dashboard.tu-chemniz.de,60,195.46.39.1,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
[x],dataa184-27-251-82.cms.tu-chemniz.de,600,185.53.178.54,,,,NOERROR,,
[x],ddaomarket.drupal.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],delivery-253-eu-central-1.tu-chemniz.de,3600,,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],delivery-72-eu-west-1.tu-chemniz.de,3600,,,v=spf1 -all,letsencrypt.org,NOERROR,,
[x],demo-labs3-1.local.tu-chemniz.de,513,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,NOERROR,,
