new,host,ttl,a,ns,txt,caa,has_internal_ips,internal_ips,status_code
[x],00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.shop.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],00-2-okta-mfa-ackswagger--acc08idsautodiscoverpermutations-ii.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,,,NOERROR
[x],00api-okta.gsp78-bm23-s20.tu-chemniz.de,600,"185.53.178.54, 13.248.158.159, 76.223.21.9","ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],00api-okta.mach131-87-127-17.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,,,,NOERROR
[x],01.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],019zyx8-okta.cuda-m01.tu-chemniz.de,600,185.53.178.54,,,,,,NOERROR
[x],04b.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,,,NOERROR
[x],05ed691ad6635a74979dd15ddf46fb72.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,,,NOERROR
[x],1.tu-chemniz.de,60,195.46.39.1,,,letsencrypt.org,,,NOERROR
[x],11.tu-chemniz.de,600,"104.247.82.54, 13.248.158.159, 76.223.21.9","ns1.parkingcrew.net, ns2.parkingcrew.net",,,,,NOERROR
[x],122.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,,,NOERROR
[x],13656595404126.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,,,NOERROR
[x],148.tu-chemniz.de,3600,,,v=spf1 -all,,,,NOERROR
[x],17-121-112-152.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,,,NOERROR
[x],2019-internalasp.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],205-185-200-172.tu-chemniz.de,406,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,,,NOERROR
[x],450596g46.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],54240-198-40.tu-chemniz.de,600,"185.53.178.54, 13.248.158.159, 76.223.21.9","ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,,,NOERROR
[x],access.tu-chemniz.de,2886,,"ns1.parkingcrew.net, ns2.parkingcrew.net",,letsencrypt.org,,,NOERROR
[x],account-ipbetatemp-exchangedns.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],accounts-iprf-us-east-2.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,,,NOERROR
[x],accounts3-demo.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],adr-mdn.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],ads.tu-chemniz.de,60,"195.46.39.1, 13.248.158.159, 76.223.21.9","ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],advancedwebrankingblog.tu-chemniz.de,600,104.247.82.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],alasdelamusa.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],app.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,,,NOERROR
[x],arlocallbacks-qa.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],assets.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],atl-prd-agg-04b.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,letsencrypt.org,,,NOERROR
[x],awscmhdev3.cms.tu-chemniz.de,309,185.53.178.54,,v=spf1 -all,letsencrypt.org,,,NOERROR
[x],backend.server.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,,,NOERROR
[x],backend.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],backup.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,,,NOERROR
[x],beta.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,,,NOERROR
[x],blogs-alasdelamusa.tu-chemniz.de,3600,,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],blogs.tu-chemniz.de,600,104.247.82.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",,,,,NOERROR
[x],careers-new.tu-chemniz.de,600,185.53.178.54,,v=spf1 -all,letsencrypt.org,,,NOERROR
[x],chatw-4.tu-chemniz.de,600,104.247.82.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],client.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],cloudformation-aic.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],cms.tu-chemniz.de,3600,,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,,,,NOERROR
[x],code.tu-chemniz.de,600,185.53.178.54,"ns1.parkingcrew.net, ns2.parkingcrew.net",v=spf1 -all,,,,NOERROR
[x],compute.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
[x],conf.tu-chemniz.de,251,185.53.178.54,,,letsencrypt.org,,,NOERROR
[x],confshop.tu-chemniz.de,600,185.53.178.54,"ns2.parkingcrew.net, ns1.parkingcrew.net",v=spf1 -all,letsencrypt.org,,,NOERROR
