input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tech_,csp_domains_,cdn_name,cdn,tls_mismatched,final_url,tls_expired
ae.ishares.com,Investment Management & Financial Services | BlackRock,200,86634,www.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-01-14T23:59:59Z,"CN=*.blackrock.com, O=BlackRock Financial Management Inc., L=New York, ST=New York, C=US",*.blackrock.com,BlackRock Financial Management Inc.,blackrock.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3f153ed05547475596eb1c95359331c9,6acfa69ff787f3aa3cdb07f7161e1ec4cc7dd33d62ce70602d4571337ef73488,True,ctls,www.blackrock.com,443,https://ae.ishares.com:443,https,envoy,text/html,GET,104.102.19.39,/,-2035960864,104.102.19.39,1472,False,HSTS,https://*.ishares.com,,,,https://www.blackrock.com/ae,
aen.blackrock.com,,200,2148,aladdinaccounting.login.blackrock.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T09:59:46Z,2023-10-20T09:59:46Z,"CN=*.login.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",*.login.blackrock.com,"BlackRock Financial Management, Inc.",login.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",8cf75f7b67fc3d2af092d49a7845c030,3adfda34417db4579675c3194c6d4ce44f54e051a7f1402d9979a9bf40518292,True,ctls,aladdinaccounting.login.blackrock.com,80,http://aen.blackrock.com:80,http,akamai/nginx,text/html,GET,69.52.42.253,/,-1792530012,69.52.42.253,8,False,Nginx,,,,,https://aladdinaccounting.login.blackrock.com/?ID=a9e06811-5ed6-4153-c161-ac33d347f7e4,
aladdin-login.blackrock.com,Aladdin - Sign In,200,11870,aladdin-login.blackrock.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-19T10:29:40Z,2023-08-16T10:29:40Z,"CN=aladdin-login.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",aladdin-login.blackrock.com,"BlackRock Financial Management, Inc.",www.aladdin-login.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",f1c684e0723bf24374d2ba93fca311da,aff080ac2b1a461bdd432f3745d65b64776f2d6f3e72a7ac71fec78611eddd38,,ctls,aladdin-login.blackrock.com,443,https://aladdin-login.blackrock.com:443,https,nginx,text/html,GET,3.33.152.248,/,-599803935,15.197.151.86,261,False,Nginx,,,,,,
aladdinaccounting.blackrock.com,,200,2108,aladdinaccounting.login.blackrock.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T09:59:46Z,2023-10-20T09:59:46Z,"CN=*.login.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",*.login.blackrock.com,"BlackRock Financial Management, Inc.",login.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",8cf75f7b67fc3d2af092d49a7845c030,3adfda34417db4579675c3194c6d4ce44f54e051a7f1402d9979a9bf40518292,True,ctls,aladdinaccounting.login.blackrock.com,443,https://aladdinaccounting.blackrock.com:443,https,akamai/nginx,text/html,GET,184.30.220.126,/,-1792530012,184.30.220.126,8,False,Nginx,,,,,https://aladdinaccounting.login.blackrock.com/?ID=cf0e2a1f-4f49-4fbe-cf9a-b4b54250fff4,
aladdinaccounting.login.blackrock.com,,200,1640,aladdinaccounting.login.blackrock.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T09:59:46Z,2023-10-20T09:59:46Z,"CN=*.login.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",*.login.blackrock.com,"BlackRock Financial Management, Inc.",login.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",8cf75f7b67fc3d2af092d49a7845c030,3adfda34417db4579675c3194c6d4ce44f54e051a7f1402d9979a9bf40518292,True,ctls,aladdinaccounting.login.blackrock.com,443,https://aladdinaccounting.login.blackrock.com:443,https,akamai/nginx,text/html,GET,54.193.32.109,/,-2136522562,54.193.32.109,8,False,Nginx,,,,,,
alphatrawler.blackrock.com,BlackRock Alpha Capture Portal,200,4514,alphatrawler.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-06T16:11:33Z,2024-01-03T16:11:33Z,"CN=alphatrawler.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",alphatrawler.blackrock.com,"BlackRock Financial Management, Inc.",www.alphatrawler.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",15aa8c181cb746847a15e29fdbb0687b,bcc3b4e4c4dc471bcc0ab245f1141a3925647c384fb9804cedb101eb3ff8a4a0,,ctls,alphatrawler.blackrock.com,443,https://alphatrawler.blackrock.com:443,https,nginx,text/html,GET,35.229.86.108,/,1494302000,35.229.86.108,3,False,Nginx,,google,True,,,
alumni.blackrock.com,BlackRock Alumni Network,200,55779,alumni.blackrock.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-30T11:04:32Z,2023-07-29T11:04:31Z,CN=alumni.blackrock.com,alumni.blackrock.com,,alumni.blackrock.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cbfa21b0ec11c99f054062bf4bd67b6f,d4dbe66f2f07068ccb51e05ed05552d596f5b79bf9bc61f729ebeced2eb545ff,,ctls,alumni.blackrock.com,443,https://alumni.blackrock.com:443,https,,text/html,GET,13.224.189.59,/,1286814786,13.224.189.18,12,False,React,https://www.youtube.com,cloudfront,True,,,
amk-aladdinwealth.blackrock.com,,401,5967,amk-aladdinwealth.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-01-14T23:59:59Z,"CN=*.blackrock.com, O=BlackRock Financial Management Inc., L=New York, ST=New York, C=US",*.blackrock.com,BlackRock Financial Management Inc.,blackrock.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3f153ed05547475596eb1c95359331c9,6acfa69ff787f3aa3cdb07f7161e1ec4cc7dd33d62ce70602d4571337ef73488,True,ctls,amk-aladdinwealth.blackrock.com,443,https://amk-aladdinwealth.blackrock.com:443,https,,text/html,GET,23.201.241.164,/,-1231286097,23.201.241.164,131,False,HSTS,,,,,,
amk-aladdinwealth.login.blackrock.com,,200,1640,amk-aladdinwealth.login.blackrock.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-22T09:59:46Z,2023-10-20T09:59:46Z,"CN=*.login.blackrock.com, O=BlackRock Financial Management\, Inc., L=New York, ST=New York, C=US",*.login.blackrock.com,"BlackRock Financial Management, Inc.",login.blackrock.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",8cf75f7b67fc3d2af092d49a7845c030,3adfda34417db4579675c3194c6d4ce44f54e051a7f1402d9979a9bf40518292,True,ctls,amk-aladdinwealth.login.blackrock.com,443,https://amk-aladdinwealth.login.blackrock.com:443,https,akamai/nginx,text/html,GET,35.174.232.233,/,-2136522562,35.174.232.233,8,False,Nginx,,,,,,
api-dev.blackrock.com,,404,158,api-dev.blackrock.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-01-14T23:59:59Z,"CN=*.blackrock.com, O=BlackRock Financial Management Inc., L=New York, ST=New York, C=US",*.blackrock.com,BlackRock Financial Management Inc.,blackrock.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3f153ed05547475596eb1c95359331c9,6acfa69ff787f3aa3cdb07f7161e1ec4cc7dd33d62ce70602d4571337ef73488,True,ctls,api-dev.blackrock.com,443,https://api-dev.blackrock.com:443,https,,application/json,GET,184.30.220.126,/,244609073,184.30.220.126,1,False,HSTS,,,,,,
