input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,final_url
affiliate.redtube.com,Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno,200,310770,www.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,www.redtube.com,443,https://affiliate.redtube.com:443,https,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,4804,False,openresty,https://www.redtube.com/
blog.redtube.com,Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno,200,310684,www.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,www.redtube.com,443,https://blog.redtube.com:443,https,text/html,GET,66.254.114.170,/,973218610,66.254.114.170,OpenResty,4804,False,openresty,https://www.redtube.com
br.redtube.com,Free Porn Sex Videos - Redtube - XXX Movies - Home of Videos Porno,200,310652,www.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,www.redtube.com,443,https://br.redtube.com:443,https,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,4804,False,openresty,https://www.redtube.com/
cms.redtube.com,403 Forbidden,403,162,cms.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,cms.redtube.com,443,https://cms.redtube.com:443,https,text/html,GET,66.254.114.136,/,-551736798,66.254.114.136,Nginx,8,False,nginx,
de-stage2.redtube.com,,401,112,de-stage2.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,de-stage2.redtube.com,443,https://de-stage2.redtube.com:443,https,text/html,GET,66.254.114.192,/,1750426762,66.254.114.192,Basic,4,False,,
de-stage4.redtube.com,,401,112,de-stage4.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,de-stage4.redtube.com,443,https://de-stage4.redtube.com:443,https,text/html,GET,66.254.114.192,/,1750426762,66.254.114.192,Basic,4,False,,
de-stage6.redtube.com,,401,112,de-stage6.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,de-stage6.redtube.com,443,https://de-stage6.redtube.com:443,https,text/html,GET,66.254.114.192,/,1750426762,66.254.114.192,Basic,4,False,,
de-stage7.redtube.com,,401,112,de-stage7.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,de-stage7.redtube.com,443,https://de-stage7.redtube.com:443,https,text/html,GET,66.254.114.192,/,1750426762,66.254.114.192,Basic,4,False,,
de-stage9.redtube.com,,401,112,de-stage9.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,de-stage9.redtube.com,443,https://de-stage9.redtube.com:443,https,text/html,GET,66.254.114.192,/,1750426762,66.254.114.192,Basic,4,False,,
de.redtube.com,Gratis Sex Porno Videos - Redtube - XXX Film - Haus der Pornos,200,311547,de.redtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=*.redtube.com, O=MG Freesites Ltd, L=Dali, C=CY",*.redtube.com,MG Freesites Ltd,redtube.com,"CN=DigiCert TLS Hybrid ECC SHA384 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS Hybrid ECC SHA384 2020 CA1,DigiCert Inc,af724eec632018d22e4b80ace6cabf73,4d2fdc51491c902be9a53d2c0d188136f1c47a43293394f66b73ef20bb45be62,True,ctls,de.redtube.com,443,https://de.redtube.com:443,https,text/html,GET,66.254.114.238,/,-1808716149,66.254.114.238,OpenResty,4800,False,openresty,
