input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,content_type,final_url,csp_domains_,tls_subject_org_,tls_mismatched,cdn_name,cdn
02a.labs.coursera.org,,500,,02a.labs.coursera.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-12T23:59:59Z,CN=*.labs.coursera.org,*.labs.coursera.org,labs.coursera.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1fab60c779dfd7d87dbc77407a185b6,3d20e59f9dec4eaece092671a91534d40a49ad7c05cf12a10343a9b2c4e1dbd4,True,ctls,02a.labs.coursera.org,443,https://02a.labs.coursera.org:443,https,akka-http/10.1.12,GET,3.234.0.202,/,-1840324437,34.198.177.114,Akka HTTP:10.1.12,1,False,,,,,,,
05be.labs.coursera.org,,500,,05be.labs.coursera.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-12T23:59:59Z,CN=*.labs.coursera.org,*.labs.coursera.org,labs.coursera.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1fab60c779dfd7d87dbc77407a185b6,3d20e59f9dec4eaece092671a91534d40a49ad7c05cf12a10343a9b2c4e1dbd4,True,ctls,05be.labs.coursera.org,443,https://05be.labs.coursera.org:443,https,akka-http/10.1.12,GET,34.198.177.114,/,-1840324437,3.234.0.202,Akka HTTP:10.1.12,1,False,,,,,,,
0ep8.labs.coursera.org,,500,,,,,,,,,,,,,,,,,,,,80,http://0ep8.labs.coursera.org:80,http,akka-http/10.1.12,GET,34.198.177.114,/,-1840324437,3.234.0.202,Akka HTTP:10.1.12,1,False,,,,,,,
1-edge-chat.labs.coursera.org,,500,,1-edge-chat.labs.coursera.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-12T23:59:59Z,CN=*.labs.coursera.org,*.labs.coursera.org,labs.coursera.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1fab60c779dfd7d87dbc77407a185b6,3d20e59f9dec4eaece092671a91534d40a49ad7c05cf12a10343a9b2c4e1dbd4,True,ctls,1-edge-chat.labs.coursera.org,443,https://1-edge-chat.labs.coursera.org:443,https,akka-http/10.1.12,GET,34.198.177.114,/,-1840324437,3.234.0.202,Akka HTTP:10.1.12,1,False,,,,,,,
100-91.labs.coursera.org,,500,,100-91.labs.coursera.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-12T23:59:59Z,CN=*.labs.coursera.org,*.labs.coursera.org,labs.coursera.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1fab60c779dfd7d87dbc77407a185b6,3d20e59f9dec4eaece092671a91534d40a49ad7c05cf12a10343a9b2c4e1dbd4,True,ctls,100-91.labs.coursera.org,443,https://100-91.labs.coursera.org:443,https,akka-http/10.1.12,GET,3.234.0.202,/,-1840324437,34.198.177.114,Akka HTTP:10.1.12,1,False,,,,,,,
12ayak.labs.coursera.org,,500,,12ayak.labs.coursera.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-12T23:59:59Z,CN=*.labs.coursera.org,*.labs.coursera.org,labs.coursera.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1fab60c779dfd7d87dbc77407a185b6,3d20e59f9dec4eaece092671a91534d40a49ad7c05cf12a10343a9b2c4e1dbd4,True,ctls,12ayak.labs.coursera.org,443,https://12ayak.labs.coursera.org:443,https,akka-http/10.1.12,GET,3.234.0.202,/,-1840324437,34.198.177.114,Akka HTTP:10.1.12,1,False,,,,,,,
13-courier.labs.coursera.org,,500,,,,,,,,,,,,,,,,,,,,80,http://13-courier.labs.coursera.org:80,http,akka-http/10.1.12,GET,3.234.0.202,/,-1840324437,34.198.177.114,Akka HTTP:10.1.12,1,False,,,,,,,
15-0-6-0.labs.coursera.org,,500,,15-0-6-0.labs.coursera.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-12T23:59:59Z,CN=*.labs.coursera.org,*.labs.coursera.org,labs.coursera.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1fab60c779dfd7d87dbc77407a185b6,3d20e59f9dec4eaece092671a91534d40a49ad7c05cf12a10343a9b2c4e1dbd4,True,ctls,15-0-6-0.labs.coursera.org,443,https://15-0-6-0.labs.coursera.org:443,https,akka-http/10.1.12,GET,3.234.0.202,/,-1840324437,34.198.177.114,Akka HTTP:10.1.12,1,False,,,,,,,
155-9-171-96.labs.coursera.org,,500,,155-9-171-96.labs.coursera.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-12T23:59:59Z,CN=*.labs.coursera.org,*.labs.coursera.org,labs.coursera.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1fab60c779dfd7d87dbc77407a185b6,3d20e59f9dec4eaece092671a91534d40a49ad7c05cf12a10343a9b2c4e1dbd4,True,ctls,155-9-171-96.labs.coursera.org,443,https://155-9-171-96.labs.coursera.org:443,https,akka-http/10.1.12,GET,34.198.177.114,/,-1840324437,3.234.0.202,Akka HTTP:10.1.12,1,False,,,,,,,
155-9-173-73.labs.coursera.org,,500,,155-9-173-73.labs.coursera.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-12T23:59:59Z,CN=*.labs.coursera.org,*.labs.coursera.org,labs.coursera.org,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f1fab60c779dfd7d87dbc77407a185b6,3d20e59f9dec4eaece092671a91534d40a49ad7c05cf12a10343a9b2c4e1dbd4,True,ctls,155-9-173-73.labs.coursera.org,443,https://155-9-173-73.labs.coursera.org:443,https,akka-http/10.1.12,GET,34.198.177.114,/,-1840324437,3.234.0.202,Akka HTTP:10.1.12,1,False,,,,,,,
