input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn
00000-okta-idp.antiviruspre-api.development.tkn.zone,404 Not Found,404,548,00000-okta-idp.antiviruspre-api.development.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-17T14:22:31Z,2024-05-16T14:22:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b744211a3c80611924a58cec5cdde950,d7f8b118b7aa0829d4130d68a7ef087546e8c28a6e67143b7ef1a59b074223a5,ctls,00000-okta-idp.antiviruspre-api.development.tkn.zone,google,443,https://00000-okta-idp.antiviruspre-api.development.tkn.zone:443,https,text/html,GET,35.197.234.238,/,566218143,35.197.234.238,HSTS,14,False,True
00000-okta-idp.antiviruspre-api.iad.development.tkn.zone,404 Not Found,404,146,00000-okta-idp.antiviruspre-api.iad.development.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-17T14:22:31Z,2024-05-16T14:22:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b744211a3c80611924a58cec5cdde950,d7f8b118b7aa0829d4130d68a7ef087546e8c28a6e67143b7ef1a59b074223a5,ctls,00000-okta-idp.antiviruspre-api.iad.development.tkn.zone,google,443,https://00000-okta-idp.antiviruspre-api.iad.development.tkn.zone:443,https,text/html,GET,35.197.234.238,/,1494302000,35.197.234.238,HSTS,8,False,True
00000-okta-idp.antiviruspre-apiext.development.tkn.zone,404 Not Found,404,548,00000-okta-idp.antiviruspre-apiext.development.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-17T14:22:31Z,2024-05-16T14:22:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b744211a3c80611924a58cec5cdde950,d7f8b118b7aa0829d4130d68a7ef087546e8c28a6e67143b7ef1a59b074223a5,ctls,00000-okta-idp.antiviruspre-apiext.development.tkn.zone,google,443,https://00000-okta-idp.antiviruspre-apiext.development.tkn.zone:443,https,text/html,GET,35.197.234.238,/,566218143,35.197.234.238,HSTS,14,False,True
00000-okta-idp.chef.antiviruspre-api.development.tkn.zone,404 Not Found,404,146,00000-okta-idp.chef.antiviruspre-api.development.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-17T14:22:31Z,2024-05-16T14:22:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b744211a3c80611924a58cec5cdde950,d7f8b118b7aa0829d4130d68a7ef087546e8c28a6e67143b7ef1a59b074223a5,ctls,00000-okta-idp.chef.antiviruspre-api.development.tkn.zone,google,443,https://00000-okta-idp.chef.antiviruspre-api.development.tkn.zone:443,https,text/html,GET,35.197.234.238,/,1494302000,35.197.234.238,HSTS,8,False,True
00000-okta-idp.dekrachtvanmensen-zendesk-auth.development.tkn.zone,404 Not Found,404,548,00000-okta-idp.dekrachtvanmensen-zendesk-auth.development.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-17T14:22:31Z,2024-05-16T14:22:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b744211a3c80611924a58cec5cdde950,d7f8b118b7aa0829d4130d68a7ef087546e8c28a6e67143b7ef1a59b074223a5,ctls,00000-okta-idp.dekrachtvanmensen-zendesk-auth.development.tkn.zone,google,443,https://00000-okta-idp.dekrachtvanmensen-zendesk-auth.development.tkn.zone:443,https,text/html,GET,35.197.234.238,/,566218143,35.197.234.238,HSTS,14,False,True
00000-okta-idp.zendesk-auth.development.tkn.zone,404 Not Found,404,548,00000-okta-idp.zendesk-auth.development.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-17T14:22:31Z,2024-05-16T14:22:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b744211a3c80611924a58cec5cdde950,d7f8b118b7aa0829d4130d68a7ef087546e8c28a6e67143b7ef1a59b074223a5,ctls,00000-okta-idp.zendesk-auth.development.tkn.zone,google,443,https://00000-okta-idp.zendesk-auth.development.tkn.zone:443,https,text/html,GET,35.197.234.238,/,566218143,35.197.234.238,HSTS,14,False,True
00000-okta-idp00000.antiviruspre-api.development.tkn.zone,404 Not Found,404,548,00000-okta-idp00000.antiviruspre-api.development.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-17T14:22:31Z,2024-05-16T14:22:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b744211a3c80611924a58cec5cdde950,d7f8b118b7aa0829d4130d68a7ef087546e8c28a6e67143b7ef1a59b074223a5,ctls,00000-okta-idp00000.antiviruspre-api.development.tkn.zone,google,443,https://00000-okta-idp00000.antiviruspre-api.development.tkn.zone:443,https,text/html,GET,35.197.234.238,/,566218143,35.197.234.238,HSTS,14,False,True
00000-okta-idptester.antiviruspre-api.development.tkn.zone,404 Not Found,404,548,00000-okta-idptester.antiviruspre-api.development.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-17T14:22:31Z,2024-05-16T14:22:31Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,b744211a3c80611924a58cec5cdde950,d7f8b118b7aa0829d4130d68a7ef087546e8c28a6e67143b7ef1a59b074223a5,ctls,00000-okta-idptester.antiviruspre-api.development.tkn.zone,google,443,https://00000-okta-idptester.antiviruspre-api.development.tkn.zone:443,https,text/html,GET,35.197.234.238,/,566218143,35.197.234.238,HSTS,14,False,True
01-238728-okta-01.253akyc-events.production.tkn.zone,404 Not Found,404,146,01-238728-okta-01.253akyc-events.production.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-12T09:49:01Z,2024-04-11T09:49:01Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,a536c7da14ff7d6c74f59a9d049d1179,c5961edbf63cd34736191e7992fede04e979cbe10f0af2357909eb1618cb90c1,ctls,01-238728-okta-01.253akyc-events.production.tkn.zone,google,443,https://01-238728-okta-01.253akyc-events.production.tkn.zone:443,https,text/html,GET,35.197.208.120,/,1494302000,35.197.208.120,HSTS,8,False,True
01238928-okta-61.253akyc-events.production.tkn.zone,404 Not Found,404,146,01238928-okta-61.253akyc-events.production.tkn.zone,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-04-12T09:49:01Z,2024-04-11T09:49:01Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,a536c7da14ff7d6c74f59a9d049d1179,c5961edbf63cd34736191e7992fede04e979cbe10f0af2357909eb1618cb90c1,ctls,01238928-okta-61.253akyc-events.production.tkn.zone,google,443,https://01238928-okta-61.253akyc-events.production.tkn.zone:443,https,text/html,GET,35.197.208.120,/,1494302000,35.197.208.120,HSTS,8,False,True
