new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,mx,txt,ns,caa
[x],blog.researchgate.net,"104.17.33.105, 104.17.32.105","ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,cflb.researchgate.net,True,cloudflare,,,,
[x],bounce.researchgate.net,"104.17.32.105, 104.17.33.105","ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudflare,imap-01.researchgate.net,"v=spf1 ip4:209.15.209.64/27 ip4:209.15.214.192/28 ip4:209.15.243.112/28 ip4:209.15.247.224/28 ip4:209.15.249.176/28 ip4:209.15.249.224/29 ip4:209.15.250.112/28 ip4:37.44.2.16/28,  include:_spf.google.com -all",,
[x],enterpriseregistration.researchgate.net,20.190.137.40,"internal.akadns.net, hostmaster.akamai.com, tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net, www.tm.prd.adrs.akadns.net",True,azure,,,,
[x],explore.researchgate.net,"104.17.32.105, 104.17.33.105","ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,cflb.researchgate.net,True,cloudflare,,,,
[x],feedback.researchgate.net,"104.17.33.105, 104.17.32.105","ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,cflb.researchgate.net,True,cloudflare,,,"ns-1432.awsdns-51.org, ns-1779.awsdns-30.co.uk, ns-299.awsdns-37.com, ns-636.awsdns-15.net",
[x],glassmoni.researchgate.net,"104.17.33.105, 104.17.32.105","ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,cflb.researchgate.net,True,cloudflare,,,,
[x],help.researchgate.net,"104.16.53.111, 104.16.51.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,,researchgatesupport.zendesk.com,True,cloudflare,mail-pod-17.int.zendesk.com,"pod=17, v=spf1 include:mail.zendesk.com ~all",,
[x],imap-01.researchgate.net,"209.15.209.72, 209.15.209.70, 209.15.209.75, 209.15.209.74","ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,imap-01.researchgate.net,,,
[x],jobs.researchgate.net,"104.17.32.105, 104.17.33.105","ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudflare,mxlb.ispgateway.de,v=spf1 include:ispgateway.de -all,,
[x],mr01.researchgate.net,209.15.209.76,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr02.researchgate.net,209.15.209.77,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr101.researchgate.net,209.15.250.117,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr102.researchgate.net,209.15.250.118,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr106.researchgate.net,209.15.250.122,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr107.researchgate.net,209.15.250.123,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr108.researchgate.net,209.15.250.124,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr109.researchgate.net,209.15.250.125,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr110.researchgate.net,209.15.250.126,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr1181c183.researchgate.net,176.9.38.73,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr56.researchgate.net,209.15.214.196,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr61.researchgate.net,209.15.214.201,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr62.researchgate.net,209.15.214.202,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr63.researchgate.net,209.15.214.203,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"ns-1432.awsdns-51.org, ns-1779.awsdns-30.co.uk, ns-299.awsdns-37.com, ns-636.awsdns-15.net",
[x],mr64.researchgate.net,,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr65.researchgate.net,209.15.214.205,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr66.researchgate.net,209.15.214.206,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr67.researchgate.net,,"ns-636.awsdns-15.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
