new,host,ttl,a,cname,soa,status_code,ns,mx,has_internal_ips,internal_ips,txt,aaaa,caa,cdn,cdn-name
[x],45-7-3-11.git.blendlabs.com,300,34.195.179.113,,"{'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
[x],ana-miles.git.blendlabs.com,300,34.195.179.113,,"{'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
[x],blend.com,300,"151.101.194.133, 151.101.2.133, 151.101.66.133, 151.101.130.133",,"{'name': 'blend.com', 'ns': 'ns-593.awsdns-10.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,"aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com",,,"docusign=2e06e9ef-023e-44e3-84c6-590dda927cfa, docusign=93a4b2a0-7449-4ab9-b31a-def524ee8412, dropbox-domain-verification=unw8i8s6dmib, google-site-verification=OZQtmO0zNhjJnrjtPiKG077gyVs5WT2xMOZJqIbgsT8, google-site-verification=YBhxv19V3_MIS0guLRSmU7u_Ffl1B_1J_Liux24h7L4, google-site-verification=sg44Ic_GglMF_PfX5yEhrJyS1qk1-i5Mbx9tU2sHc5w, h1-domain-verification=YjPKpXsLjTJYqy47PYyrSWowwcVRTL9orkrdDRkK5FeWU87r, jamf-site-verification=jWad1h85I8A41AqxsRGh3g, onetrust-domain-verification=1f1a0cbf4af04c198dffaf8f4bd70626, pxf5ltr2zv9hfkc277t1btph6xfkx936, slack-domain-verification=qH7NkscPcEVCY05FoFZNWFQPMBstRkbmWof3wJiA, status-page-domain-verification=nqb3fgxv9fr8, tmx7j9z1smgbyd2v093cd44bmfsgnlm4, uber-domain-verification=8a381038-bf2f-47b6-885d-f0b44e1dbff9, v=spf1 ip4:52.7.93.22 ip4:54.152.143.177 ip4:54.88.153.50 ip4:52.3.34.136 include:mail.zendesk.com include:stspg-customer.com include:mktomail.com include:_spf.google.com include:_spf.salesforce.com include:_spf.psm.knowbe4.com -all, zapier-domain-verification-challenge=1cdd9999-96d8-4a53-b21b-fbd79e4876ba, Foxit-domain-verification=5e1a08ffde16730060a5d28348024b69, MS=ms23575374, adobe-idp-site-verification=5d97b310f3a26d5844abed0132ff76d8b043c32960e4b38dc8821ed2f0bdaa1a, apple-domain-verification=miIAhQ6oH92yROqn, atlassian-domain-verification=CCEqAAlzHOblEtBynRSoHAc6amzPKgpFXg6hYpgDgq6Ngfp8zOvwDBCaCAmZ6jI6, bugcrowd-verification=4988a3afa9e2e90f6ff894682782c6fb, docker-verification=7b0ddbb5-4196-412c-bc4c-c0742353376a",,,,
[x],blendlabs.com,60,"18.155.129.72, 18.155.129.21, 18.155.129.110, 18.155.129.95",,"{'name': 'blendlabs.com', 'ns': 'ns-1137.awsdns-14.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'blendlabs.com', 'ns': 'ns-1137.awsdns-14.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'blendlabs.com', 'ns': 'ns-1137.awsdns-14.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'blendlabs.com', 'ns': 'ns-1137.awsdns-14.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1137.awsdns-14.org, ns-1960.awsdns-53.co.uk, ns-367.awsdns-45.com, ns-703.awsdns-23.net","alt1.aspmx.l.google.com, aspmx2.googlemail.com, alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx3.googlemail.com",,,"apple-domain-verification=DqBSZGdoyjvvwg0M, d7xhcrqvnbjxtbvcvz11162t6qqdm599, docusign=dcafedc8-ee51-45ff-a3a9-f7ac9ce82aa3, v=spf1 ip4:52.7.93.22 ip4:54.152.143.177 ip4:54.88.153.50 ip4:52.3.34.136 include:mail.zendesk.com  include:stspg-customer.com include:servers.mcsv.net include:_spf.google.com -all",,,,
[x],chat-gateway361-prod.git.blendlabs.com,900,,,"{'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
[x],compeerfinancial.beta.blendlabs.com,360,172.65.228.100,"edge-proxy-cf.k8s.beta.blend.com, edge-proxy-cf.k8s.beta.blend.com.cdn.cloudflare.net, b5f3d53382ee43dc8dbc66f3e6d1c45d.pacloudflare.com","{'name': 'pacloudflare.com', 'ns': 'brenda.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347151699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'pacloudflare.com', 'ns': 'brenda.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347151699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'pacloudflare.com', 'ns': 'brenda.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347151699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],fr1.git.blendlabs.com,300,34.195.179.113,,"{'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
[x],kejlberg4.git.blendlabs.com,300,34.195.179.113,,"{'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-129.awsdns-16.com, ns-1486.awsdns-57.org, ns-1866.awsdns-41.co.uk, ns-836.awsdns-40.net",,,,,,,,
[x],navyfederal-membership.blendlabs.com,30,172.65.242.70,"edge-proxy-cf.k8s.prod.blend.com, edge-proxy-cf.k8s.prod.blend.com.cdn.cloudflare.net, 9045d924a4f14ebdba4a5686d0560992.pacloudflare.com","{'name': 'pacloudflare.com', 'ns': 'brenda.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347151699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'pacloudflare.com', 'ns': 'brenda.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347151699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'pacloudflare.com', 'ns': 'brenda.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347151699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'pacloudflare.com', 'ns': 'brenda.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2347151699, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],pod37-gw.git.blendlabs.com,300,34.195.179.113,,"{'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'git.blendlabs.com', 'ns': 'ns-1486.awsdns-57.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,,,,,
