new,host,a,aaaa,soa,status_code,ns,caa,mx,txt
[x],33.blob.threema.ch,212.103.68.29,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],admin7.test.threema.ch,,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
[x],apip.test.threema.ch,"212.103.68.54, 185.88.236.68, 212.103.68.4, 188.126.81.131","2a02:41b:300a:301::68, 2a00:c38:1fb:302::4, 2a00:1a28:1410:2e::2","ns1.threema.ch, hostmaster.threema.ch",NOERROR,"ns1.threema.ch, ns3.threema.ch, ns2.threema.ch, ns4.threema.ch",,,
[x],assessment.threema.ch,212.103.68.48,2a00:c38:1fb:302::48,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,22.blob.threema.ch,185.88.236.73,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,23.blob.threema.ch,185.88.236.102,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,24.ds.blob.threema.ch,185.88.236.106,2a02:41b:300a:301::106,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,25.blob.threema.ch,185.88.236.72,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,26.blob.threema.ch,185.88.236.74,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,27.blob.threema.ch,185.88.236.116,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,27.ds.blob.threema.ch,185.88.236.116,2a02:41b:300a:301::116,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,31.blob.threema.ch,212.103.68.17,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,31.ds.blob.threema.ch,212.103.68.17,2a00:c38:1fb:302::17,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,32.blob.threema.ch,212.103.68.25,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,36.blob.threema.ch,212.103.68.26,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,37.blob.threema.ch,212.103.68.37,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,37.ds.blob.threema.ch,"212.103.68.37, 185.88.236.68, 212.103.68.4, 188.126.81.131, 95.211.228.137","2a02:41b:300a:301::68, 2a00:c38:1fb:302::4, 2a00:1a28:1410:2e::2, 2a00:c38:1fb:302::37, 2001:1af8:4020:a04c:7::1","ns1.threema.ch, hostmaster.threema.ch",NOERROR,"ns2.threema.ch, ns1.threema.ch, ns4.threema.ch, ns3.threema.ch",,,
,api-work.threema.ch,185.88.236.89,2a02:41b:300a:301::89,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,api.threema.ch,"185.88.236.83, 212.103.68.14",,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,avatar.threema.ch,185.88.236.89,2a02:41b:300a:301::89,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,billing.test.threema.ch,212.103.68.43,2a00:c38:1fb:302::43,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,billing.threema.ch,185.88.236.123,2a02:41b:300a:301::123,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,blob-25.threema.ch,185.88.236.72,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,blob-27.threema.ch,185.88.236.116,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,blob-31.threema.ch,212.103.68.17,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,blob-upload.threema.ch,"212.103.68.13, 185.88.236.71",,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,blobp-24.threema.ch,185.88.236.106,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,blobp-26.threema.ch,185.88.236.74,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,broadcast.test.threema.ch,212.103.68.54,2a00:c38:1fb:302::54,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,broadcast.threema.ch,185.88.236.92,2a02:41b:300a:301::92,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,bugs.threema.ch,185.88.236.119,2a02:41b:300a:301::119,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,cms.test.threema.ch,212.103.68.46,2a00:c38:1fb:302::46,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,cms.threema.ch,185.88.236.85,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-apip.test.threema.ch,212.103.68.54,2a00:c38:1fb:302::54,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-apip.threema.ch,"212.103.68.14, 185.88.236.83","2a00:c38:1fb:302::14, 2a02:41b:300a:301::83","ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-blobp-24.threema.ch,185.88.236.106,2a02:41b:300a:301::106,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-blobp-25.threema.ch,"185.88.236.72, 185.88.236.68, 212.103.68.4, 188.126.81.131, 95.211.228.137","2a02:41b:300a:301::68, 2a00:c38:1fb:302::4, 2a00:1a28:1410:2e::2, 2001:1af8:4020:a04c:7::1, 2a02:41b:300a:301::72","ns1.threema.ch, hostmaster.threema.ch",NOERROR,"ns3.threema.ch, ns4.threema.ch, ns1.threema.ch, ns2.threema.ch",,,
,ds-blobp-26.threema.ch,"185.88.236.74, 185.88.236.68, 212.103.68.4, 188.126.81.131","2a02:41b:300a:301::68, 2a00:c38:1fb:302::4, 2a00:1a28:1410:2e::2, 2a02:41b:300a:301::74","ns1.threema.ch, hostmaster.threema.ch",NOERROR,"ns4.threema.ch, ns1.threema.ch, ns2.threema.ch, ns3.threema.ch",,,
,ds-blobp-31.threema.ch,212.103.68.17,2a00:c38:1fb:302::17,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-blobp-32.threema.ch,"212.103.68.25, 185.88.236.68, 212.103.68.4, 188.126.81.131","2a02:41b:300a:301::68, 2a00:c38:1fb:302::4, 2a00:1a28:1410:2e::2","ns1.threema.ch, hostmaster.threema.ch",NOERROR,"ns1.threema.ch, ns3.threema.ch, ns2.threema.ch, ns4.threema.ch",,,
,ds-blobp-35.threema.ch,212.103.68.24,2a00:c38:1fb:302::24,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-blobp-36.threema.ch,212.103.68.26,2a00:c38:1fb:302::26,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-01.threema.ch,185.88.236.76,2a02:41b:300a:301::76,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-02.threema.ch,185.88.236.76,2a02:41b:300a:301::76,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-03.threema.ch,185.88.236.76,2a02:41b:300a:301::76,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-1f.threema.ch,185.88.236.76,2a02:41b:300a:301::76,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-4f.threema.ch,185.88.236.76,2a02:41b:300a:301::76,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-c7.threema.ch,212.103.68.7,2a00:c38:1fb:302::7,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-dyn-80.threema.ch,212.103.68.8,2a00:c38:1fb:302::8,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-dyn-82.threema.ch,212.103.68.8,2a00:c38:1fb:302::8,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
,ds-turn-dyn-83.threema.ch,,2a00:c38:1fb:302::8,,NOERROR,,,,
,ds-turn-dyn-85.threema.ch,,,"ns1.threema.ch, hostmaster.threema.ch",NOERROR,,,,
