new,host,a,soa,has_internal_ips,internal_ips,status_code,aaaa,cname,caa,cdn,cdn-name,ns,txt,mx
[x],34.111.100.140.ot-qa.synack.com,34.111.100.140,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],_spf0000000.synack.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,"v=spf1 ip4:18.214.86.126 ip4:167.89.0.0/17 ip4:54.240.0.0/18 ip4:198.2.128.0/24 ip4:216.198.0.0/18 ip4:72.14.192.0/18 ip4:66.249.80.0/20 ip4:72.32.154.0/24 ip4:172.217.0.0/19 ip4:173.194.0.0/16 ip4:198.2.178.0/23 ip4:198.2.132.0/22 ip4:182.50.76.0/22 ip4:, 96.43.144.0/20 ip4:108.177.8.0/21 ip4:130.211.0.0/22 ip4:198.2.136.0/23 ip4:198.2.180.0/24 ip4:198.2.186.0/23 ip4:185.12.80.0/22 ip4:72.32.243.0/24 include:_spf0000001.synack.com ~all",
[x],acropolis.synack.com,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","dns1.p05.nsone.net, hostmaster.nsone.net",,,NOERROR,"2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153, 2606:50c0:8000::153",synack.github.io,"digicert.com, letsencrypt.org",,,,,
[x],analytics.synack.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,,
[x],api.ks-dev1.synack.com,34.110.209.13,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],api.ks-fedprod.synack.com,34.117.255.184,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],api.ks-prod.synack.com,34.149.225.39,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],api.ks-qa.synack.com,130.211.40.163,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],api.ks-staging.synack.com,35.241.18.122,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],api.staging.synack.com,35.241.18.122,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],api.synack.com,107.154.113.117,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",,,NOERROR,,vb7q48d.x.incapdns.net,,True,incapsula,,,
[x],api.wa-prod.synack.com,127.0.0.1,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],api.wa-qa.synack.com,127.0.0.1,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],atlantis.synack.com,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,,
[x],auth-demo.synack.com,"10.43.3.109, 10.43.2.202, 10.43.1.121","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,"10.43.3.109, 10.43.2.202, 10.43.1.121",NOERROR,,internal-demo-hydra-alb-int-1-713179807.us-east-1.elb.amazonaws.com,,,,,,
[x],auth-internal.ks-demo.synack.com,10.145.0.65,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",True,10.145.0.65,NOERROR,,,,,,,,
[x],auth-internal.ks-dev1.synack.com,10.129.0.75,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",True,10.129.0.75,NOERROR,,,,,,,,
[x],auth-internal.ks-prod.synack.com,10.225.0.96,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",True,10.225.0.96,NOERROR,,,,,,,,
[x],auth-internal.ks-qa.synack.com,10.161.0.114,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",True,10.161.0.114,NOERROR,,,,,,,,
[x],auth-internal.ks-staging.synack.com,10.177.0.88,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",True,10.177.0.88,NOERROR,,,,,,,,
[x],auth-internal.staging.synack.com,10.177.0.88,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",True,10.177.0.88,NOERROR,,,,,,,,
[x],auth-internal.synack.com,10.225.0.96,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",True,10.225.0.96,NOERROR,,auth-internal.ks-prod.synack.com,,,,,,
[x],auth-internal.wa-prod.synack.com,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,,,,,
[x],auth-qa.synack.com,"10.44.1.77, 10.44.2.209, 10.44.3.116","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,"10.44.1.77, 10.44.2.209, 10.44.3.116",NOERROR,,internal-qa-hydra-alb-int-1-1080108890.us-east-1.elb.amazonaws.com,,,,,,
[x],bluestake-beta.analytics.synack.com,35.227.242.148,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],bluestake-demo.analytics.synack.com,35.190.70.8,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],bluestake-prod.analytics.synack.com,35.201.73.75,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],bluestake-qa.analytics.synack.com,35.186.204.192,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],bluestake.ks-demo.synack.com,34.96.92.228,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],bluestake.ks-fedprod.synack.com,35.201.95.111,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],bluestake.ks-prod.synack.com,34.149.54.164,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],bluestake.ks-qa.synack.com,34.111.214.232,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],bluestake.ks-staging.synack.com,35.244.149.171,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
[x],boss.ks-demo.synack.com,34.111.251.218,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,,NOERROR,,,,True,google,,,
