input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,csp_domains_,final_url,tls_subject_org_
api.bitforex.com,,200,2,api.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,api.bitforex.com,cloudflare,443,https://api.bitforex.com:443,https,cloudflare,text/html,GET,104.18.18.253,/,-1179026472,2606:4700::6812:12fd,HSTS,2,False,True,,,
bitforex.com,BitForex | The World's Leading One-Stop Digital Asset Service Platform.,200,316915,www.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,www.bitforex.com,cloudflare,443,https://bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,-1179026472,2606:4700::6812:12fd,Vue.js,153,False,True,coin360.com,https://www.bitforex.com/,
capp.bitforex.com,,403,16,capp.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,capp.bitforex.com,cloudflare,443,https://capp.bitforex.com:443,https,cloudflare,text/plain,GET,104.18.13.253,/,1253481126,2606:4700::6812:12fd,Cloudflare,1,False,True,,,
coin360.com,"Cryptocurrency Prices Heatmap, Market Cap, Charts & Widget – COIN360",200,330706,coin360.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,coin360.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",98ef8b056b903b757b2a299bb2be8297,756c2d4d73f6fd7c2a8b9249c0a232742181660af7c17e7162cadb6d68882702,True,ctls,coin360.com,cloudflare,443,https://coin360.com:443,https,cloudflare,text/html,GET,104.22.36.204,/,-1029128543,2606:4700:10::ac43:27e7,React,17,False,True,,,"Cloudflare, Inc."
event.bitforex.com,403 Forbidden,403,150,event.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,event.bitforex.com,cloudflare,443,https://event.bitforex.com:443,https,cloudflare,text/html,GET,104.18.18.253,/,-1179026472,2606:4700::6812:dfd,Cloudflare,8,False,True,,,
grin.bitforex.com,,404,,grin.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,grin.bitforex.com,cloudflare,443,https://grin.bitforex.com:443,https,cloudflare,,GET,104.18.13.253,/,-1840324437,2606:4700::6812:12fd,Cloudflare,1,False,True,,,
grinproxy.bitforex.com,,404,109,grinproxy.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,grinproxy.bitforex.com,cloudflare,443,https://grinproxy.bitforex.com:443,https,cloudflare,application/json,GET,104.18.13.253,/,-618450367,2606:4700::6812:dfd,Spring,1,False,True,,,
help.bitforex.com,,403,16,help.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,help.bitforex.com,cloudflare,443,https://help.bitforex.com:443,https,cloudflare,text/plain,GET,104.18.13.253,/,1310216689,2606:4700::6812:12fd,Cloudflare,1,False,True,,,
mobile.bitforex.com,,200,2,mobile.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,mobile.bitforex.com,cloudflare,443,https://mobile.bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,-1179026472,2606:4700::6812:dfd,HSTS,2,False,True,,,
public.bitforex.com,,200,827,public.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,public.bitforex.com,cloudflare,443,https://public.bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,225279130,2606:4700::6812:12fd,Cloudflare,54,False,True,,,
static.bitforex.com,,403,265,static.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,static.bitforex.com,cloudflare,443,https://static.bitforex.com:443,https,cloudflare,application/xml,GET,104.18.13.253,/,-344666431,2606:4700::6812:dfd,Cloudflare,9,False,True,,,
support.bitforex.com,Help Center,200,42067,support.bitforex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-03T23:40:30Z,2023-10-01T23:40:29Z,CN=support.bitforex.com,support.bitforex.com,support.bitforex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3f8f47ba22f0bf27bec342efa749b790,31d384af7eb650385424ce274ee4f315222241ace21069ea8a19d2722e9f18f2,,ctls,support.bitforex.com,cloudflare,443,https://support.bitforex.com:443,https,cloudflare,text/html,GET,104.18.18.253,/,-1279294674,2606:4700::6812:12fd,Ruby on Rails,781,False,True,,https://support.bitforex.com/hc/en-us,
track.bitforex.com,,525,,track.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,track.bitforex.com,cloudflare,443,https://track.bitforex.com:443,https,cloudflare,,GET,104.18.18.253,/,-1840324437,2606:4700::6812:dfd,Cloudflare,1,False,True,,,
www.bitforex.com,BitForex | The World's Leading One-Stop Digital Asset Service Platform.,200,316915,www.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,www.bitforex.com,cloudflare,443,https://www.bitforex.com:443,https,cloudflare,text/html,GET,104.18.18.253,/,-1179026472,2606:4700::6812:12fd,Vue.js,153,False,True,coin360.com,,
