input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url
api.bitforex.com,,200,2,api.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,api.bitforex.com,cloudflare,443,https://api.bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,-1179026472,2606:4700::6812:12fd,HSTS,2,False,True,
bitforex.com,BitForex | The World's Leading One-Stop Digital Asset Service Platform.,200,206334,www.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,www.bitforex.com,cloudflare,443,https://bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,492944973,2606:4700::6812:12fd,Vue.js,182,False,True,https://www.bitforex.com/
cn.bitforex.com,BitForex,200,457,cn.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,cn.bitforex.com,cloudflare,443,https://cn.bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,834610821,2606:4700::6812:dfd,Cloudflare,24,False,True,
download.bitforex.com,BitForexAPP下载-BitForex客户端下载 | BitForex,200,7167,download.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,download.bitforex.com,cloudflare,443,https://download.bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,-348840288,2606:4700::6812:12fd,HSTS,188,False,True,https://download.bitforex.com/app/
grin.bitforex.com,,404,,grin.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,grin.bitforex.com,cloudflare,443,https://grin.bitforex.com:443,https,cloudflare,,GET,104.18.13.253,/,-1840324437,2606:4700::6812:12fd,Cloudflare,1,False,True,
grinproxy.bitforex.com,,404,109,grinproxy.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,grinproxy.bitforex.com,cloudflare,443,https://grinproxy.bitforex.com:443,https,cloudflare,application/json,GET,104.18.18.253,/,-29472356,2606:4700::6812:12fd,Spring,1,False,True,
help.bitforex.com,,403,16,help.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,help.bitforex.com,cloudflare,443,https://help.bitforex.com:443,https,cloudflare,text/plain,GET,104.18.13.253,/,,2606:4700::6812:12fd,Cloudflare,1,False,True,
m.bitforex.com,BitForex | Safest Bitcoin Trading Platform,200,183529,m.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,m.bitforex.com,cloudflare,443,https://m.bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,102855332,2606:4700::6812:12fd,Vue.js,78,False,True,https://m.bitforex.com/en
mwcproxy.bitforex.com,,404,109,mwcproxy.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,mwcproxy.bitforex.com,cloudflare,443,https://mwcproxy.bitforex.com:443,https,cloudflare,application/json,GET,104.18.13.253,/,2010729387,2606:4700::6812:dfd,Spring,1,False,True,
static.bitforex.com,,403,265,static.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,static.bitforex.com,cloudflare,443,https://static.bitforex.com:443,https,cloudflare,application/xml,GET,104.18.13.253,/,1985848392,2606:4700::6812:12fd,Cloudflare,9,False,True,
support.bitforex.com,Help Center,200,33384,support.bitforex.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-04T23:41:17Z,2023-08-02T23:41:16Z,CN=support.bitforex.com,support.bitforex.com,support.bitforex.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ba1ea0d9416eff2f454e6ee906d472c1,4dce74df36ae29e35f2b2f1a3a5affa927df1182933019cb9b840a98bc27c271,,ctls,support.bitforex.com,cloudflare,443,https://support.bitforex.com:443,https,cloudflare,text/html,GET,104.18.18.253,/,-1279294674,2606:4700::6812:12fd,Ruby on Rails,595,False,True,https://support.bitforex.com/hc/en-us
www.bitforex.com,BitForex | The World's Leading One-Stop Digital Asset Service Platform.,200,206344,www.bitforex.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-16T03:20:06Z,2024-01-17T03:20:05Z,CN=*.bitforex.com,*.bitforex.com,bitforex.com,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,f211e5120612e4fcad6256b64aa47a17,6d1aa2027145780fe200feb870e232961c3c032c1e4298b98b005426db95e933,True,ctls,www.bitforex.com,cloudflare,443,https://www.bitforex.com:443,https,cloudflare,text/html,GET,104.18.13.253,/,492944973,2606:4700::6812:12fd,Vue.js,182,False,True,
