input,title,status_code,content_length,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_subject_org_
*.chameleon.io,Chameleon | The Deepest Product Adoption Platform | Chameleon,200,256166,443,https://chameleon.io:443,https,,text/html,GET,151.101.1.91,/,-1840324437,151.101.193.91,Linkedin Ads,2636,False,www.chameleon.io,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-05-04T21:59:44Z,2023-08-02T21:59:43Z,CN=www.chameleon.io,www.chameleon.io,www.chameleon.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8eab0bc57d9673e22b92c8c08914937a,7d76803724ca2c4a8345e5f14cdba92e9128a7016cfb89883b7142ccfb9e37e1,ctls,www.chameleon.io,fastly,True,,,https://www.chameleon.io/,
*.intercom.io,Making Internet Business Personal | Intercom,200,969846,443,https://intercom.io:443,https,nginx,text/html,GET,18.165.183.110,/,-1835128540,18.165.183.94,Nginx,12,False,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,ctls,www.intercom.com,cloudfront,True,browser.sentry-cdn.com,True,https://www.intercom.com/,
*.intercomcdn.com,Making Internet Business Personal | Intercom,200,969795,443,https://intercomcdn.com:443,https,nginx,text/html,GET,18.66.112.59,/,-994497267,18.66.112.33,Nginx,12,False,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,ctls,www.intercom.com,cloudfront,True,epsilon.6sense.com,True,https://www.intercom.com/,
*.loom.com,Loom: Async Video Messaging for Work | Loom,200,114078,443,https://loom.com:443,https,,text/html,GET,108.138.7.75,/,1767344,2600:9000:2490:b800:c:cfd4:a580:93a1,Vercel,21,False,www.loom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2023-09-30T23:59:59Z,CN=loom.com,loom.com,*.loom.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6de6b220f84fea8a277797472919cc38,3de2e57d2c1d6d708cb6c0d60118b8f940db5ae2b2a1161b34a325e494f3f606,ctls,www.loom.com,cloudfront,True,,True,https://www.loom.com,
*.mixpanel.com,"Mixpanel: Event Analytics for Mobile, Web & More",200,887442,443,https://mixpanel.com:443,https,nginx,text/html,GET,34.96.97.101,/,-1134128844,34.96.97.101,Nginx,1,False,mixpanel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-13T00:00:00Z,2024-03-15T23:59:59Z,CN=*.mixpanel.com,*.mixpanel.com,mixpanel.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",9de3177e2f0aeca9d197e5cfb99d784a,d0d3af37fb07a2a39f463802f3ef15b06b258c5068a987d54cbd37b5843906f5,ctls,mixpanel.com,google,True,,True,,
*.stripe.com,Stripe | Online-Bezahldienst und weltweiter Zahlungsdienstleister,200,2475384,80,http://stripe.com:80,http,nginx,text/html,GET,54.186.23.98,/,1008897269,54.187.119.242,Nginx,40741,False,stripe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-28T00:00:00Z,2023-07-12T23:59:59Z,"CN=stripe.com, O=Stripe\, Inc, L=San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",stripe.com,www.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,fd7d32025ddf333c5e3a24f5780976b9,29cf00cc1c209a7c85bfdc2c0b7c0f47e959884568ca1f267e3e842f081d971c,ctls,stripe.com,,,https://videos.ctfassets.net,,https://stripe.com/de,"Stripe, Inc"
*.vimeo.com,Vimeo – Video Experience Platform,200,287885,443,https://vimeo.com:443,https,cloudflare,text/html,GET,162.159.128.61,/,1154390870,162.159.138.60,Varnish,544,False,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,ctls,vimeo.com,cloudflare,True,https:,True,,"Cloudflare, Inc."
*.youtube.com,YouTube,200,730491,443,https://youtube.com:443,https,ESF,text/html,GET,142.250.185.238,/,1179099333,2a00:1450:4001:813::200e,HTTP/3,23,False,www.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,www.youtube.com,,,,True,https://www.youtube.com/,
17-121-115-162.investnext.com,404,404,916,80,http://17-121-115-162.investnext.com:80,http,gunicorn,text/html,GET,54.196.16.164,/,1259697078,54.91.6.89,gunicorn,23,False,17-121-115-162.investnext.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-10T00:00:00Z,2023-11-22T23:59:59Z,CN=*.investnext.com,*.investnext.com,investnext.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,f7279b83b7b1b7eb5c9ef373110a02f5,dcfb452a94254208c666edb631c1fcefce6e34477b497b0dbbc180590996214f,ctls,17-121-115-162.investnext.com,,,*.intercomcdn.com,True,https://17-121-115-162.investnext.com/,
2022-statusaccount-confluence-customer.investnext.com,404,404,916,80,http://2022-statusaccount-confluence-customer.investnext.com:80,http,gunicorn,text/html,GET,54.157.4.65,/,1259697078,54.91.6.89,gunicorn,23,False,2022-statusaccount-confluence-customer.investnext.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-10T00:00:00Z,2023-11-22T23:59:59Z,CN=*.investnext.com,*.investnext.com,investnext.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,f7279b83b7b1b7eb5c9ef373110a02f5,dcfb452a94254208c666edb631c1fcefce6e34477b497b0dbbc180590996214f,ctls,2022-statusaccount-confluence-customer.investnext.com,,,*.instagram.com,True,https://2022-statusaccount-confluence-customer.investnext.com/,
