input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,final_url
assets-app-cdn.moneybird.com,,403,243,,assets-app-cdn.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-09-24T23:59:59Z,CN=assets-app-cdn.moneybird.com,assets-app-cdn.moneybird.com,assets-app-cdn.moneybird.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0c71cd3f691103c4b81692b03b3084,28f4206d4bd010001c3146af891f691290b631b7b4f3d7c025663a0184189d5a,ctls,assets-app-cdn.moneybird.com,cloudfront,443,https://assets-app-cdn.moneybird.com:443,https,AmazonS3,application/xml,GET,52.222.214.23,/,-67597697,52.222.214.39,Amazon Web Services,2,False,True,,,
assets-rs-cdn.moneybird.com,Unhappy bird (404),404,4666,https://moneybird.com/csp_report,assets-rs-cdn.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-24T23:59:59Z,CN=assets-rs-cdn.moneybird.com,assets-rs-cdn.moneybird.com,assets-rs-cdn.moneybird.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,50e602a3e588178b7b31af5c7e532d01,0cd595639feb79793b0887fb53bf66dcac0c105c54a3d938edaf809dba307643,ctls,assets-rs-cdn.moneybird.com,cloudfront,443,https://assets-rs-cdn.moneybird.com:443,https,nginx,text/html,GET,99.86.4.37,/,-1741309500,99.86.4.20,Nginx,142,False,True,,,
assets-rs.moneybird.com,404 Not Found,404,146,,assets-rs.moneybird.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-24T23:59:59Z,CN=moneybird.com,moneybird.com,assets-app.moneybird.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2e56bfae3bd4e37cd6242add31675d8f,5993341c5f1b7324a777829daf85e3a3fd8186f2db9c7514485b17422bfaee07,ctls,assets-rs.moneybird.com,,443,https://assets-rs.moneybird.com:443,https,nginx,text/html,GET,3.74.206.132,/,-1741309500,2a05:d014:779:4b02:a1e7:4418:a669:d71e,Nginx,8,False,,,,
assets.moneybird.com,404 Not Found,404,146,,assets.moneybird.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2023-09-24T23:59:59Z,CN=moneybird.com,moneybird.com,assets-app.moneybird.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2e56bfae3bd4e37cd6242add31675d8f,5993341c5f1b7324a777829daf85e3a3fd8186f2db9c7514485b17422bfaee07,ctls,assets.moneybird.com,,443,https://assets.moneybird.com:443,https,nginx,text/html,GET,3.74.206.132,/,1494302000,2a05:d014:779:4b02:a1e7:4418:a669:d71e,Nginx,8,False,,,,
developer.moneybird.com,Moneybird API Documentation,200,27663,,developer.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-11-23T23:59:59Z,CN=developer.moneybird.com,developer.moneybird.com,developer.moneybird.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,10940fa638d028e67b94c005e5f438b8,cff2b2c776a7a0a9fe7aa5e813a95a3429a8679c651921f8169b15e50b5bdce7,ctls,developer.moneybird.com,cloudfront,443,https://developer.moneybird.com:443,https,AmazonS3,text/html,GET,18.66.112.88,/,-1575719877,2600:9000:223f:9000:12:230e:3c0:93a1,Font Awesome,742,False,True,,,
email.deliver.moneybird.com,,404,19,,email.deliver.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,CN=email.mail.moneybird.com,email.mail.moneybird.com,email.deliver.moneybird.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c99acc318fcaf38d931986f8eb18cfb5,c578b578a17cf2105658b3534dd1bab92a3180b45ac90aa09a2680b7f354b4d6,ctls,email.deliver.moneybird.com,cloudfront,443,https://email.deliver.moneybird.com:443,https,,text/plain,GET,18.66.112.7,/,-138391155,18.66.112.119,Amazon Web Services,2,False,True,,,
email.mail.moneybird.com,,404,19,,email.mail.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,CN=email.mail.moneybird.com,email.mail.moneybird.com,email.deliver.moneybird.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c99acc318fcaf38d931986f8eb18cfb5,c578b578a17cf2105658b3534dd1bab92a3180b45ac90aa09a2680b7f354b4d6,ctls,email.mail.moneybird.com,cloudfront,443,https://email.mail.moneybird.com:443,https,,text/plain,GET,18.66.112.116,/,-138391155,18.66.112.7,Amazon Web Services,2,False,True,,,
email.newsletter.moneybird.com,,404,19,,email.newsletter.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2024-01-24T23:59:59Z,CN=email.mail.moneybird.com,email.mail.moneybird.com,email.deliver.moneybird.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c99acc318fcaf38d931986f8eb18cfb5,c578b578a17cf2105658b3534dd1bab92a3180b45ac90aa09a2680b7f354b4d6,ctls,email.newsletter.moneybird.com,cloudfront,443,https://email.newsletter.moneybird.com:443,https,,text/plain,GET,18.66.112.7,/,-138391155,18.66.112.119,Amazon Web Services,2,False,True,,,
euc-widget.freshworks.com,403 Forbidden,403,303,,euc-widget.freshworks.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-24T23:59:59Z,CN=*.freshworks.com,*.freshworks.com,*.freshworks.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b6c83c29d682ee5602ff4d17b5ed9405,b918a86d96cac20cb1a0de4779454e68811f8b94c48929ab5ad822c835d67429,ctls,euc-widget.freshworks.com,cloudfront,443,https://euc-widget.freshworks.com:443,https,AmazonS3,text/html,GET,18.66.97.106,/,-255163574,18.66.97.100,Amazon Web Services,14,False,True,True,,
gtm.moneybird.com,,400,,,gtm.moneybird.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-10T13:57:21Z,2023-09-08T14:40:28Z,CN=gtm.moneybird.com,gtm.moneybird.com,gtm.moneybird.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,a51fe66405892d4b936270f9cd7bb9c1,e618184f8c479614e85ebfe9aa012df2552cb2967970360e21b1c5fe318fe7ed,ctls,gtm.moneybird.com,,443,https://gtm.moneybird.com:443,https,,,GET,216.239.38.21,/,-1840324437,2001:4860:4802:38::15,Google Cloud CDN,1,False,,,,
