input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,method,host,path,favicon,a_,lines,failed,cdn,content_type,tls_mismatched,tech_,webserver,final_url,csp_domains_,tls_expired
*.adyen.com,Adyen | Engineered for ambition - Adyen,200,238831,www.adyen.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-13T06:30:21Z,2023-09-11T06:30:20Z,CN=adyen.com,adyen.com,,www.adyen.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e177b626b0f963c3c0887f5455eb5390,cc836a7e73f456aca1e6c624640e0e53d6fce986dc57ca43d5cb525762192ffd,,ctls,www.adyen.com,,443,https://adyen.com:443,https,GET,147.75.40.150,/,43228338,147.75.40.150,256,False,,text/html,,Vue.js,Netlify,https://www.adyen.com/,bat.bing.com,
*.adyenpayments.com,Adyen | Engineered for ambition - Adyen,200,238831,www.adyen.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-13T06:30:21Z,2023-09-11T06:30:20Z,CN=adyen.com,adyen.com,,www.adyen.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e177b626b0f963c3c0887f5455eb5390,cc836a7e73f456aca1e6c624640e0e53d6fce986dc57ca43d5cb525762192ffd,,ctls,www.adyen.com,,443,https://adyenpayments.com:443,https,GET,185.101.196.80,/,43228338,185.101.196.80,256,False,,text/html,,Vue.js,Netlify,https://www.adyen.com/,*.mktoresp.com,
*.cedexis-test.com,,200,132,,,,,,,,,,,,,,,,,,,,,80,http://cedexis-test.com:80,http,GET,63.32.156.0,/,-1840324437,63.32.156.0,8,False,,text/html,,Nginx,nginx,,,
*.cedexis.com,Cedexis,200,634,cedexis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,2024-04-23T23:59:59Z,"CN=citrix.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",citrix.com,"Citrix Systems, Inc.",www.cedexis.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,a3c01ee6ba147b09c56bfac59c70deb2,2aed021b9102bb55fbd6ddbf0e50d9b45b72519373b78da860f4b4d980ad7a01,True,ctls,cedexis.com,,443,https://cedexis.com:443,https,GET,52.72.216.208,/,1494302000,44.209.77.194,18,False,,text/html,,Nginx,nginx,,,
*.doubleclick.net,Enterprise Advertising & Analytics Solutions - Google Marketing Platform,200,128632,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,True,ctls,marketingplatform.google.com,,443,https://doubleclick.net:443,https,GET,142.250.185.110,/,708578229,2a00:1450:4001:80f::200e,2177,False,,text/html,,HTTP/3,sffe,https://marketingplatform.google.com/about/enterprise/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,
*.facebook.com,Facebook - log in or sign up,200,59714,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2023-07-07T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.",messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,424ea63b2e809aaccb28dd6057423ee4,982f26f54e18729ce6fc061f70060832470e79a1eb9efe5128eb3a2bed997a64,True,ctls,m.facebook.com,,443,https://facebook.com:443,https,GET,157.240.252.35,/,142313513,2a03:2880:f177:83:face:b00c:0:25de,20,False,,text/html,,HTTP/3,,https://m.facebook.com/?wtsid=rdr_0HOx65WGhyR9irXPO,googleads.g.doubleclick.net,
*.fls.doubleclick.net,Error 404 (Not Found)!!1,404,1561,fls.doubleclick.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:01Z,2023-09-11T08:16:00Z,CN=*.doubleclick.net,*.doubleclick.net,,doubleclick.net,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,f7d30bd72332266ddab8068523318a59,f59cc81653c0ee6dd69b6447d4eaa4c933a181a1314c22dfdf03284449afd0f6,True,ctls,fls.doubleclick.net,,443,https://fls.doubleclick.net:443,https,GET,142.250.186.38,/,302920777,142.250.186.38,12,False,,text/html,,HTTP/3,cafe,,,
*.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118545,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,True,ctls,marketingplatform.google.com,,443,https://google-analytics.com:443,https,GET,142.250.185.196,/,302920777,2a00:1450:4001:806::2004,1833,False,,text/html,,HTTP/3,sffe,https://marketingplatform.google.com/about/analytics/,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,
*.google.com,Google,200,241261,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:20Z,2023-09-11T08:21:19Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,356ce917eecdafd8f0964fab2c01c648,5ef40e8e31e911278e5335d41c69a84dd90bf0acba633d6fa7c761005296d8e0,,ctls,www.google.com,,443,https://google.com:443,https,GET,216.58.212.174,/,708578229,2a00:1450:4001:802::200e,152,False,,text/html,,HTTP/3,gws,https://www.google.com/,https://csp.withgoogle.com/csp/gws/other-hp,
*.googleadservices.com,Error 404 (Not Found)!!1,404,1561,googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:19:36Z,2023-09-11T08:19:35Z,CN=*.googleadservices.com,*.googleadservices.com,,googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c747b8a41922417e3d22434ec943ef19,9632179b01378e49df973af81ebb3de8d4b7059c8817cf07d49d127c1120eb50,True,ctls,googleadservices.com,,443,https://googleadservices.com:443,https,GET,142.250.185.226,/,302920777,142.250.185.226,12,False,,text/html,,HTTP/3,sffe,,,
