input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,tls_expired,tls_subject_org_,tech_,cdn_name,cdn,tls_mismatched,tls_wildcard_certificate,final_url,tls_self_signed
accurateplayer-validate.mc.spe.sony.com,Accurate.Video,200,3297,,accurateplayer-validate.mc.spe.sony.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-15T00:00:00Z,2024-04-12T23:59:59Z,CN=accurateplayer-validate.mc.spe.sony.com,accurateplayer-validate.mc.spe.sony.com,accurateplayer-validate.mc.spe.sony.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,7c8a09fd6d2a1b052be3ae4281610095,327d849b3186d33ffbaf35fb771905737f833eaabb0377cb173b1e04d27b9f08,ctls,accurateplayer-validate.mc.spe.sony.com,443,https://accurateplayer-validate.mc.spe.sony.com:443,https,nginx,text/html,GET,34.250.189.207,/,-1583707910,52.30.157.200,16,False,,,Nginx,,,,,,
ack.me.sony.com,,200,,,ack.me.sony.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-18T00:00:00Z,2024-07-16T23:59:59Z,CN=ack.me.sony.com,ack.me.sony.com,*.ack.me.sony.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,314896eaf4393b77c6c1da5716338ae2,dc193fdcbce15f2b53a46ba49ebff749d2f5fa5d6b518f37b42aecb42e39406a,ctls,ack.me.sony.com,443,https://ack.me.sony.com:443,https,awselb/2.0,text/plain,GET,44.226.158.94,/,-1840324437,44.227.125.176,1,False,,,,,,,True,,
adfs.eu.sony.com,Not Found,404,315,,adfs.eu.sony.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-06T00:00:00Z,2024-01-06T23:59:59Z,"CN=adfs.eu.sony.com, O=Sony e-solutions Europe, ST=Bruxelles-Capitale\, Région de, C=BE",adfs.eu.sony.com,www.adfs.eu.sony.com,"CN=Sectigo RSA Organization Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Organization Validation Secure Server CA,Sectigo Limited,e722a2edbd95e11c0076dad9aee68705,0b033f92459cd67774ab41f763219054d3394a54add3f06c34f1dda95bf20bd9,ctls,adfs.eu.sony.com,443,https://adfs.eu.sony.com:443,https,Microsoft-HTTPAPI/2.0,text/html,GET,195.2.41.134,/,225052475,195.2.41.134,7,False,,Sony e-solutions Europe,Microsoft HTTPAPI:2.0,,,,,,
adl.vpn.sie.sony.com,Login,200,4481,,adl.vpn.sie.sony.com,443,True,tls12,TLS_RSA_WITH_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-29T23:59:59Z,"CN=adl.vpn.sie.sony.com, O=Sony Interactive Entertainment LLC, L=San Mateo, ST=California, C=US",adl.vpn.sie.sony.com,adl.vpn.sie.sony.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cbf98c050b26d7838949e0056157855d,a535da0d7fdff5ea14da69c611cebf582189fb1bad329baf1a07a0ccb44f7f07,ctls,adl.vpn.sie.sony.com,443,https://adl.vpn.sie.sony.com:443,https,,text/html,GET,217.18.18.116,/,192377616,217.18.18.116,125,False,,Sony Interactive Entertainment LLC,HSTS,,,,,https://adl.vpn.sie.sony.com/dana-na/auth/url_default/welcome.cgi,
admin.servicesplus.sel.sony.com,403 Forbidden,403,118,,admin.servicesplus.sel.sony.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-05T23:59:59Z,CN=admin.servicesplus.sel.sony.com,admin.servicesplus.sel.sony.com,admin.servicesplus.sel.sony.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0f4a6541c301e1e81a7ec15c80c5b284,cb3ed3464f05ef58a13fb5e179a00a2c1ddb758d0342e84d6fccbd6c2e5bc254,ctls,admin.servicesplus.sel.sony.com,443,https://admin.servicesplus.sel.sony.com:443,https,awselb/2.0,text/html,GET,44.195.217.68,/,1344368402,44.207.123.224,7,False,,,,,,,,,
aiq-in.electronics.sony.com,,404,18,,aiq-in.electronics.sony.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-27T00:00:00Z,2023-09-25T23:59:59Z,CN=sony-prod.actioniq.mr-in.com,sony-prod.actioniq.mr-in.com,aiqx.thepopes-exorcist.movie,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,ca221d3479b6486f2c623be33c6910e3,52b5a12c44fd9207522e992a709617b68f270d441efc71511985050dafd9b9b5,ctls,aiq-in.electronics.sony.com,443,https://aiq-in.electronics.sony.com:443,https,,text/plain,GET,35.222.20.52,/,-429073533,35.222.20.52,1,False,,,HSTS,google,True,,,,
alertspe.spe.sony.com,,401,176,,ssoext.spe.sony.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2023-11-11T23:59:59Z,"CN=ssoext.spe.sony.com, O=Sony Pictures Entertainment\, Inc., L=Culver City, ST=California, C=US",ssoext.spe.sony.com,fcm-china.spe.sony.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,1ce2c14f3a21bf8afef2329c32f0c5cd,21dfb14fbd4633aa2e913dc31d380f02a4c84b1c471badc8b9e27d5a11a85489,ctls,ssoext.spe.sony.com,443,https://alertspe.spe.sony.com:443,https,Apache/2.4.56 (Unix) OpenSSL/1.0.2zh-fips-dev mod_jk/1.2.48,text/html,GET,173.251.241.56,/,-1413945807,173.251.241.56,1,False,,"Sony Pictures Entertainment, Inc.",mod_jk:1.2.48,,,,,https://ssoext.spe.sony.com/siteminderagent/Kerberos/creds.kcc?&SMAGENTNAME=-SM-PpqudUF9hQyAftismaR3V1vbVzIw2kRLW2wwqkPGuNXL0A%2fpxRaRaYKRKbVIILXX&TARGET=-SM-HTTPS%3a%2f%2fssoext%2espe%2esony%2ecom%2faffwebservices%2fsecure%2fsecureredirect%2feverbridge%2ejsp%3fSPID%3dhttps%3a%2f%2fsso%2eeverbridge%2enet%2fSPEProd%2f892807736722003%26SMPORTALURL%3dNWajGq0cu8N1wdCTLcyv53BgDYFaVmMXTJ-%2BoCnWJCXvGJ9LKpxjaHCxrBGu8DT7GaFM75j11EN0AWDjdo9-%2BE95CippsOpEQChkQn26-%2BTdR6huJqj9bUy7GfAymcwoXDs%26SAMLTRANSACTIONID%3d105b2fe7--81e0b267--c02b14a5--0132f94e--06e33c31--d5d,
alphauniverse.com,Welcome To Sony Alpha Universe | Sony | Alpha Universe,200,263896,,alphauniverse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-15T23:59:59Z,CN=alphauniverse.com,alphauniverse.com,www.alphauniverse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,01d73fae49aeab6e32bde73d6be0b62f,4436d768ce5725edaa9eece7cb8b08ce5ea51f1536772ad1ec584b84bae2989c,ctls,alphauniverse.com,443,https://alphauniverse.com:443,https,,text/html,GET,151.101.194.133,/,-1515636469,151.101.66.133,6554,False,,,Varnish,fastly,True,,,,
analytics.bis.sie.sony.com,Access Denied,403,283,,analytics.bis.sie.sony.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-30T00:00:00Z,2024-03-29T23:59:59Z,"CN=bis.sie.sony.com, O=SONY INTERACTIVE ENTERTAINMENT LLC, L=San Mateo, ST=California, C=US",bis.sie.sony.com,transfer.bis.sie.sony.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,787c4da8497e7c411c5655be53439099,a64d377aa095354f4f80b51f1a6c2e41c27cbf849d2a4ce4e4f863678f8bf799,ctls,analytics.bis.sie.sony.com,443,https://analytics.bis.sie.sony.com:443,https,AkamaiGHost,text/html,GET,23.210.113.174,/,841207278,23.210.113.174,10,False,,SONY INTERACTIVE ENTERTAINMENT LLC,HSTS,,,,,,
analytics.nonprod.bis.sie.sony.com,Access Denied,403,295,,analytics.nonprod.bis.sie.sony.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-26T00:00:00Z,2024-03-26T23:59:59Z,"CN=nonprod.bis.sie.sony.com, O=Sony Interactive Entertainment LLC, L=San Mateo, ST=California, C=US",nonprod.bis.sie.sony.com,transfer.nonprod.bis.sie.sony.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61c443830c6476a8d064bcc8f753c5d9,41c5ca6a69a01a0aae51d8d7234e37c7d2298553d9dbc9aa8afc5acf856dfa0a,ctls,analytics.nonprod.bis.sie.sony.com,443,https://analytics.nonprod.bis.sie.sony.com:443,https,AkamaiGHost,text/html,GET,104.102.40.124,/,-1343053199,104.102.40.124,10,False,,Sony Interactive Entertainment LLC,HSTS,,,,,,
