new,host,ttl,a,aaaa,soa,status_code,mx,ns,txt,cname
[x],ablink.email.monarchmoney.com,300,,"2606:4700:10::6816:3c79, 2606:4700:10::6816:3d79, 2606:4700:10::ac43:5c4","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],ablink.updates.monarchmoney.com,300,"104.22.61.121, 104.22.60.121, 172.67.5.196","2606:4700:10::ac43:5c4, 2606:4700:10::6816:3d79, 2606:4700:10::6816:3c79","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],abmail.email.monarchmoney.com,300,,,"{'name': 'wl108.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340842958, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl108.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340842958, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,v=spf1 ip4:149.72.204.170 ip4:168.245.68.99 -all,u11630857.wl108.sendgrid.net
[x],abmail.updates.monarchmoney.com,300,,,"{'name': 'wl108.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340842958, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl108.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340842958, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl108.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340842958, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'wl108.sendgrid.net', 'ns': 'aisha.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340842958, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,u11630857.wl108.sendgrid.net
[x],api-old.monarchmoney.com,300,"104.22.60.121, 104.22.61.121, 172.67.5.196","2606:4700:10::6816:3d79, 2606:4700:10::6816:3c79, 2606:4700:10::ac43:5c4","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],api-ps.monarchmoney.com,1800,,,"{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],api.monarchmoney.com,1800,,,"{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],app.monarchmoney.com,300,"172.67.5.196, 104.22.61.121, 104.22.60.121","2606:4700:10::ac43:5c4, 2606:4700:10::6816:3c79, 2606:4700:10::6816:3d79","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],app1.monarchmoney.com,300,"104.22.61.121, 104.22.60.121, 172.67.5.196","2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
[x],blog.monarchmoney.com,300,"104.22.61.121, 172.67.5.196, 104.22.60.121","2606:4700:10::6816:3c79, 2606:4700:10::6816:3d79, 2606:4700:10::ac43:5c4","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2340106175, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,
