input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,webserver,final_url,tls_wildcard_certificate,cdn_name,cdn,tls_mismatched,tls_expired,location,tls_self_signed
10.eulisa.europa.eu,eu-LISA 10-Year Anniversary,200,5238,,www.eulisa.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-15T08:50:58Z,2024-01-16T08:50:57Z,CN=eulisa.europa.eu,eulisa.europa.eu,,10.eulisa.europa.eu,"CN=GlobalSign GCC R3 DV TLS CA 2020, O=GlobalSign nv-sa, C=BE",GlobalSign GCC R3 DV TLS CA 2020,GlobalSign nv-sa,e45b8311323fa03f06d789fb957cbf35,a53ef2623d849358aedafa750c433d619405da515549923a51410f5c7eb54342,ctls,www.eulisa.europa.eu,443,https://10.eulisa.europa.eu:443,https,text/html,GET,185.78.44.243,/,357434109,185.78.44.243,jQuery,201,False,,https://www.eulisa.europa.eu/SiteAssets/Anniversary/default.aspx,,,,,,,
2019-2024.ep.europa.eu,,200,199,,2019-2024.ep.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T11:11:05Z,2023-07-26T11:11:04Z,"CN=www.2019-2024.europarl.europa.eu, O=European Parliament, L=Luxembourg, ST=Luxembourg, C=LU",www.2019-2024.europarl.europa.eu,European Parliament,2019-2024.europarl.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6ae7ac99a2df7be1a808a96599a7bc08,2afc357b8d7c7732f6e76cc0d4f16bc6782a3caea253ce9ef5b831bb155009ba,ctls,2019-2024.ep.europa.eu,443,https://2019-2024.ep.europa.eu:443,https,text/html,GET,143.204.215.61,/,1281934676,2600:9000:214f:da00:7:656f:1540:93a1,Amazon Web Services,11,False,AmazonS3,,,cloudfront,True,,,,
2019-2024.europarl.europa.eu,,200,199,,2019-2024.europarl.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T11:11:05Z,2023-07-26T11:11:04Z,"CN=www.2019-2024.europarl.europa.eu, O=European Parliament, L=Luxembourg, ST=Luxembourg, C=LU",www.2019-2024.europarl.europa.eu,European Parliament,2019-2024.europarl.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6ae7ac99a2df7be1a808a96599a7bc08,2afc357b8d7c7732f6e76cc0d4f16bc6782a3caea253ce9ef5b831bb155009ba,ctls,2019-2024.europarl.europa.eu,443,https://2019-2024.europarl.europa.eu:443,https,text/html,GET,143.204.215.124,/,-559725200,2600:9000:214f:c000:7:656f:1540:93a1,Amazon Web Services,11,False,AmazonS3,,,cloudfront,True,,,,
a-cms2-ro.ecb.europa.eu,HTTP Status 404 – Not Found,404,672,,a-cms2-ro.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-17T08:37:14Z,2023-12-16T08:37:14Z,"CN=a-cms2-ro.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-cms2-ro.ecb.europa.eu,European Central Bank,www.a-cms2-ro.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",f135b927c944fe0efe6d48669faa25c9,09a6845cb7e2c822cf91d6526772dfb56d02a0edb337febb23c450db4e372c8c,ctls,a-cms2-ro.ecb.europa.eu,443,https://a-cms2-ro.ecb.europa.eu:443,https,text/html,GET,91.236.122.135,/,-2108405432,2a02:cb40:200::250,,1,False,myracloud,,,,,,,,
a-cms2-rw.ecb.europa.eu,HTTP Status 404 – Not Found,404,672,,a-cms2-rw.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-17T08:32:50Z,2023-12-16T08:32:50Z,"CN=a-cms2-rw.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-cms2-rw.ecb.europa.eu,European Central Bank,www.a-cms2-rw.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3a40c67d2ee2e4be596a6f2ccf27fae9,a00225de13417cc8b5a0d6fe26c8a6f42ade925f740b97159929da23476ee5e3,ctls,a-cms2-rw.ecb.europa.eu,443,https://a-cms2-rw.ecb.europa.eu:443,https,text/html,GET,91.236.122.136,/,-2108405432,2a02:cb40:200::252,,1,False,myracloud,,,,,,,,
a-eureka.ecb.europa.eu,System error,500,77933,,a-eureka.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-01T15:22:07Z,2024-06-30T15:22:07Z,"CN=a-eureka.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-eureka.ecb.europa.eu,European Central Bank,www.a-eureka.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ccff479103ecc9b7759b7da01f554d95,544ea6a9e7f8982d29e3a0aae5f3ab643e972da706718f530ed9c301b1d06ca6,ctls,a-eureka.ecb.europa.eu,443,https://a-eureka.ecb.europa.eu:443,https,text/html,GET,20.107.131.241,/,-230353730,20.107.131.241,ZURB Foundation,1764,False,,https://a-eureka.ecb.europa.eu/ilp/pages/system-error.jsf,,,,,,,
a-mid.ecb.europa.eu,ECB - European Central Bank,200,5053,,a-mid.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-15T15:50:38Z,2024-01-14T15:50:38Z,"CN=a-mid.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-mid.ecb.europa.eu,European Central Bank,a-mid.ecb.int,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",4e358aeb05f40a89197c1df4e893ebfb,96334005946483cf17d59b4d75acd3a417d7cd9be6afd6fa4f639c513fb07129,ctls,a-mid.ecb.europa.eu,443,https://a-mid.ecb.europa.eu:443,https,text/xml,GET,185.85.0.105,/,-855688948,185.85.0.105,,116,False,myracloud,https://a-mid.ecb.europa.eu/rss/mid.xml,,,,,,,
a-procurement.ecb.europa.eu,Application Server Error,403,9666,,a-procurement.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T10:56:27Z,2023-10-21T10:56:27Z,"CN=a-procurement.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-procurement.ecb.europa.eu,European Central Bank,www.a-procurement.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",175f549278122e4ef277a437f176d3c9,059ca427d42a6a89b26142b05e7199f85bea00864ce7644e159e7ffef3a77377,ctls,a-procurement.ecb.europa.eu,443,https://a-procurement.ecb.europa.eu:443,https,text/html,GET,195.128.1.156,/,-266008933,195.128.1.156,HSTS,35,False,,,,,,,,,
a-sdw-wsrest.ecb.europa.eu,European Central Bank - STAGING,503,12227,,s-data.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-13T16:19:34Z,2023-07-11T16:19:34Z,"CN=s-data.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",s-data.ecb.europa.eu,European Central Bank,s-data.ecb.int,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",c9308c312acbd05650e5386e24ca6a02,038fc88c8cc58f3eb0dc75ce76a58660057c3a7a3c8edca0ebe52ed0da4051ee,ctls,s-data.ecb.europa.eu,443,https://a-sdw-wsrest.ecb.europa.eu:443,https,text/html,GET,185.5.82.131,/,-1291718349,185.5.82.131,,2,False,myracloud,https://s-data.ecb.europa.eu/myracloud-blocked/,,,,,,,
a-sdw.ecb.europa.eu,ECB Statistical Data Warehouse,200,164175,,a-sdw.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-28T11:31:11Z,2023-10-27T11:31:11Z,"CN=a-sdw.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-sdw.ecb.europa.eu,European Central Bank,a-sdw.ecb.int,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",6fc603f446709d66c0785c7b8d32019d,374ffa990901c1386e13cc65132f277bde436590eae63b63b072dc4146dce1f2,ctls,a-sdw.ecb.europa.eu,443,https://a-sdw.ecb.europa.eu:443,https,text/html,GET,185.5.82.128,/,-1920410835,185.5.82.128,Java,5764,False,myracloud,,,,,,,,
