input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,csp_domains_,tech_,final_url,tls_wildcard_certificate,cdn_name,cdn,tls_mismatched,tls_self_signed,tls_expired,location
2019-2024.ep.europa.eu,,200,199,2019-2024.ep.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T11:11:05Z,2023-07-26T11:11:04Z,"CN=www.2019-2024.europarl.europa.eu, O=European Parliament, L=Luxembourg, ST=Luxembourg, C=LU",www.2019-2024.europarl.europa.eu,European Parliament,2019-2024.europarl.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6ae7ac99a2df7be1a808a96599a7bc08,2afc357b8d7c7732f6e76cc0d4f16bc6782a3caea253ce9ef5b831bb155009ba,ctls,2019-2024.ep.europa.eu,443,https://2019-2024.ep.europa.eu:443,https,AmazonS3,text/html,GET,143.204.215.61,/,2031376198,2600:9000:214f:f600:7:656f:1540:93a1,11,False,,Amazon Web Services,,,cloudfront,True,,,,
2019-2024.europarl.europa.eu,,200,199,2019-2024.europarl.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-24T11:11:05Z,2023-07-26T11:11:04Z,"CN=www.2019-2024.europarl.europa.eu, O=European Parliament, L=Luxembourg, ST=Luxembourg, C=LU",www.2019-2024.europarl.europa.eu,European Parliament,2019-2024.europarl.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6ae7ac99a2df7be1a808a96599a7bc08,2afc357b8d7c7732f6e76cc0d4f16bc6782a3caea253ce9ef5b831bb155009ba,ctls,2019-2024.europarl.europa.eu,443,https://2019-2024.europarl.europa.eu:443,https,AmazonS3,text/html,GET,143.204.215.104,/,-855451659,2600:9000:214f:a00:7:656f:1540:93a1,11,False,,Amazon Web Services,,,cloudfront,True,,,,
217074209204.eea.europa.eu,W i K I D S Y S T E M S,200,263,,,,,,,,,,,,,,,,,,,80,http://217074209204.eea.europa.eu:80,http,,text/html,GET,87.54.7.11,/,1838702009,87.54.7.11,8,False,,,,,,,,,,
50.europa.eu,Access Denied,403,730,50.europa.eu,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-06-21T16:36:05Z,2023-07-23T16:36:04Z,"CN=europa.eu, O=European Commission, L=Brussels, ST=Brussels-Capital Region, C=BE",europa.eu,European Commission,www.europa.eu,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,3a71dbd0e62bc83ce09714fcbea91be3,df06fbec8715f7e3566b0de1b71a9f60fa78f0ca63c7d40df1db571c6ddbeb51,ctls,50.europa.eu,443,https://50.europa.eu:443,https,,text/html,GET,147.67.210.25,/,1725125138,2a01:7080:14:100::666:25,43,False,,,,,,,True,,,
a-cms2-ro.ecb.europa.eu,HTTP Status 404 – Not Found,404,672,a-cms2-ro.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-17T08:37:14Z,2023-12-16T08:37:14Z,"CN=a-cms2-ro.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-cms2-ro.ecb.europa.eu,European Central Bank,www.a-cms2-ro.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",f135b927c944fe0efe6d48669faa25c9,09a6845cb7e2c822cf91d6526772dfb56d02a0edb337febb23c450db4e372c8c,ctls,a-cms2-ro.ecb.europa.eu,443,https://a-cms2-ro.ecb.europa.eu:443,https,myracloud,text/html,GET,91.236.122.135,/,-2108405432,2a02:cb40:200::250,1,False,,,,,,,,,,
a-cms2-rw.ecb.europa.eu,HTTP Status 404 – Not Found,404,672,a-cms2-rw.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-17T08:32:50Z,2023-12-16T08:32:50Z,"CN=a-cms2-rw.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-cms2-rw.ecb.europa.eu,European Central Bank,www.a-cms2-rw.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",3a40c67d2ee2e4be596a6f2ccf27fae9,a00225de13417cc8b5a0d6fe26c8a6f42ade925f740b97159929da23476ee5e3,ctls,a-cms2-rw.ecb.europa.eu,443,https://a-cms2-rw.ecb.europa.eu:443,https,myracloud,text/html,GET,91.236.122.136,/,-2108405432,2a02:cb40:200::252,1,False,,,,,,,,,,
a-id.ecb.europa.eu,,200,3565,a-id.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-10T10:36:40Z,2023-07-08T10:36:40Z,"CN=a-id.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-id.ecb.europa.eu,European Central Bank,www.a-id.ecb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",b8a4488d87ddaa09cf7c11c625017546,9f5d67bbabc841fe76218fedb1b75334b22e5c54c056abfb28ef9353575396f9,ctls,a-id.ecb.europa.eu,443,https://a-id.ecb.europa.eu:443,https,nginx,text/html,GET,195.143.24.74,/,863317106,195.143.24.74,47,False,https://fonts.googleapis.com,Nginx,https://a-id.ecb.europa.eu/login/,,,,,,,
a-sdw.ecb.europa.eu,ECB Statistical Data Warehouse,200,164710,a-sdw.ecb.europa.eu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-28T11:31:11Z,2023-10-27T11:31:11Z,"CN=a-sdw.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-sdw.ecb.europa.eu,European Central Bank,a-sdw.ecb.int,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",6fc603f446709d66c0785c7b8d32019d,374ffa990901c1386e13cc65132f277bde436590eae63b63b072dc4146dce1f2,ctls,a-sdw.ecb.europa.eu,443,https://a-sdw.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.128,/,-1920410835,185.5.82.128,5771,False,,Java,,,,,,,,
a-www.ecb.europa.eu,401 Unauthorized,401,381,a-www.ecb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T15:06:53Z,2023-11-23T15:06:52Z,"CN=a-www.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-www.ecb.europa.eu,European Central Bank,a-www.esrb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",51b8d9457b053f349d9559df849681e9,d412e53329ad775b173e5dd0a5727b9315dd5dde9be06ac3c6adbd434a11632c,ctls,a-www.ecb.europa.eu,443,https://a-www.ecb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.217,/,-392200610,185.5.82.217,13,False,,HSTS,https://a-www.ecb.europa.eu/home/html/index.en.html,,,,,,,
a-www.esrb.europa.eu,401 Unauthorized,401,381,a-www.esrb.europa.eu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-24T15:06:53Z,2023-11-23T15:06:52Z,"CN=a-www.ecb.europa.eu, O=European Central Bank, L=Frankfurt am Main, C=DE",a-www.ecb.europa.eu,European Central Bank,a-www.esrb.europa.eu,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",51b8d9457b053f349d9559df849681e9,d412e53329ad775b173e5dd0a5727b9315dd5dde9be06ac3c6adbd434a11632c,ctls,a-www.esrb.europa.eu,443,https://a-www.esrb.europa.eu:443,https,myracloud,text/html,GET,185.5.82.217,/,-392200610,185.5.82.217,13,False,,HSTS,https://a-www.esrb.europa.eu/home/html/index.en.html,,,,,,,
