input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,final_url,csp_domains_
0.0api-okta.00.d.quizlet.com,403 Forbidden,403,553,0.0api-okta.00.d.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,0.0api-okta.00.d.quizlet.com,cloudflare,443,https://0.0api-okta.00.d.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-861110197,104.17.188.102,Cloudflare,14,False,True,,,,
11principlesdc.quizlet.com,Captcha Challenge…,403,163542,11principlesdc.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-28T00:25:44Z,2023-07-27T01:24:39Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a95872901060109bd9d59499b4ecfe5e,cc6ca8f0b13ef1f869f1896fad1dead6dfbe1532230d49d2e01fe5260e8bebcb,ctls,11principlesdc.quizlet.com,cloudflare,443,https://11principlesdc.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,-1761423727,104.17.187.102,Cloudflare Bot Management,98,False,True,True,,,
171438.quizlet.com,Captcha Challenge…,403,163599,171438.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-28T00:25:44Z,2023-07-27T01:24:39Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a95872901060109bd9d59499b4ecfe5e,cc6ca8f0b13ef1f869f1896fad1dead6dfbe1532230d49d2e01fe5260e8bebcb,ctls,171438.quizlet.com,cloudflare,443,https://171438.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,-453605639,104.17.187.102,Cloudflare Bot Management,98,False,True,True,,,
1b20ai7k0i.quizlet.com,Captcha Challenge…,403,163725,1b20ai7k0i.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-28T00:25:44Z,2023-07-27T01:24:39Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a95872901060109bd9d59499b4ecfe5e,cc6ca8f0b13ef1f869f1896fad1dead6dfbe1532230d49d2e01fe5260e8bebcb,ctls,1b20ai7k0i.quizlet.com,cloudflare,443,https://1b20ai7k0i.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,-1770164312,104.17.187.102,Cloudflare Bot Management,98,False,True,True,,,
2013.okta.acc-dialin-apps.quizlet.com,403 Forbidden,403,553,2013.okta.acc-dialin-apps.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,2013.okta.acc-dialin-apps.quizlet.com,cloudflare,443,https://2013.okta.acc-dialin-apps.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-861110197,104.17.188.102,Cloudflare,14,False,True,,,,
291808.quizlet.com,Captcha Challenge…,403,163640,291808.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-28T00:25:44Z,2023-07-27T01:24:39Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a95872901060109bd9d59499b4ecfe5e,cc6ca8f0b13ef1f869f1896fad1dead6dfbe1532230d49d2e01fe5260e8bebcb,ctls,291808.quizlet.com,cloudflare,443,https://291808.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-378901061,104.17.188.102,Cloudflare Bot Management,98,False,True,True,,,
395804.quizlet.com,Captcha Challenge…,403,163666,395804.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-28T00:25:44Z,2023-07-27T01:24:39Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a95872901060109bd9d59499b4ecfe5e,cc6ca8f0b13ef1f869f1896fad1dead6dfbe1532230d49d2e01fe5260e8bebcb,ctls,395804.quizlet.com,cloudflare,443,https://395804.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,,104.17.187.102,Cloudflare Bot Management,98,False,True,True,,,
472614.quizlet.com,Captcha Challenge…,403,163707,472614.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-28T00:25:44Z,2023-07-27T01:24:39Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a95872901060109bd9d59499b4ecfe5e,cc6ca8f0b13ef1f869f1896fad1dead6dfbe1532230d49d2e01fe5260e8bebcb,ctls,472614.quizlet.com,cloudflare,443,https://472614.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,775824218,104.17.187.102,Cloudflare Bot Management,98,False,True,True,,,
490725.quizlet.com,Captcha Challenge…,403,163693,490725.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-28T00:25:44Z,2023-07-27T01:24:39Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a95872901060109bd9d59499b4ecfe5e,cc6ca8f0b13ef1f869f1896fad1dead6dfbe1532230d49d2e01fe5260e8bebcb,ctls,490725.quizlet.com,cloudflare,443,https://490725.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-152383463,104.17.188.102,Cloudflare Bot Management,98,False,True,True,,,
51e3cf86.quizlet.com,Captcha Challenge…,403,163673,51e3cf86.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-28T00:25:44Z,2023-07-27T01:24:39Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,a95872901060109bd9d59499b4ecfe5e,cc6ca8f0b13ef1f869f1896fad1dead6dfbe1532230d49d2e01fe5260e8bebcb,ctls,51e3cf86.quizlet.com,cloudflare,443,https://51e3cf86.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,600063333,104.17.188.102,Cloudflare Bot Management,98,False,True,True,,,
