input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,final_url,tls_subject_org_
0.0api-okta.00.d.quizlet.com,403 Forbidden,403,151,0.0api-okta.00.d.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,0.0api-okta.00.d.quizlet.com,cloudflare,443,https://0.0api-okta.00.d.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1210513009,104.17.188.102,Cloudflare,8,False,True,,,
0.info.0api-okta.00.d.quizlet.com,403 Forbidden,403,151,0.info.0api-okta.00.d.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,0.info.0api-okta.00.d.quizlet.com,cloudflare,443,https://0.info.0api-okta.00.d.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1210513009,104.17.188.102,Cloudflare,8,False,True,,,
00-11-okta-mfa-ackorigin.client.s.quizlet.com,403 Forbidden,403,151,00-11-okta-mfa-ackorigin.client.s.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,00-11-okta-mfa-ackorigin.client.s.quizlet.com,cloudflare,443,https://00-11-okta-mfa-ackorigin.client.s.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,1210513009,104.17.187.102,Cloudflare,8,False,True,,,
00-11-okta-mfa-ackorigin.partner.s.quizlet.com,403 Forbidden,403,151,00-11-okta-mfa-ackorigin.partner.s.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,00-11-okta-mfa-ackorigin.partner.s.quizlet.com,cloudflare,443,https://00-11-okta-mfa-ackorigin.partner.s.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1210513009,104.17.188.102,Cloudflare,8,False,True,,,
00-11-okta-mfa-ackorigin.s.quizlet.com,403 Forbidden,403,151,00-11-okta-mfa-ackorigin.s.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,00-11-okta-mfa-ackorigin.s.quizlet.com,cloudflare,443,https://00-11-okta-mfa-ackorigin.s.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1210513009,104.17.188.102,Cloudflare,8,False,True,,,
00-11-okta-mfa-ackorigin.www2.s.quizlet.com,403 Forbidden,403,151,00-11-okta-mfa-ackorigin.www2.s.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,00-11-okta-mfa-ackorigin.www2.s.quizlet.com,cloudflare,443,https://00-11-okta-mfa-ackorigin.www2.s.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,1210513009,104.17.187.102,Cloudflare,8,False,True,,,
00-11-okta-mfa-ackorigindeveloper.s.quizlet.com,403 Forbidden,403,151,00-11-okta-mfa-ackorigindeveloper.s.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,00-11-okta-mfa-ackorigindeveloper.s.quizlet.com,cloudflare,443,https://00-11-okta-mfa-ackorigindeveloper.s.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1210513009,104.17.188.102,Cloudflare,8,False,True,,,
000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.try.quizlet.com,403 Forbidden,403,151,000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.try.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.try.quizlet.com,cloudflare,443,https://000-amd-int-eu-d23ekigfgt2mcdsshbe-okta-apposcommercetest.try.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1210513009,104.17.188.102,Cloudflare,8,False,True,,,
10yuankaihutiyanjin-okta-network-drookings-mirror.prod1.quizlet.com,403 Forbidden,403,151,10yuankaihutiyanjin-okta-network-drookings-mirror.prod1.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,10yuankaihutiyanjin-okta-network-drookings-mirror.prod1.quizlet.com,cloudflare,443,https://10yuankaihutiyanjin-okta-network-drookings-mirror.prod1.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,1210513009,104.17.187.102,Cloudflare,8,False,True,,,
11principlesdc.quizlet.com,Captcha Challenge…,403,162541,11principlesdc.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,11principlesdc.quizlet.com,cloudflare,443,https://11principlesdc.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-70109877,104.17.188.102,Cloudflare Bot Management,27,False,True,True,,
