input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_mismatched,final_url,csp_domains_
000-client.fitbit.com,404 Not Found,404,146,000-client.fitbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T16:04:51Z,2023-06-04T16:04:50Z,CN=*.fitbit.com,*.fitbit.com,fitbit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7373fac42de9cd28db589ca0ca044645,c661d1b78de0b65f3a182386ffaeab693a5c8d5570e4bd7074bdfccb5567be94,True,ctls,000-client.fitbit.com,cloudflare,443,https://000-client.fitbit.com:443,https,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
000-v3-client.fitbit.com,404 Not Found,404,146,000-v3-client.fitbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T16:04:51Z,2023-06-04T16:04:50Z,CN=*.fitbit.com,*.fitbit.com,fitbit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7373fac42de9cd28db589ca0ca044645,c661d1b78de0b65f3a182386ffaeab693a5c8d5570e4bd7074bdfccb5567be94,True,ctls,000-v3-client.fitbit.com,cloudflare,443,https://000-v3-client.fitbit.com:443,https,cloudflare,text/html,GET,104.16.66.50,/,1494302000,104.16.65.50,Google Cloud CDN,8,False,True,,,,
001-client.fitbit.com,404 Not Found,404,146,001-client.fitbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T16:04:51Z,2023-06-04T16:04:50Z,CN=*.fitbit.com,*.fitbit.com,fitbit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7373fac42de9cd28db589ca0ca044645,c661d1b78de0b65f3a182386ffaeab693a5c8d5570e4bd7074bdfccb5567be94,True,ctls,001-client.fitbit.com,cloudflare,443,https://001-client.fitbit.com:443,https,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
001-v3-client.fitbit.com,404 Not Found,404,146,001-v3-client.fitbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T16:04:51Z,2023-06-04T16:04:50Z,CN=*.fitbit.com,*.fitbit.com,fitbit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7373fac42de9cd28db589ca0ca044645,c661d1b78de0b65f3a182386ffaeab693a5c8d5570e4bd7074bdfccb5567be94,True,ctls,001-v3-client.fitbit.com,cloudflare,443,https://001-v3-client.fitbit.com:443,https,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
002-client.fitbit.com,404 Not Found,404,146,002-client.fitbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T16:04:51Z,2023-06-04T16:04:50Z,CN=*.fitbit.com,*.fitbit.com,fitbit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7373fac42de9cd28db589ca0ca044645,c661d1b78de0b65f3a182386ffaeab693a5c8d5570e4bd7074bdfccb5567be94,True,ctls,002-client.fitbit.com,cloudflare,443,https://002-client.fitbit.com:443,https,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
002-v3-client.fitbit.com,404 Not Found,404,146,002-v3-client.fitbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T16:04:51Z,2023-06-04T16:04:50Z,CN=*.fitbit.com,*.fitbit.com,fitbit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7373fac42de9cd28db589ca0ca044645,c661d1b78de0b65f3a182386ffaeab693a5c8d5570e4bd7074bdfccb5567be94,True,ctls,002-v3-client.fitbit.com,cloudflare,443,https://002-v3-client.fitbit.com:443,https,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
003-client.fitbit.com,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,cloudflare,80,http://003-client.fitbit.com:80,http,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
003-v3-client.fitbit.com,404 Not Found,404,146,,,,,,,,,,,,,,,,,,,cloudflare,80,http://003-v3-client.fitbit.com:80,http,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
004-client.fitbit.com,404 Not Found,404,146,004-client.fitbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T16:04:51Z,2023-06-04T16:04:50Z,CN=*.fitbit.com,*.fitbit.com,fitbit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7373fac42de9cd28db589ca0ca044645,c661d1b78de0b65f3a182386ffaeab693a5c8d5570e4bd7074bdfccb5567be94,True,ctls,004-client.fitbit.com,cloudflare,443,https://004-client.fitbit.com:443,https,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
005-client.fitbit.com,404 Not Found,404,146,005-client.fitbit.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T16:04:51Z,2023-06-04T16:04:50Z,CN=*.fitbit.com,*.fitbit.com,fitbit.com,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,7373fac42de9cd28db589ca0ca044645,c661d1b78de0b65f3a182386ffaeab693a5c8d5570e4bd7074bdfccb5567be94,True,ctls,005-client.fitbit.com,cloudflare,443,https://005-client.fitbit.com:443,https,cloudflare,text/html,GET,104.16.65.50,/,1494302000,104.16.66.50,Google Cloud CDN,8,False,True,,,,
