input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,content_type,final_url,csp_domains_
1001sait.amocrm.ru,amoCRM: Авторизация,401,5105,1001sait.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,1001sait.amocrm.ru,443,https://1001sait.amocrm.ru:443,https,nginx,GET,23.111.85.36,/,920845104,23.111.85.36,Nginx,110,False,text/html,,
155-9-56-96.z2.amocrm.ru,Онлайн CRM система. Управление клиентами в современной облачной CRM — amoCRM,200,50197,www.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,www.amocrm.ru,443,https://155-9-56-96.z2.amocrm.ru:443,https,nginx,GET,95.213.201.60,/,,95.213.161.42,Nginx,827,False,text/html,https://www.amocrm.ru,
165-137-111-97.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,501373,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://165-137-111-97.z2.amocrm.com:443,https,nginx,GET,142.0.201.228,/,920845104,142.0.201.228,Nginx,9907,False,text/html,https://www.kommo.com/,https://*.kommo.com
165.amocrm.ru,amoCRM: Авторизация,401,5105,165.amocrm.ru,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,165.amocrm.ru,443,https://165.amocrm.ru:443,https,nginx,GET,95.213.201.60,/,,95.213.161.42,Nginx,110,False,text/html,,
17-121-120-22.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,501371,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://17-121-120-22.z2.amocrm.com:443,https,nginx,GET,142.0.201.228,/,920845104,142.0.201.228,Nginx,9907,False,text/html,https://www.kommo.com/,https://*.amocrm.ru
17-121-122-89.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,501373,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://17-121-122-89.z2.amocrm.com:443,https,nginx,GET,142.0.201.228,/,920845104,142.0.201.228,Nginx,9907,False,text/html,https://www.kommo.com/,https://*.amocrm.ru
17-121-124-95.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,501373,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://17-121-124-95.z2.amocrm.com:443,https,nginx,GET,142.0.201.228,/,920845104,142.0.201.228,Nginx,9907,False,text/html,https://www.kommo.com/,https://*.amocrm.ru
17-58-106-90.z2.amocrm.com,"Boost sales with messaging apps
        
                  — Kommo (formerly amoCRM)",200,501371,www.kommo.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-09-30T13:10:45Z,2023-11-01T13:10:45Z,CN=*.kommo.com,*.kommo.com,kommo.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",9cb1d80dc642da312296fa1168834c10,97a9e8b0af7bc8edac7cec50cb285d2cb70aa25e97ceb9e3851735c1cc99b0d1,True,ctls,www.kommo.com,443,https://17-58-106-90.z2.amocrm.com:443,https,nginx,GET,142.0.201.228,/,920845104,142.0.201.228,Nginx,9907,False,text/html,https://www.kommo.com/,https://*.amocrm.ru
1lm.amocrm.ru,amoCRM: Авторизация,401,5105,1lm.amocrm.ru,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,1lm.amocrm.ru,443,https://1lm.amocrm.ru:443,https,nginx,GET,88.212.250.100,/,920845104,88.212.249.37,Nginx,110,False,text/html,,
213.amocrm.ru,amoCRM: Авторизация,401,5105,213.amocrm.ru,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-07-05T14:26:04Z,2023-08-06T14:26:04Z,CN=*.amocrm.ru,*.amocrm.ru,amocrm.ru,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",f34bf3da01fb688d55dad5a7739518ca,cd4cab5765a85941dffb9257da05c1ac4a07b0fe260ce961b86667482442a109,True,ctls,213.amocrm.ru,443,https://213.amocrm.ru:443,https,nginx,GET,23.111.85.36,/,920845104,23.111.85.36,Nginx,110,False,text/html,,
